,postcode,INCP_LOW,INCP_MID,INCP_HIGH,INCP_NEG_NIL,CPRF_2,CPRF_3,CPRF_4,CPRF_5,CPRF_6+,CPRF_na,CPRF_HHOLD_NO,0-4yo,5-14yo,15-24yo,25-34yo,35-54yo,55-64yo,65+yo,population_2016,citizen_AU,citizen_non_AU,YARRP <1975,YARRP 1976-1995,YARRP 1996-2005,YARRP 2006-2016,ATSI
114,2134,5665,3383,1181,3202,1799.0,862.0,591.0,204.0,61.0,3131.0,6647.0,650.0,918.0,3506.0,4257.0,3327.0,1448.0,1921.0,16033.0,8213.0,6831.0,880.0,1896.0,1561.0,6283.0,36.0
115,2135,7962,5815,2992,3576,2490.0,1412.0,1300.0,516.0,221.0,3653.0,9600.0,1071.0,2124.0,4535.0,5869.0,5767.0,2460.0,3414.0,25252.0,16013.0,7686.0,1597.0,3609.0,2023.0,7085.0,60.0
116,2136,2417,1705,771,806,741.0,511.0,479.0,180.0,55.0,870.0,2827.0,422.0,832.0,1059.0,1115.0,1996.0,847.0,1111.0,7367.0,6003.0,965.0,704.0,1036.0,630.0,836.0,32.0
117,2137,7432,6362,4363,2373,3308.0,1711.0,1642.0,574.0,144.0,3198.0,10565.0,1523.0,2954.0,3076.0,4013.0,7450.0,3131.0,4357.0,26507.0,21565.0,3453.0,2574.0,2589.0,1644.0,2908.0,142.0
118,2138,4903,4953,2808,3361,2728.0,1301.0,988.0,253.0,54.0,3407.0,8738.0,1372.0,1555.0,3244.0,6008.0,4700.0,1567.0,1574.0,20022.0,11197.0,7677.0,777.0,1631.0,2084.0,7205.0,61.0
119,2139,26,6,3,0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,6.0,11.0,18.0,16.0,7.0,55.0,37.0,0.0,0.0,5.0,0.0,6.0,0.0
120,2140,4633,4167,1325,2168,1691.0,1126.0,813.0,222.0,59.0,2602.0,6513.0,1135.0,1307.0,2401.0,5288.0,3899.0,1179.0,938.0,16161.0,8359.0,6261.0,314.0,1548.0,2020.0,6331.0,39.0
121,2141,10763,5963,1541,4249,2688.0,1875.0,1639.0,665.0,298.0,3377.0,10543.0,1787.0,2693.0,4234.0,6295.0,7392.0,3292.0,2987.0,28675.0,19022.0,8122.0,1226.0,5098.0,3475.0,7483.0,89.0
122,2142,9354,5314,1148,3085,2386.0,1633.0,1226.0,600.0,432.0,3776.0,10052.0,2236.0,3033.0,3527.0,6542.0,6566.0,2169.0,2211.0,26297.0,17172.0,6895.0,1133.0,2715.0,2634.0,7432.0,152.0
123,2143,3302,1803,392,1121,750.0,571.0,566.0,237.0,151.0,963.0,3229.0,600.0,1176.0,1284.0,1453.0,2243.0,1095.0,1085.0,8920.0,6943.0,1486.0,444.0,1580.0,905.0,1393.0,55.0
124,2144,14739,6297,901,5625,2907.0,1986.0,1744.0,951.0,727.0,4283.0,12596.0,2884.0,4368.0,6022.0,9168.0,8664.0,3068.0,3205.0,37370.0,22467.0,12670.0,1638.0,4332.0,4292.0,13071.0,73.0
125,2145,24113,18400,6912,8108,7245.0,5584.0,5371.0,1912.0,707.0,8535.0,29353.0,6505.0,10476.0,8423.0,14216.0,22066.0,7251.0,10295.0,79213.0,59284.0,15254.0,4655.0,7330.0,7875.0,17595.0,676.0
126,2146,5586,4300,1398,1766,1679.0,1234.0,1196.0,414.0,170.0,1814.0,6506.0,1267.0,2294.0,2063.0,2889.0,4832.0,1828.0,2296.0,17467.0,13718.0,2890.0,881.0,1530.0,1785.0,3209.0,258.0
127,2147,12102,8868,2835,3216,3765.0,2356.0,2452.0,891.0,339.0,4152.0,13948.0,2545.0,4580.0,4472.0,5199.0,9991.0,4378.0,5188.0,36346.0,30243.0,4206.0,2174.0,3165.0,2546.0,3846.0,736.0
128,2148,21496,15446,3223,6308,6214.0,4397.0,3786.0,1485.0,772.0,6968.0,23627.0,4914.0,7967.0,8152.0,11270.0,16462.0,6391.0,7906.0,63074.0,48284.0,11242.0,3777.0,5740.0,5972.0,12335.0,1082.0
129,2150,8551,7947,3133,4100,3550.0,2602.0,1341.0,304.0,71.0,5601.0,13471.0,2829.0,2380.0,3361.0,11090.0,7761.0,2026.0,2045.0,31500.0,14542.0,14243.0,706.0,2148.0,2958.0,14982.0,145.0
130,2151,6320,5121,2339,2051,2223.0,1416.0,1276.0,419.0,122.0,2910.0,8359.0,1473.0,2502.0,2399.0,3453.0,6183.0,2276.0,3033.0,21308.0,16526.0,3283.0,1018.0,2298.0,1952.0,3320.0,139.0
131,2152,3412,2861,1344,893,1419.0,724.0,649.0,220.0,72.0,1662.0,4748.0,841.0,1275.0,1019.0,1960.0,3080.0,1017.0,2016.0,11218.0,9283.0,1404.0,582.0,950.0,807.0,1444.0,83.0
132,2153,16151,12921,8255,5174,5595.0,3675.0,4572.0,1614.0,399.0,4468.0,20333.0,3860.0,8083.0,6694.0,6413.0,16614.0,6203.0,8697.0,56556.0,48299.0,6488.0,3172.0,6107.0,4830.0,6041.0,286.0
133,2154,11224,8537,6310,3948,3912.0,2472.0,3037.0,1185.0,330.0,3325.0,14267.0,2171.0,5542.0,5108.0,3855.0,11043.0,4884.0,6979.0,39594.0,33401.0,4714.0,2239.0,4603.0,3572.0,4470.0,135.0
134,2155,12811,12629,8596,5169,3906.0,3321.0,4995.0,2068.0,648.0,2943.0,17887.0,4208.0,10095.0,7480.0,6394.0,17990.0,5063.0,4218.0,55447.0,47569.0,5704.0,2103.0,5558.0,5566.0,5980.0,350.0
135,2156,3961,2845,2103,1034,1438.0,680.0,872.0,464.0,178.0,855.0,4497.0,574.0,1836.0,1808.0,1012.0,3340.0,1742.0,2618.0,12941.0,11920.0,588.0,1034.0,787.0,460.0,381.0,62.0
136,2157,1168,827,423,287,383.0,187.0,219.0,146.0,60.0,297.0,1293.0,205.0,533.0,528.0,330.0,1051.0,506.0,583.0,3741.0,3316.0,170.0,305.0,191.0,129.0,72.0,16.0
137,2158,2587,1816,1323,857,866.0,468.0,565.0,295.0,108.0,747.0,3047.0,400.0,1166.0,1265.0,676.0,2348.0,1061.0,1673.0,8579.0,7573.0,617.0,638.0,741.0,449.0,608.0,50.0
138,2159,1601,1120,669,399,564.0,285.0,292.0,163.0,68.0,453.0,1823.0,233.0,711.0,619.0,408.0,1310.0,668.0,1029.0,4976.0,4543.0,247.0,370.0,227.0,146.0,153.0,40.0
139,2160,13741,6989,1463,3953,3117.0,2151.0,1828.0,1009.0,719.0,4328.0,13153.0,2870.0,4630.0,5124.0,6712.0,9056.0,3362.0,4211.0,35971.0,27130.0,6678.0,2388.0,4072.0,3724.0,6859.0,303.0
140,2161,12015,5367,932,3400,2382.0,1665.0,1432.0,984.0,885.0,3526.0,10869.0,2801.0,4617.0,4662.0,5558.0,7440.0,2960.0,3395.0,31420.0,24667.0,4499.0,1704.0,3722.0,2947.0,4677.0,268.0
141,2162,7249,3291,682,2143,1383.0,1070.0,1040.0,579.0,440.0,1985.0,6490.0,1361.0,2756.0,2744.0,2481.0,4699.0,2076.0,2516.0,18622.0,15503.0,2049.0,1112.0,3141.0,1548.0,2062.0,151.0
142,2163,4053,1304,160,943,812.0,481.0,398.0,241.0,182.0,1470.0,3587.0,626.0,1243.0,1349.0,1413.0,2531.0,1139.0,1290.0,9592.0,7157.0,1660.0,399.0,1726.0,768.0,1214.0,116.0
143,2164,8193,3872,728,1843,1798.0,1206.0,1080.0,650.0,362.0,1897.0,6990.0,1286.0,2570.0,2627.0,2615.0,4938.0,2406.0,3188.0,19626.0,16197.0,2390.0,2038.0,2907.0,1584.0,2416.0,221.0
144,2165,19354,6488,1036,4476,3691.0,2514.0,2415.0,1331.0,835.0,4087.0,14863.0,2747.0,5688.0,6069.0,6084.0,11264.0,4813.0,5773.0,42438.0,31598.0,8576.0,2480.0,7817.0,4627.0,9492.0,242.0
145,2166,23169,8292,1203,7347,4635.0,3520.0,3048.0,1473.0,737.0,5557.0,18968.0,3286.0,6570.0,8154.0,7403.0,14192.0,6392.0,6761.0,52768.0,41886.0,8057.0,1955.0,14702.0,4963.0,8456.0,274.0
146,2167,2750,2386,661,979,857.0,683.0,686.0,209.0,80.0,892.0,3407.0,816.0,1280.0,1172.0,1521.0,2695.0,991.0,1163.0,9637.0,7394.0,1444.0,334.0,1077.0,1268.0,1676.0,134.0
147,2168,16828,7857,1256,4588,3269.0,2517.0,2558.0,1486.0,957.0,4119.0,14906.0,2961.0,6779.0,7045.0,5619.0,11516.0,5004.0,4527.0,43451.0,36267.0,4171.0,2144.0,7822.0,3785.0,3928.0,1092.0
148,2170,36730,21359,5328,10333,9096.0,6466.0,6353.0,3074.0,1597.0,11529.0,38108.0,8261.0,15029.0,14096.0,15886.0,28567.0,10777.0,12846.0,105455.0,83432.0,13355.0,6137.0,13504.0,10440.0,14721.0,1365.0
149,2171,9797,8404,2663,3540,2118.0,2025.0,2822.0,1432.0,595.0,1728.0,10724.0,2866.0,5995.0,5136.0,5156.0,10522.0,3044.0,2144.0,34865.0,30705.0,2382.0,1841.0,5957.0,3432.0,2555.0,265.0
150,2172,625,691,491,246,246.0,175.0,247.0,88.0,26.0,134.0,924.0,193.0,427.0,380.0,343.0,910.0,306.0,220.0,2779.0,2565.0,107.0,128.0,346.0,158.0,103.0,28.0
151,2173,3538,3964,1618,1329,1071.0,921.0,1244.0,450.0,121.0,883.0,4695.0,1214.0,2144.0,2315.0,2300.0,4421.0,1221.0,815.0,14432.0,12538.0,1221.0,428.0,1563.0,1130.0,1285.0,268.0
152,2174,470,565,202,276,145.0,143.0,190.0,79.0,35.0,115.0,703.0,255.0,360.0,297.0,422.0,664.0,141.0,125.0,2267.0,1815.0,287.0,67.0,251.0,329.0,410.0,6.0
153,2175,675,417,146,152,180.0,92.0,102.0,64.0,35.0,159.0,636.0,96.0,224.0,248.0,212.0,487.0,236.0,354.0,1837.0,1594.0,100.0,299.0,115.0,40.0,48.0,25.0
154,2176,19387,9984,2284,5140,4128.0,3181.0,3191.0,1674.0,820.0,2830.0,15824.0,2545.0,5984.0,7134.0,6176.0,12140.0,6886.0,6931.0,47812.0,41148.0,4759.0,5020.0,9861.0,3900.0,4699.0,321.0
155,2177,6640,3107,543,1918,1249.0,1044.0,1118.0,533.0,284.0,1107.0,5336.0,859.0,2240.0,2535.0,2142.0,4228.0,2156.0,1825.0,15980.0,14006.0,1330.0,916.0,4421.0,1333.0,1373.0,142.0
156,2178,1372,974,287,388,386.0,200.0,230.0,160.0,81.0,324.0,1379.0,203.0,544.0,716.0,438.0,1103.0,531.0,695.0,4234.0,3601.0,230.0,514.0,333.0,95.0,119.0,57.0
157,2179,2271,1452,364,558,601.0,360.0,310.0,196.0,114.0,795.0,2366.0,432.0,810.0,853.0,881.0,1632.0,696.0,1221.0,6529.0,5442.0,405.0,783.0,469.0,265.0,291.0,101.0
158,2190,9706,4021,961,3005,1698.0,1318.0,1291.0,978.0,776.0,2306.0,8367.0,1883.0,4269.0,3917.0,3311.0,6235.0,2596.0,3343.0,25571.0,22026.0,1979.0,2237.0,3665.0,1915.0,1881.0,137.0
159,2191,2316,1330,458,648,617.0,366.0,428.0,179.0,93.0,689.0,2374.0,412.0,857.0,772.0,784.0,1780.0,672.0,1053.0,6317.0,5457.0,608.0,712.0,873.0,406.0,420.0,34.0
160,2192,4976,2629,521,1398,1325.0,825.0,687.0,299.0,156.0,1676.0,4967.0,794.0,1460.0,1633.0,2060.0,3435.0,1345.0,1988.0,12713.0,9820.0,2086.0,1358.0,1672.0,1103.0,1925.0,104.0
161,2193,5093,3660,1691,1401,1800.0,1021.0,927.0,303.0,93.0,2058.0,6195.0,836.0,1668.0,1863.0,2453.0,4510.0,1693.0,2244.0,15254.0,12104.0,2262.0,1744.0,1658.0,922.0,1849.0,169.0
162,2194,9901,4983,873,3512,2851.0,1810.0,1204.0,420.0,179.0,3378.0,9841.0,1489.0,2255.0,3418.0,5485.0,6558.0,2601.0,2732.0,24538.0,14706.0,8392.0,1279.0,3412.0,3082.0,7757.0,100.0
163,2195,10364,3998,590,3609,2019.0,1644.0,1493.0,758.0,481.0,3048.0,9436.0,2903.0,3848.0,3411.0,5728.0,6853.0,2064.0,2341.0,27148.0,17375.0,7842.0,1361.0,3003.0,3095.0,8494.0,78.0
164,2196,12152,5567,1190,3815,2535.0,1789.0,1773.0,1023.0,721.0,3147.0,10991.0,2416.0,4678.0,4643.0,4869.0,8103.0,3199.0,3895.0,31813.0,25714.0,4080.0,2575.0,4446.0,2560.0,4025.0,180.0
165,2197,3526,1592,407,1005,730.0,474.0,501.0,342.0,190.0,873.0,3111.0,667.0,1402.0,1309.0,1166.0,2238.0,944.0,1334.0,9067.0,7930.0,699.0,749.0,1205.0,593.0,648.0,66.0
166,2198,3130,1792,527,805,801.0,524.0,550.0,280.0,173.0,691.0,3020.0,653.0,1342.0,1149.0,1040.0,2253.0,866.0,1739.0,9039.0,8047.0,540.0,888.0,931.0,388.0,448.0,48.0
167,2199,7048,3205,648,1991,1423.0,1018.0,1018.0,556.0,374.0,1851.0,6242.0,1382.0,2604.0,2508.0,2577.0,4438.0,2020.0,2479.0,18016.0,15070.0,1820.0,1314.0,2920.0,1377.0,1867.0,149.0
168,2200,16458,7589,1486,5217,3627.0,2647.0,2474.0,1262.0,732.0,4930.0,15677.0,3781.0,5991.0,6097.0,7501.0,10903.0,4362.0,5062.0,43688.0,33426.0,6871.0,2844.0,6782.0,4332.0,7368.0,175.0
169,2203,3896,3723,2077,855,1721.0,790.0,695.0,178.0,46.0,2781.0,6218.0,751.0,1398.0,1505.0,2584.0,4448.0,1352.0,1659.0,13707.0,11100.0,1530.0,1199.0,1314.0,729.0,1252.0,198.0
170,2204,8652,6724,3510,1731,3250.0,1501.0,1147.0,338.0,117.0,5044.0,11403.0,1440.0,2326.0,2922.0,5815.0,7906.0,2610.0,3482.0,26499.0,21125.0,3263.0,2276.0,2823.0,1324.0,2868.0,428.0
171,2205,6199,4996,1819,2336,2498.0,1086.0,681.0,309.0,191.0,3431.0,8188.0,1148.0,1461.0,3074.0,6211.0,4440.0,1410.0,1700.0,19447.0,11902.0,6152.0,1156.0,1797.0,1577.0,5707.0,129.0
172,2206,6492,4223,2120,1691,2042.0,1181.0,1332.0,465.0,179.0,2031.0,7227.0,1073.0,2503.0,2196.0,2002.0,5709.0,2137.0,3798.0,19407.0,16889.0,1270.0,2985.0,1912.0,742.0,793.0,168.0
173,2207,9535,6242,2352,2711,2759.0,1775.0,1804.0,718.0,293.0,3052.0,10398.0,1801.0,3407.0,3460.0,3794.0,7639.0,3147.0,5279.0,28536.0,23169.0,3153.0,2943.0,3433.0,1817.0,2645.0,162.0
174,2208,4554,2719,1055,1217,1365.0,789.0,851.0,326.0,105.0,1305.0,4744.0,750.0,1491.0,1518.0,1588.0,3431.0,1388.0,2277.0,12450.0,10589.0,1263.0,1544.0,1519.0,742.0,934.0,97.0
175,2209,5863,3436,1141,1801,1654.0,1053.0,1011.0,370.0,149.0,1932.0,6174.0,945.0,1775.0,2011.0,2300.0,4210.0,1923.0,2602.0,15772.0,12343.0,2602.0,1172.0,2377.0,1688.0,2116.0,119.0
176,2210,11454,6392,2552,3025,3301.0,1895.0,1924.0,759.0,257.0,3941.0,12077.0,1701.0,3560.0,3827.0,3788.0,7817.0,3771.0,6135.0,30582.0,25208.0,3878.0,2057.0,3431.0,2384.0,3032.0,238.0
177,2211,6085,4005,1347,1650,1763.0,1096.0,1098.0,406.0,152.0,2025.0,6538.0,980.0,1890.0,2133.0,2254.0,4453.0,2134.0,3001.0,16845.0,14421.0,1593.0,1057.0,2014.0,1095.0,1385.0,161.0
178,2212,5624,3658,1203,1435,1586.0,978.0,1010.0,445.0,160.0,1781.0,5964.0,1034.0,1992.0,1999.0,2208.0,4226.0,1913.0,2467.0,15846.0,13368.0,1714.0,953.0,1930.0,1066.0,1556.0,160.0
179,2213,7294,5051,2168,1787,2164.0,1353.0,1541.0,634.0,206.0,2275.0,8187.0,1432.0,2978.0,2767.0,2539.0,6121.0,2683.0,3266.0,21788.0,19338.0,1405.0,1170.0,1777.0,1048.0,1214.0,326.0
180,2214,1359,967,353,307,437.0,223.0,306.0,100.0,34.0,310.0,1418.0,261.0,535.0,510.0,461.0,1050.0,447.0,694.0,3952.0,3654.0,159.0,233.0,176.0,71.0,114.0,100.0
181,2216,9974,6963,2101,2903,3454.0,1860.0,1322.0,439.0,152.0,4722.0,11944.0,1651.0,2397.0,3456.0,6526.0,7472.0,2660.0,3887.0,28065.0,19158.0,6882.0,2579.0,2891.0,2243.0,6649.0,188.0
182,2217,8933,6687,2484,2646,3209.0,1807.0,1524.0,514.0,135.0,3986.0,11166.0,1751.0,2774.0,3146.0,5296.0,7388.0,2545.0,3943.0,26846.0,19361.0,5951.0,2328.0,2520.0,2194.0,5781.0,176.0
183,2218,5888,3974,1251,1847,1957.0,1210.0,899.0,317.0,113.0,2234.0,6725.0,1047.0,1618.0,2144.0,3289.0,4293.0,1881.0,2158.0,16425.0,11844.0,3744.0,1242.0,2149.0,1657.0,3589.0,90.0
184,2219,4298,3243,1529,1032,1688.0,804.0,740.0,277.0,72.0,2193.0,5785.0,722.0,1488.0,1233.0,1483.0,3743.0,1711.0,2811.0,13196.0,11556.0,819.0,1543.0,1120.0,513.0,630.0,114.0
185,2220,11593,6927,2011,5735,3700.0,2209.0,1709.0,588.0,194.0,4663.0,13064.0,1766.0,2853.0,5369.0,7722.0,7634.0,3308.0,3841.0,32487.0,19302.0,11759.0,1543.0,3987.0,4280.0,10626.0,97.0
186,2221,5078,3639,2095,1784,1560.0,1023.0,1137.0,518.0,164.0,1613.0,6013.0,899.0,2166.0,2310.0,1731.0,4524.0,1926.0,2935.0,16482.0,14073.0,1664.0,1395.0,1768.0,1112.0,1325.0,71.0
187,2222,4428,3130,1101,1362,1420.0,874.0,844.0,225.0,77.0,1756.0,5195.0,782.0,1321.0,1710.0,2326.0,3450.0,1464.0,1729.0,12790.0,9472.0,2661.0,751.0,1390.0,1231.0,2559.0,48.0
188,2223,6110,5188,2944,1914,2379.0,1340.0,1391.0,497.0,130.0,2573.0,8313.0,1302.0,2491.0,2484.0,2858.0,5912.0,2615.0,3247.0,20903.0,17667.0,2274.0,1295.0,1721.0,1430.0,1943.0,153.0
189,2224,4587,3320,1696,1130,1712.0,845.0,933.0,366.0,94.0,1552.0,5501.0,861.0,1716.0,1562.0,1381.0,3777.0,1634.0,3280.0,14209.0,12704.0,799.0,1244.0,1042.0,578.0,546.0,125.0
190,2225,1427,1159,995,377,465.0,324.0,471.0,198.0,36.0,342.0,1842.0,385.0,909.0,603.0,484.0,1628.0,646.0,746.0,5408.0,5003.0,222.0,276.0,238.0,168.0,158.0,46.0
191,2226,3563,2869,1939,801,1301.0,732.0,930.0,386.0,70.0,1202.0,4618.0,862.0,1863.0,1400.0,1263.0,3751.0,1514.0,1852.0,12505.0,11295.0,635.0,616.0,562.0,508.0,538.0,138.0
192,2227,4468,3509,2202,902,1655.0,872.0,1047.0,415.0,85.0,1549.0,5626.0,925.0,1988.0,1703.0,1621.0,4253.0,1695.0,2443.0,14622.0,13292.0,734.0,721.0,586.0,488.0,583.0,144.0
193,2228,6022,4368,2148,1218,2103.0,1141.0,1127.0,409.0,120.0,2510.0,7408.0,1186.0,2163.0,2004.0,2361.0,4952.0,2059.0,3633.0,18364.0,15846.0,1524.0,1104.0,1126.0,812.0,1226.0,194.0
194,2229,8752,6777,4246,1857,3305.0,1642.0,1859.0,782.0,202.0,3700.0,11496.0,1853.0,3633.0,3301.0,3346.0,7701.0,3497.0,5392.0,28712.0,25843.0,1449.0,1570.0,1120.0,791.0,1156.0,311.0
195,2230,7893,8146,4799,1603,4066.0,1522.0,1359.0,613.0,163.0,5047.0,12771.0,1497.0,2856.0,3173.0,4714.0,7760.0,4029.0,4804.0,28842.0,25043.0,1762.0,1465.0,1125.0,675.0,1368.0,299.0
196,2231,643,546,217,189,212.0,112.0,183.0,66.0,21.0,229.0,831.0,175.0,392.0,223.0,250.0,666.0,251.0,303.0,2269.0,2087.0,90.0,117.0,66.0,46.0,38.0,62.0
197,2232,10056,8479,4341,1995,4021.0,2030.0,2110.0,744.0,187.0,4145.0,13246.0,2202.0,4020.0,3576.0,4516.0,9290.0,3526.0,5737.0,32870.0,29162.0,2134.0,1638.0,1564.0,1262.0,1790.0,373.0
198,2233,9141,7443,3544,1780,3122.0,1822.0,2187.0,971.0,220.0,2268.0,10600.0,1970.0,4444.0,3513.0,3013.0,8282.0,3435.0,4840.0,29497.0,27618.0,1009.0,1362.0,929.0,648.0,631.0,390.0
199,2234,9173,7894,4465,2260,2975.0,2035.0,2450.0,987.0,266.0,1794.0,10506.0,1674.0,3979.0,4703.0,3234.0,8210.0,4910.0,3875.0,30579.0,28499.0,1124.0,2195.0,1875.0,931.0,741.0,312.0
200,2250,25217,14970,5434,4581,8137.0,3866.0,3669.0,1438.0,541.0,10241.0,27889.0,3926.0,8334.0,8040.0,7963.0,17596.0,8417.0,12922.0,67195.0,58906.0,4245.0,3752.0,3109.0,2166.0,3001.0,1865.0
201,2251,12546,7135,3046,2026,4179.0,1905.0,1995.0,795.0,202.0,4223.0,13298.0,1812.0,4304.0,3626.0,2893.0,8428.0,4409.0,7227.0,32708.0,29519.0,1488.0,1902.0,1217.0,846.0,1138.0,742.0
202,2256,6924,3068,1092,958,2252.0,843.0,673.0,241.0,91.0,3164.0,7264.0,778.0,1549.0,1535.0,1490.0,3842.0,2223.0,4177.0,15603.0,13661.0,942.0,950.0,661.0,370.0,582.0,678.0
203,2257,12423,5853,1986,1814,4179.0,1650.0,1416.0,466.0,193.0,5028.0,12935.0,1629.0,3203.0,2908.0,2746.0,7188.0,4015.0,7328.0,29009.0,25693.0,1534.0,1624.0,1074.0,594.0,880.0,1041.0
204,2258,1799,1283,464,361,641.0,297.0,307.0,128.0,56.0,572.0,1997.0,273.0,746.0,691.0,595.0,1414.0,720.0,722.0,5167.0,4667.0,256.0,244.0,268.0,97.0,131.0,134.0
205,2259,24102,12072,3512,3968,7268.0,3327.0,3298.0,1479.0,575.0,7466.0,23406.0,3597.0,8372.0,7436.0,6255.0,15355.0,7058.0,11441.0,59513.0,53341.0,2667.0,3087.0,1936.0,1031.0,1469.0,2813.0
206,2260,7726,5489,2927,1555,2930.0,1323.0,1450.0,619.0,161.0,2730.0,9213.0,1395.0,3185.0,2785.0,2521.0,6274.0,3137.0,4114.0,23418.0,21022.0,1187.0,1264.0,912.0,670.0,981.0,410.0
207,2261,21636,11450,3107,3046,6844.0,3019.0,2738.0,1126.0,365.0,8265.0,22360.0,3157.0,6490.0,6003.0,5998.0,13135.0,6893.0,11092.0,52751.0,47555.0,2035.0,2645.0,1471.0,731.0,1002.0,2160.0
208,2262,9105,4053,816,1357,2756.0,1189.0,1060.0,463.0,201.0,3039.0,8715.0,1390.0,2831.0,2685.0,2374.0,5033.0,2521.0,3998.0,20828.0,18902.0,777.0,1075.0,568.0,240.0,219.0,1415.0
209,2263,11085,4433,941,1349,3323.0,1340.0,1011.0,411.0,183.0,4625.0,10894.0,1384.0,2654.0,2749.0,2676.0,5423.0,3280.0,6104.0,24263.0,21354.0,982.0,1343.0,646.0,249.0,360.0,1353.0
210,2264,6313,2822,851,943,2185.0,769.0,641.0,277.0,115.0,2069.0,6063.0,754.0,1591.0,1582.0,1443.0,3141.0,1965.0,3760.0,14233.0,12921.0,635.0,880.0,394.0,171.0,331.0,588.0
211,2265,2350,1156,381,415,758.0,329.0,286.0,123.0,45.0,736.0,2276.0,334.0,656.0,783.0,590.0,1359.0,735.0,1352.0,5809.0,5160.0,283.0,321.0,250.0,146.0,160.0,184.0
212,2267,1248,563,198,190,495.0,133.0,126.0,47.0,11.0,420.0,1226.0,117.0,273.0,227.0,228.0,615.0,485.0,823.0,2757.0,2539.0,95.0,141.0,90.0,27.0,26.0,115.0
213,2278,984,642,153,189,289.0,177.0,181.0,56.0,26.0,217.0,945.0,186.0,325.0,355.0,341.0,716.0,402.0,246.0,2571.0,2442.0,28.0,61.0,26.0,3.0,13.0,148.0
214,2280,10683,5767,2340,1663,3705.0,1527.0,1600.0,580.0,178.0,3434.0,11021.0,1446.0,3370.0,3296.0,2438.0,6888.0,3660.0,5587.0,26682.0,24876.0,697.0,908.0,525.0,347.0,444.0,829.0
215,2281,6356,2838,1059,930,2112.0,838.0,726.0,273.0,92.0,2125.0,6169.0,733.0,1507.0,1518.0,1234.0,3472.0,2172.0,3641.0,14273.0,13205.0,391.0,619.0,256.0,112.0,220.0,561.0
216,2282,5472,3364,1655,876,2051.0,828.0,921.0,339.0,90.0,1723.0,5953.0,785.0,1909.0,1749.0,1281.0,3898.0,2012.0,3136.0,14775.0,13673.0,484.0,649.0,407.0,286.0,402.0,292.0
217,2283,9878,4817,1699,1500,3416.0,1400.0,1151.0,439.0,147.0,3126.0,9681.0,1233.0,2583.0,2643.0,2217.0,5527.0,3479.0,5608.0,23297.0,21356.0,752.0,1081.0,544.0,276.0,384.0,1222.0
218,2284,4527,2198,696,685,1418.0,627.0,543.0,182.0,71.0,1626.0,4468.0,605.0,1138.0,1301.0,1210.0,2648.0,1443.0,2152.0,10498.0,9710.0,323.0,400.0,216.0,103.0,182.0,503.0
219,2285,11365,7313,2138,1848,3659.0,1908.0,1960.0,713.0,225.0,3538.0,12002.0,2388.0,4197.0,3639.0,4531.0,8100.0,3309.0,4556.0,30715.0,28541.0,961.0,910.0,586.0,425.0,825.0,1501.0
220,2286,1594,873,196,254,539.0,252.0,225.0,82.0,32.0,439.0,1576.0,271.0,525.0,462.0,527.0,1011.0,493.0,595.0,3909.0,3661.0,63.0,113.0,43.0,28.0,22.0,219.0
221,2287,13914,8019,2715,2694,4357.0,2203.0,2139.0,810.0,262.0,4730.0,14492.0,2467.0,4676.0,5167.0,5008.0,9329.0,4055.0,5685.0,36400.0,32541.0,2400.0,1216.0,959.0,643.0,2255.0,1623.0
222,2289,6782,4570,2183,1048,2337.0,1144.0,1241.0,445.0,108.0,2410.0,7686.0,1222.0,2556.0,2341.0,2334.0,5341.0,2028.0,3292.0,19118.0,17856.0,658.0,761.0,431.0,311.0,628.0,443.0
223,2290,13051,7414,3057,1871,4331.0,1991.0,1980.0,656.0,214.0,4570.0,13743.0,2106.0,4197.0,3850.0,4251.0,8541.0,4073.0,6397.0,33422.0,30652.0,1140.0,1206.0,719.0,444.0,884.0,1126.0
224,2291,4158,3309,2262,621,1600.0,645.0,767.0,331.0,66.0,2258.0,5659.0,703.0,1650.0,1739.0,1884.0,3645.0,1707.0,2089.0,13413.0,12335.0,396.0,413.0,341.0,253.0,367.0,202.0
225,2292,932,627,229,122,331.0,143.0,115.0,27.0,15.0,513.0,1143.0,157.0,280.0,325.0,437.0,666.0,288.0,302.0,2465.0,2244.0,115.0,95.0,77.0,40.0,99.0,107.0
226,2293,883,712,318,129,409.0,138.0,87.0,19.0,0.0,601.0,1255.0,129.0,196.0,328.0,547.0,636.0,351.0,317.0,2521.0,2265.0,102.0,79.0,67.0,42.0,74.0,62.0
227,2294,728,516,194,84,272.0,108.0,63.0,20.0,5.0,461.0,928.0,120.0,158.0,209.0,465.0,503.0,237.0,243.0,1929.0,1735.0,71.0,44.0,43.0,25.0,62.0,137.0
228,2295,2767,1330,604,343,1055.0,342.0,283.0,119.0,28.0,1160.0,2983.0,361.0,638.0,549.0,707.0,1680.0,1149.0,1845.0,6925.0,6299.0,209.0,232.0,122.0,73.0,122.0,280.0
229,2296,680,525,194,84,269.0,91.0,66.0,20.0,0.0,479.0,919.0,113.0,171.0,241.0,436.0,542.0,216.0,172.0,1883.0,1643.0,104.0,54.0,50.0,39.0,91.0,69.0
