postcode,mean_price 2020 Q1,mean_price 2020 Q2,mean_price 2020 Q3,mean_price 2020 Q4,mean_price 2021 Q1,median_price 2020 Q1,median_price 2020 Q2,median_price 2020 Q3,median_price 2020 Q4,median_price 2021 Q1,median_rent_newb 2020 Q1,median_rent_newb 2020 Q2,median_rent_newb 2020 Q3,median_rent_newb 2020 Q4,median_rent_newb 2021 Q1,new_bonds_no 2020 Q1,new_bonds_no 2020 Q2,new_bonds_no 2020 Q3,new_bonds_no 2020 Q4,new_bonds_no 2021 Q1,sales_no 2020 Q1,sales_no 2020 Q2,sales_no 2020 Q3,sales_no 2020 Q4,sales_no 2021 Q1,total_bonds_no 2020 Q1,total_bonds_no 2020 Q2,total_bonds_no 2020 Q3,total_bonds_no 2020 Q4,total_bonds_no 2021 Q1,INCP_LOW,INCP_MID,INCP_HIGH,INCP_NEG_NIL,CPRF_2,CPRF_3,CPRF_4,CPRF_5,CPRF_6+,CPRF_na,CPRF_HHOLD_NO,0-4yo,5-14yo,15-24yo,25-34yo,35-54yo,55-64yo,65+yo,population_2016,citizen_AU,citizen_non_AU,YARRP <1975,YARRP 1976-1995,YARRP 1996-2005,YARRP 2006-2016,ATSI,10yBonds% 2020 Q1,10yBonds% 2020 Q2,10yBonds% 2020 Q3,10yBonds% 2020 Q4,10yBonds% 2021 Q1,2yBonds% 2020 Q1,2yBonds% 2020 Q2,2yBonds% 2020 Q3,2yBonds% 2020 Q4,2yBonds% 2021 Q1,Rate 2020 Q1,Rate 2020 Q2,Rate 2020 Q3,Rate 2020 Q4,Rate 2021 Q1,constr_index 2020 Q1,constr_index 2020 Q2,constr_index 2020 Q3,constr_index 2020 Q4,constr_index 2021 Q1
2019,1002.0,864.0,968.0,992.0,1071.0,919.0,810.0,877.0,895.0,960.0,610.0,590.0,550.0,550.0,580.0,203.0,105.0,160.0,171.0,238.0,44.0,37.0,74.0,88.0,89.0,1556.0,1526.0,1558.0,1602.0,1675.0,2739,2814,1419,756,1100.0,707.0,745.0,251.0,57.0,1378.0,4232.0,807.0,1423.0,1248.0,1616.0,3401.0,1040.0,1284.0,10840.0,8942.0,1138.0,618.0,925.0,668.0,927.0,292.0,1.0066666666666666,0.8966666666666666,0.89,0.89,1.3533333333333335,0.6166666666666667,0.24,0.24333333333333332,0.10333333333333333,0.09000000000000001,0.6388888888888888,0.25,0.25,0.15625,0.1,116.0,116.2,116.2,116.9,117.8
2020,1017.0,1031.0,986.0,932.0,925.0,970.0,932.0,865.0,847.0,853.0,700.0,650.0,610.0,580.0,600.0,651.0,464.0,853.0,738.0,867.0,63.0,56.0,66.0,81.0,82.0,4182.0,3936.0,4179.0,4342.0,4568.0,4182,4066,1863,1683,1841.0,885.0,720.0,205.0,57.0,2568.0,6277.0,860.0,1094.0,2394.0,4069.0,3840.0,1196.0,1298.0,14771.0,9538.0,4236.0,849.0,1506.0,1378.0,3685.0,180.0,1.0066666666666666,0.8966666666666666,0.89,0.89,1.3533333333333335,0.6166666666666667,0.24,0.24333333333333332,0.10333333333333333,0.09000000000000001,0.6388888888888888,0.25,0.25,0.15625,0.1,116.0,116.2,116.2,116.9,117.8
2021,2217.0,2216.0,1808.0,2359.0,2495.0,1871.0,2080.0,1825.0,2108.0,2320.0,650.0,620.0,575.0,570.0,535.0,351.0,386.0,439.0,384.0,459.0,67.0,72.0,85.0,114.0,87.0,3472.0,3388.0,3398.0,3435.0,3488.0,2674,3832,4485,792,2028.0,691.0,579.0,150.0,29.0,3926.0,7412.0,806.0,1198.0,1451.0,3820.0,4674.0,1402.0,1958.0,15312.0,11630.0,2000.0,815.0,1106.0,768.0,1885.0,51.0,1.0066666666666666,0.8966666666666666,0.89,0.89,1.3533333333333335,0.6166666666666667,0.24,0.24333333333333332,0.10333333333333333,0.09000000000000001,0.6388888888888888,0.25,0.25,0.15625,0.1,116.0,116.2,116.2,116.9,117.8
2022,1614.0,1682.0,1648.0,1758.0,2494.0,1575.0,1415.0,1492.0,1540.0,1805.0,720.0,660.0,673.0,675.0,650.0,304.0,341.0,548.0,443.0,370.0,53.0,46.0,66.0,70.0,72.0,2810.0,2720.0,2930.0,3079.0,3084.0,2837,2934,2652,766,1527.0,597.0,531.0,156.0,40.0,2810.0,5663.0,739.0,1096.0,1240.0,2824.0,3573.0,1143.0,1881.0,12510.0,8378.0,2536.0,816.0,1064.0,769.0,2402.0,57.0,1.0066666666666666,0.8966666666666666,0.89,0.89,1.3533333333333335,0.6166666666666667,0.24,0.24333333333333332,0.10333333333333333,0.09000000000000001,0.6388888888888888,0.25,0.25,0.15625,0.1,116.0,116.2,116.2,116.9,117.8
2023,2789.0,2855.0,3517.0,3650.0,3024.0,1455.0,2154.0,2400.0,2400.0,1650.0,743.0,625.0,593.0,650.0,650.0,128.0,125.0,168.0,173.0,171.0,40.0,42.0,55.0,69.0,56.0,1408.0,1355.0,1376.0,1400.0,1412.0,1757,2264,2966,933,1257.0,535.0,540.0,281.0,57.0,1818.0,4483.0,574.0,1364.0,1293.0,1730.0,2985.0,1157.0,1616.0,10719.0,8561.0,1260.0,724.0,904.0,637.0,1274.0,38.0,1.0066666666666666,0.8966666666666666,0.89,0.89,1.3533333333333335,0.6166666666666667,0.24,0.24333333333333332,0.10333333333333333,0.09000000000000001,0.6388888888888888,0.25,0.25,0.15625,0.1,116.0,116.2,116.2,116.9,117.8
2024,2205.0,2180.0,2367.0,2497.0,2974.0,1725.0,2068.0,2221.0,1600.0,2255.0,688.0,653.0,650.0,675.0,650.0,134.0,196.0,238.0,195.0,185.0,36.0,38.0,50.0,69.0,67.0,1785.0,1735.0,1782.0,1797.0,1812.0,2197,2409,2568,663,1220.0,577.0,576.0,220.0,39.0,1953.0,4584.0,695.0,1331.0,968.0,1831.0,3487.0,1016.0,1740.0,11073.0,8611.0,1360.0,687.0,779.0,562.0,1325.0,53.0,1.0066666666666666,0.8966666666666666,0.89,0.89,1.3533333333333335,0.6166666666666667,0.24,0.24333333333333332,0.10333333333333333,0.09000000000000001,0.6388888888888888,0.25,0.25,0.15625,0.1,116.0,116.2,116.2,116.9,117.8
2025,2877.0,2466.0,2524.0,2660.0,2406.0,2700.0,2200.0,2000.0,2240.0,2040.0,740.0,690.0,720.0,650.0,650.0,99.0,114.0,132.0,146.0,131.0,20.0,35.0,41.0,39.0,47.0,1175.0,1150.0,1136.0,1168.0,1170.0,1307,1628,2136,451,1011.0,383.0,330.0,90.0,13.0,1656.0,3475.0,422.0,674.0,616.0,1287.0,2015.0,792.0,1598.0,7407.0,5757.0,810.0,493.0,575.0,373.0,768.0,15.0,1.0066666666666666,0.8966666666666666,0.89,0.89,1.3533333333333335,0.6166666666666667,0.24,0.24333333333333332,0.10333333333333333,0.09000000000000001,0.6388888888888888,0.25,0.25,0.15625,0.1,116.0,116.2,116.2,116.9,117.8
2026,2165.0,1656.0,1845.0,1893.0,2966.0,1550.0,1200.0,1525.0,1500.0,1620.0,725.0,650.0,650.0,675.0,700.0,682.0,850.0,1241.0,989.0,838.0,159.0,132.0,169.0,187.0,181.0,8141.0,7824.0,8106.0,8436.0,8528.0,6717,8196,7470,1552,3956.0,1467.0,1277.0,391.0,90.0,8004.0,15192.0,1936.0,2733.0,2829.0,9675.0,9740.0,2323.0,3250.0,32489.0,21905.0,6562.0,1571.0,2484.0,1890.0,6339.0,122.0,1.0066666666666666,0.8966666666666666,0.89,0.89,1.3533333333333335,0.6166666666666667,0.24,0.24333333333333332,0.10333333333333333,0.09000000000000001,0.6388888888888888,0.25,0.25,0.15625,0.1,116.0,116.2,116.2,116.9,117.8
2027,2166.0,2191.0,3657.0,3307.0,3808.0,1650.0,1768.0,2100.0,2200.0,2500.0,785.0,783.0,735.0,650.0,700.0,132.0,136.0,185.0,154.0,192.0,50.0,38.0,43.0,57.0,53.0,1433.0,1404.0,1442.0,1537.0,1576.0,1231,1815,2666,470,1295.0,385.0,231.0,55.0,28.0,2259.0,4253.0,325.0,573.0,619.0,1505.0,2008.0,1017.0,2146.0,8191.0,6164.0,936.0,680.0,639.0,405.0,843.0,29.0,1.0066666666666666,0.8966666666666666,0.89,0.89,1.3533333333333335,0.6166666666666667,0.24,0.24333333333333332,0.10333333333333333,0.09000000000000001,0.6388888888888888,0.25,0.25,0.15625,0.1,116.0,116.2,116.2,116.9,117.8
2028,2112.0,2504.0,1839.0,2521.0,2330.0,1425.0,2120.0,1585.0,1900.0,1635.0,850.0,725.0,680.0,685.0,705.0,91.0,66.0,135.0,102.0,151.0,20.0,20.0,20.0,20.0,20.0,939.0,885.0,942.0,997.0,1025.0,782,1113,1425,281,704.0,208.0,153.0,58.0,5.0,1180.0,2311.0,221.0,310.0,399.0,1079.0,1116.0,503.0,1012.0,4643.0,3502.0,623.0,353.0,360.0,234.0,569.0,12.0,1.0066666666666666,0.8966666666666666,0.89,0.89,1.3533333333333335,0.6166666666666667,0.24,0.24333333333333332,0.10333333333333333,0.09000000000000001,0.6388888888888888,0.25,0.25,0.15625,0.1,116.0,116.2,116.2,116.9,117.8
