0-4yo,10yBonds%,15-24yo,25-34yo,2yBonds%,35-54yo,5-14yo,55-64yo,65+yo,ATSI,CPRF_2,CPRF_3,CPRF_4,CPRF_5,CPRF_6+,CPRF_HHOLD_NO,CPRF_na,INCP_HIGH,INCP_LOW,INCP_MID,INCP_NEG_NIL,Rate,YARRP 1976-1995,YARRP 1996-2005,YARRP 2006-2016,YARRP <1975,citizen_AU,citizen_non_AU,constr_index,median_price,median_rent_newb,new_bonds_no,population_2016,sales_no,total_bonds_no,year,SalesProp,NewBondsProp,TotalBondsProp,IncNegNilProp,IncLowProp,IncMidProp,IncHighProp,postcode,CPRF2Prop,CPRF3Prop,CPRF4Prop,CPRF5Prop,CPRF6+Prop,CPRFnaProp,0-4yoProp,5-14yoProp,15-24yoProp,25-34yoProp,35-54yoProp,55-64yoProp,65+yoProp,citizen_AUProp,citizen_non_AUProp,ATSIProp,YARRP <1975Prop,YARRP 1976-1995Prop,YARRP 1996-2005Prop,YARRP 2006-2016Prop
807.0,1.8024444444444445,1248.0,1616.0,1.1707222222222222,3401.0,1423.0,1040.0,1284.0,292.0,1100.0,707.0,745.0,251.0,57.0,4232.0,1378.0,1419,2739,2814,756,1.0057965843544738,925.0,668.0,927.0,618.0,8942.0,1138.0,115.15333333333332,991.3333333333334,610.6666666666666,167.13333333333333,10840.0,39.17777777777778,1410.4666666666667,2018.8666666666666,0.36,1.54,13.01,6.97,25.27,25.96,13.09,2019,10.15,6.52,6.87,2.32,0.53,12.71,7.44,13.13,11.51,14.91,31.37,9.59,11.85,82.49,10.5,2.69,5.7,8.53,6.16,8.55
860.0,1.8024444444444445,2394.0,4069.0,1.1707222222222222,3840.0,1094.0,1196.0,1298.0,180.0,1841.0,885.0,720.0,205.0,57.0,6277.0,2568.0,1863,4182,4066,1683,1.0057965843544738,1506.0,1378.0,3685.0,849.0,9538.0,4236.0,115.15333333333332,986.2111111111111,688.5333333333333,559.7333333333333,14771.0,46.62222222222222,3715.5333333333333,2018.8666666666666,0.32,3.79,25.15,11.39,28.31,27.53,12.61,2020,12.46,5.99,4.87,1.39,0.39,17.39,5.82,7.41,16.21,27.55,26.0,8.1,8.79,64.57,28.68,1.22,5.75,10.2,9.33,24.95
806.0,1.8024444444444445,1451.0,3820.0,1.1707222222222222,4674.0,1198.0,1402.0,1958.0,51.0,2028.0,691.0,579.0,150.0,29.0,7412.0,3926.0,4485,2674,3832,792,1.0057965843544738,1106.0,768.0,1885.0,815.0,11630.0,2000.0,115.15333333333332,1714.6777777777777,636.8333333333334,373.73333333333335,15312.0,47.644444444444446,3418.6,2018.8666666666666,0.31,2.44,22.33,5.17,17.46,25.03,29.29,2021,13.24,4.51,3.78,0.98,0.19,25.64,5.26,7.82,9.48,24.95,30.53,9.16,12.79,75.95,13.06,0.33,5.32,7.22,5.02,12.31
739.0,1.8024444444444445,1240.0,2824.0,1.1707222222222222,3573.0,1096.0,1143.0,1881.0,57.0,1527.0,597.0,531.0,156.0,40.0,5663.0,2810.0,2652,2837,2934,766,1.0057965843544738,1064.0,769.0,2402.0,816.0,8378.0,2536.0,115.15333333333332,1656.6,713.2,324.1333333333333,12510.0,37.022222222222226,2746.3333333333335,2018.8666666666666,0.3,2.59,21.95,6.12,22.68,23.45,21.2,2022,12.21,4.77,4.24,1.25,0.32,22.46,5.91,8.76,9.91,22.57,28.56,9.14,15.04,66.97,20.27,0.46,6.52,8.51,6.15,19.2
574.0,1.8024444444444445,1293.0,1730.0,1.1707222222222222,2985.0,1364.0,1157.0,1616.0,38.0,1257.0,535.0,540.0,281.0,57.0,4483.0,1818.0,2966,1757,2264,933,1.0057965843544738,904.0,637.0,1274.0,724.0,8561.0,1260.0,115.15333333333332,2651.1222222222223,694.2666666666667,132.66666666666666,10719.0,31.533333333333335,1379.0666666666666,2018.8666666666666,0.29,1.24,12.87,8.7,16.39,21.12,27.67,2023,11.73,4.99,5.04,2.62,0.53,16.96,5.35,12.73,12.06,16.14,27.85,10.79,15.08,79.87,11.75,0.35,6.75,8.43,5.94,11.89
695.0,1.8024444444444445,968.0,1831.0,1.1707222222222222,3487.0,1331.0,1016.0,1740.0,53.0,1220.0,577.0,576.0,220.0,39.0,4584.0,1953.0,2568,2197,2409,663,1.0057965843544738,779.0,562.0,1325.0,687.0,8611.0,1360.0,115.15333333333332,2209.9444444444443,689.7333333333333,169.66666666666666,11073.0,28.866666666666667,1748.6,2018.8666666666666,0.26,1.53,15.79,5.99,19.84,21.76,23.19,2024,11.02,5.21,5.2,1.99,0.35,17.64,6.28,12.02,8.74,16.54,31.49,9.18,15.71,77.77,12.28,0.48,6.2,7.04,5.08,11.97
422.0,1.8024444444444445,616.0,1287.0,1.1707222222222222,2015.0,674.0,792.0,1598.0,15.0,1011.0,383.0,330.0,90.0,13.0,3475.0,1656.0,2136,1307,1628,451,1.0057965843544738,575.0,373.0,768.0,493.0,5757.0,810.0,115.15333333333332,2087.733333333333,739.1,116.93333333333334,7407.0,22.91111111111111,1193.7333333333333,2018.8666666666666,0.31,1.58,16.12,6.09,17.65,21.98,28.84,2025,13.65,5.17,4.46,1.22,0.18,22.36,5.7,9.1,8.32,17.38,27.2,10.69,21.57,77.72,10.94,0.2,6.66,7.76,5.04,10.37
1936.0,1.8024444444444445,2829.0,9675.0,1.1707222222222222,9740.0,2733.0,2323.0,3250.0,122.0,3956.0,1467.0,1277.0,391.0,90.0,15192.0,8004.0,7470,6717,8196,1552,1.0057965843544738,2484.0,1890.0,6339.0,1571.0,21905.0,6562.0,115.15333333333332,1815.7222222222222,715.0,827.6,32489.0,94.13333333333334,8026.466666666666,2018.8666666666666,0.29,2.55,24.71,4.78,20.67,25.23,22.99,2026,12.18,4.52,3.93,1.2,0.28,24.64,5.96,8.41,8.71,29.78,29.98,7.15,10.0,67.42,20.2,0.38,4.84,7.65,5.82,19.51
325.0,1.8024444444444445,619.0,1505.0,1.1707222222222222,2008.0,573.0,1017.0,2146.0,29.0,1295.0,385.0,231.0,55.0,28.0,4253.0,2259.0,2666,1231,1815,470,1.0057965843544738,639.0,405.0,843.0,680.0,6164.0,936.0,115.15333333333332,1978.8111111111111,774.2,144.06666666666666,8191.0,30.91111111111111,1459.6666666666667,2018.8666666666666,0.38,1.76,17.82,5.74,15.03,22.16,32.55,2027,15.81,4.7,2.82,0.67,0.34,27.58,3.97,7.0,7.56,18.37,24.51,12.42,26.2,75.25,11.43,0.35,8.3,7.8,4.94,10.29
221.0,1.7373809523809522,399.0,1079.0,1.110456349206349,1116.0,310.0,503.0,1012.0,12.0,704.0,208.0,153.0,58.0,5.0,2311.0,1180.0,1425,782,1113,281,0.9704963403797933,360.0,234.0,569.0,353.0,3502.0,623.0,115.24285714285713,1382.452380952381,756.2857142857143,96.52380952380952,4643.0,17.38095238095238,926.7619047619048,2018.9285714285713,0.37,2.08,19.96,6.05,16.84,23.97,30.69,2028,15.16,4.48,3.3,1.25,0.11,25.41,4.76,6.68,8.59,23.24,24.04,10.83,21.8,75.43,13.42,0.26,7.6,7.75,5.04,12.26
609.0,1.8024444444444445,982.0,1575.0,1.1707222222222222,2908.0,1185.0,922.0,1767.0,34.0,1269.0,563.0,517.0,217.0,29.0,4304.0,1711.0,2303,1988,2342,718,1.0057965843544738,1029.0,861.0,1168.0,691.0,7969.0,1159.0,115.15333333333332,1543.5333333333333,672.3666666666667,164.93333333333334,9957.0,26.355555555555554,1769.0666666666666,2018.8666666666666,0.26,1.66,17.77,7.21,19.97,23.52,23.13,2029,12.74,5.65,5.19,2.18,0.29,17.18,6.12,11.9,9.86,15.82,29.21,9.26,17.75,80.03,11.64,0.34,6.94,10.33,8.65,11.73
811.0,1.8024444444444445,1850.0,1243.0,1.1707222222222222,4037.0,2173.0,1700.0,2266.0,42.0,1407.0,772.0,926.0,470.0,116.0,5350.0,1654.0,3446,2694,2631,1416,1.0057965843544738,1519.0,1184.0,1338.0,1079.0,11906.0,1224.0,115.15333333333332,2921.0555555555557,757.2,105.13333333333334,14080.0,33.422222222222224,1148.2666666666667,2018.8666666666666,0.24,0.75,8.16,10.06,19.13,18.69,24.47,2030,9.99,5.48,6.58,3.34,0.82,11.75,5.76,15.43,13.14,8.83,28.67,12.07,16.09,84.56,8.69,0.3,7.66,10.79,8.41,9.5
2184.0,1.8024444444444445,3994.0,7716.0,1.1707222222222222,10215.0,3329.0,3103.0,4199.0,190.0,4276.0,1872.0,1684.0,471.0,84.0,15007.0,6624.0,7305,7604,8990,2363,1.0057965843544738,2687.0,2194.0,6171.0,1849.0,25490.0,6274.0,115.15333333333332,1607.3222222222223,616.6666666666666,644.0,34729.0,79.66666666666667,6483.266666666666,2018.8666666666666,0.23,1.85,18.67,6.8,21.9,25.89,21.03,2031,12.31,5.39,4.85,1.36,0.24,19.07,6.29,9.59,11.5,22.22,29.41,8.93,12.09,73.4,18.07,0.55,5.32,7.74,6.32,17.77
622.0,1.8024444444444445,4827.0,3246.0,1.1707222222222222,3416.0,1276.0,1294.0,2019.0,179.0,1652.0,736.0,688.0,229.0,47.0,6952.0,3601.0,1601,5373,3181,3572,1.0057965843544738,1303.0,1016.0,5680.0,1075.0,9498.0,6207.0,115.15333333333332,1321.1555555555556,529.2333333333333,327.06666666666666,16692.0,21.266666666666666,2607.8,2018.8666666666666,0.13,1.96,15.62,21.4,32.19,19.06,9.59,2032,9.9,4.41,4.12,1.37,0.28,21.57,3.73,7.64,28.92,19.45,20.46,7.75,12.1,56.9,37.19,1.07,6.44,7.81,6.09,34.03
540.0,1.7838636363636367,2480.0,2643.0,1.151496212121212,2752.0,925.0,827.0,1400.0,64.0,1356.0,531.0,449.0,155.0,37.0,4909.0,2380.0,1692,3151,2747,1586,0.9945646885443481,954.0,782.0,2864.0,618.0,7471.0,3164.0,115.1659090909091,1055.784090909091,556.3068181818181,271.8181818181818,11573.0,23.363636363636363,2353.0227272727275,2018.8863636363637,0.2,2.35,20.33,13.7,27.23,23.74,14.62,2033,11.72,4.59,3.88,1.34,0.32,20.57,4.67,7.99,21.43,22.84,23.78,7.15,12.1,64.56,27.34,0.55,5.34,8.24,6.76,24.75
1269.0,1.8024444444444445,2039.0,4667.0,1.1707222222222222,6326.0,1979.0,1959.0,2476.0,202.0,2428.0,1073.0,995.0,299.0,61.0,9389.0,4536.0,4713,4470,5250,1052,1.0057965843544738,1495.0,1098.0,3304.0,1023.0,15370.0,3265.0,115.15333333333332,1623.6666666666667,685.8333333333334,399.06666666666666,20716.0,46.422222222222224,3860.266666666667,2018.8666666666666,0.22,1.93,18.63,5.08,21.58,25.34,22.75,2034,11.72,5.18,4.8,1.44,0.29,21.9,6.13,9.55,9.84,22.53,30.54,9.46,11.95,74.19,15.76,0.98,4.94,7.22,5.3,15.95
1944.0,1.8024444444444445,4698.0,5369.0,1.1707222222222222,9496.0,3756.0,3585.0,5631.0,423.0,3938.0,1916.0,2036.0,690.0,160.0,14520.0,5786.0,4928,10170,7941,3408,1.0057965843544738,3393.0,2412.0,5260.0,2741.0,26097.0,6111.0,115.15333333333332,1328.5333333333333,629.2,459.06666666666666,34496.0,60.68888888888889,4344.733333333334,2018.8666666666666,0.18,1.33,12.59,9.88,29.48,23.02,14.29,2035,11.42,5.55,5.9,2.0,0.46,16.77,5.64,10.89,13.62,15.56,27.53,10.39,16.32,75.65,17.72,1.23,7.95,9.84,6.99,15.25
1694.0,1.8024444444444445,3796.0,4160.0,1.1707222222222222,8838.0,3423.0,3491.0,5003.0,1287.0,3018.0,1767.0,1813.0,658.0,171.0,11710.0,4287.0,3206,8999,6556,2454,1.0057965843544738,2991.0,1792.0,2939.0,2107.0,23043.0,3482.0,115.15333333333332,1215.6184444444445,634.6666666666666,358.2,30411.0,59.955555555555556,3119.5333333333333,2018.8666666666666,0.2,1.18,10.26,8.07,29.59,21.56,10.54,2036,9.92,5.81,5.96,2.16,0.56,14.1,5.57,11.26,12.48,13.68,29.06,11.48,16.45,75.77,11.45,4.23,6.93,9.84,5.89,9.66
632.0,1.8024444444444445,2715.0,4069.0,1.1707222222222222,4145.0,920.0,1708.0,1921.0,309.0,2153.0,688.0,458.0,102.0,19.0,7965.0,4552.0,2985,4585,3889,1382,1.0057965843544738,1282.0,831.0,2845.0,700.0,11299.0,3074.0,115.15333333333332,1366.4888888888888,582.8333333333334,472.2,16119.0,36.044444444444444,3763.4666666666667,2018.8666666666666,0.22,2.93,23.35,8.57,28.44,24.13,18.52,2037,13.36,4.27,2.84,0.63,0.12,28.24,3.92,5.71,16.84,25.24,25.71,10.6,11.92,70.1,19.07,1.92,4.34,7.95,5.16,17.65
626.0,1.820530303030303,992.0,1687.0,1.183314393939394,3147.0,945.0,1008.0,1047.0,93.0,1125.0,491.0,502.0,112.0,22.0,4125.0,1885.0,2324,2128,2171,548,1.0141353956150552,644.0,427.0,769.0,532.0,7746.0,924.0,115.1340909090909,1246.9457727272727,609.6363636363636,162.9090909090909,9452.0,21.522727272727273,1695.7045454545455,2018.840909090909,0.23,1.72,17.94,5.8,22.51,22.97,24.59,2038,11.9,5.19,5.31,1.18,0.23,19.94,6.62,10.0,10.5,17.85,33.29,10.66,11.08,81.95,9.78,0.98,5.63,6.81,4.52,8.14
628.0,1.8024444444444445,628.0,1585.0,1.1707222222222222,3129.0,883.0,975.0,889.0,61.0,1269.0,472.0,486.0,101.0,10.0,3951.0,1608.0,2664,1478,1938,426,1.0057965843544738,649.0,499.0,969.0,418.0,6866.0,1034.0,115.15333333333332,1433.2679444444445,692.8666666666667,155.2,8726.0,26.77777777777778,1405.6666666666667,2018.8666666666666,0.31,1.78,16.11,4.88,16.94,22.21,30.53,2039,14.54,5.41,5.57,1.16,0.11,18.43,7.2,10.12,7.2,18.16,35.86,11.17,10.19,78.68,11.85,0.7,4.79,7.44,5.72,11.1
1836.0,1.8024444444444445,1965.0,3407.0,1.1707222222222222,7615.0,2630.0,2183.0,2603.0,302.0,2443.0,1381.0,1361.0,319.0,47.0,9359.0,3805.0,4864,5181,4917,1151,1.0057965843544738,1612.0,1047.0,1689.0,1576.0,18405.0,2114.0,115.15333333333332,1274.7222222222222,661.6666666666666,310.26666666666665,22242.0,56.2,3005.866666666667,2018.8666666666666,0.25,1.39,13.51,5.17,23.29,22.11,21.87,2040,10.98,6.21,6.12,1.43,0.21,17.11,8.25,11.82,8.83,15.32,34.24,9.81,11.7,82.75,9.5,1.36,7.09,7.25,4.71,7.59
1036.0,1.8024444444444445,1186.0,2189.0,1.1707222222222222,5326.0,1698.0,1999.0,2248.0,113.0,2062.0,858.0,841.0,238.0,44.0,7182.0,3146.0,4606,3060,3170,814,1.0057965843544738,1178.0,849.0,1511.0,861.0,12511.0,1690.0,115.15333333333332,1654.088888888889,701.8333333333334,231.4,15687.0,43.08888888888889,2448.8,2018.8666666666666,0.27,1.48,15.61,5.19,19.51,20.21,29.36,2041,13.14,5.47,5.36,1.52,0.28,20.05,6.6,10.82,7.56,13.95,33.95,12.74,14.33,79.75,10.77,0.72,5.49,7.51,5.41,9.63
821.0,1.8024444444444445,2636.0,5785.0,1.1707222222222222,5906.0,1107.0,1552.0,1317.0,223.0,2511.0,756.0,585.0,110.0,25.0,9007.0,5013.0,3729,4818,5696,1078,1.0057965843544738,1351.0,966.0,2616.0,807.0,14236.0,2888.0,115.15333333333332,1261.3555555555556,576.2333333333333,477.73333333333335,19128.0,47.82222222222222,4541.2,2018.8666666666666,0.25,2.5,23.74,5.64,25.19,29.78,19.49,2042,13.13,3.95,3.06,0.58,0.13,26.21,4.29,5.79,13.78,30.24,30.88,8.11,6.89,74.42,15.1,1.17,4.22,7.06,5.05,13.68
