postcode,rkey,time_period,median_rent_newb,new_bonds_no,total_bonds_no,Qdelta_median_rent,Qdelta_new_bonds,Adelta_median_rent,Adelta_new_bonds
2792,r122,2017 Q4,450.0,5.0,20.0,,,,
2793,r122,2017 Q4,450.0,5.0,20.0,,,,
2794,r122,2017 Q4,240.0,82.0,828.0,-0.0103,0.0513,0.0435,0.2615
2795,r122,2017 Q4,310.0,419.0,3901.0,0.0,0.1144,0.0,-0.0584
2797,r122,2017 Q4,450.0,5.0,5.0,,,,
2798,r122,2017 Q4,350.0,20.0,77.0,0.4,1.2,0.129,0.0
2799,r122,2017 Q4,262.5,34.0,304.0,-0.0278,-0.15,-0.0625,-0.0811
2800,r122,2017 Q4,320.0,430.0,4296.0,0.0,-0.1731,0.0667,-0.0753
2803,r122,2017 Q4,450.0,5.0,5.0,,,,
2804,r122,2017 Q4,200.0,20.0,146.0,0.0,0.0,-0.1489,-0.3333
2805,r122,2017 Q4,450.0,5.0,5.0,,,,
2806,r122,2017 Q4,450.0,5.0,20.0,,,,
2807,r122,2017 Q4,450.0,5.0,5.0,,,,
2808,r122,2017 Q4,450.0,5.0,5.0,,,,
2810,r122,2017 Q4,195.0,20.0,111.0,-0.1522,0.1,-0.1136,0.0
2818,r122,2017 Q4,450.0,5.0,20.0,,,,
2820,r122,2017 Q4,247.5,68.0,488.0,0.0313,-0.0685,0.0761,-0.1169
2821,r122,2017 Q4,280.0,32.0,273.0,0.0566,0.0323,0.0769,0.28
2823,r122,2017 Q4,450.0,5.0,65.0,,,,
2824,r122,2017 Q4,200.0,20.0,112.0,-0.0909,0.4167,0.0811,0.0
2825,r122,2017 Q4,450.0,5.0,149.0,,,,
2826,r122,2017 Q4,450.0,5.0,5.0,,,,
2827,r122,2017 Q4,230.0,20.0,261.0,0.0455,-0.1481,0.2105,-0.1154
2828,r122,2017 Q4,450.0,5.0,35.0,,,,
2829,r122,2017 Q4,180.0,20.0,131.0,-0.1,-0.2778,-0.1,-0.4348
2830,r122,2017 Q4,330.0,479.0,4077.0,0.0,0.1683,0.0645,0.1378
2831,r122,2017 Q4,450.0,5.0,33.0,,,,
2832,r122,2017 Q4,450.0,5.0,86.0,,,,
2833,r122,2017 Q4,450.0,5.0,20.0,,,,
2834,r122,2017 Q4,240.0,20.0,125.0,0.2632,1.8,0.1429,0.2727
2835,r122,2017 Q4,156.09,78.0,619.0,-0.2195,0.2381,-0.2195,-0.0714
2836,r122,2017 Q4,450.0,5.0,20.0,,,,
2838,r122,2017 Q4,450.0,5.0,5.0,,,,
2839,r122,2017 Q4,450.0,5.0,31.0,,,,
2840,r122,2017 Q4,200.0,20.0,96.0,-0.0476,-0.4,-0.1111,0.0909
2842,r122,2017 Q4,450.0,5.0,5.0,,,,
2843,r122,2017 Q4,450.0,5.0,76.0,,,,
2844,r122,2017 Q4,450.0,5.0,67.0,,,,
2845,r122,2017 Q4,300.0,20.0,122.0,-0.0909,0.0,-0.0625,0.0
2846,r122,2017 Q4,450.0,5.0,5.0,,,,
2847,r122,2017 Q4,450.0,5.0,106.0,,,,
2848,r122,2017 Q4,200.0,20.0,180.0,-0.0476,-0.3529,0.0127,-0.3125
2849,r122,2017 Q4,450.0,5.0,84.0,,,,
2850,r122,2017 Q4,350.0,140.0,1525.0,0.0,-0.186,0.0606,-0.3694
2852,r122,2017 Q4,310.0,20.0,256.0,0.0783,-0.1765,0.1071,-0.1515
2864,r122,2017 Q4,450.0,5.0,20.0,,,,
2865,r122,2017 Q4,450.0,5.0,20.0,,,,
2866,r122,2017 Q4,255.0,20.0,133.0,0.0,0.8,-0.0192,-0.1429
2867,r122,2017 Q4,450.0,5.0,5.0,,,,
2868,r122,2017 Q4,450.0,5.0,20.0,,,,
2869,r122,2017 Q4,450.0,5.0,51.0,,,,
2870,r122,2017 Q4,270.0,90.0,948.0,0.08,-0.0909,0.08,0.0
2871,r122,2017 Q4,260.0,61.0,640.0,0.1818,0.0339,0.0833,0.3864
2873,r122,2017 Q4,450.0,5.0,5.0,,,,
2874,r122,2017 Q4,450.0,5.0,5.0,,,,
2875,r122,2017 Q4,450.0,5.0,20.0,,,,
2876,r122,2017 Q4,450.0,5.0,5.0,,,,
2877,r122,2017 Q4,225.0,20.0,177.0,0.0465,0.1111,0.0714,0.1765
2878,r122,2017 Q4,450.0,5.0,20.0,,,,
2879,r122,2017 Q4,450.0,5.0,5.0,,,,
2880,r122,2017 Q4,247.5,118.0,1650.0,0.0761,-0.2892,0.125,-0.2625
2898,r122,2017 Q4,450.0,5.0,5.0,,,,
2903,r122,2017 Q4,450.0,5.0,5.0,,,,
2905,r122,2017 Q4,450.0,5.0,5.0,,,,
2000,r123,2018 Q1,700.0,1024.0,7279.0,-0.0278,0.4027,0.0145,0.2442
2007,r123,2018 Q1,484.0,411.0,1946.0,-0.0868,1.2459,0.0083,-0.042
2008,r123,2018 Q1,479.0,931.0,4475.0,0.0021,0.315,0.0368,-0.1108
2009,r123,2018 Q1,800.0,286.0,2808.0,0.0356,0.0142,0.0959,0.2489
2010,r123,2018 Q1,650.0,784.0,8230.0,0.0,0.0013,0.0,0.0013
2011,r123,2018 Q1,572.5,742.0,7102.0,0.0133,0.1467999999999999,0.0409,0.088
2015,r123,2018 Q1,650.0,269.0,2438.0,0.0,-0.0692,0.0156,0.1447
2016,r123,2018 Q1,560.0,451.0,3100.0,0.2043,0.0022,0.0191,0.0112
2017,r123,2018 Q1,750.0,976.0,6117.0,0.0713999999999999,0.429,0.0417,0.291
2018,r123,2018 Q1,650.0,382.0,2583.0,0.0317,0.3993,0.0833,0.528
2019,r123,2018 Q1,650.0,188.0,1230.0,-0.0152,0.0621,0.0196,0.4688
2020,r123,2018 Q1,720.0,469.0,3034.0,0.0,0.4343,0.0588,0.6341
2021,r123,2018 Q1,650.0,361.0,3346.0,-0.1003,0.1352,0.0359,0.1281
2022,r123,2018 Q1,750.0,258.0,2574.0,0.0,-0.0686,-0.0385,0.1168999999999999
2023,r123,2018 Q1,770.0,96.0,1336.0,0.0267,0.1033999999999999,0.0132,0.0105
2024,r123,2018 Q1,700.0,148.0,1683.0,0.0,0.1563,0.0,0.184
2025,r123,2018 Q1,800.0,110.0,1193.0,0.0127,0.0092,0.0667,0.0
2026,r123,2018 Q1,760.0,631.0,7743.0,0.0066,-0.0063,0.0133,0.0096
2027,r123,2018 Q1,850.0,134.0,1434.0,-0.0116,0.1452999999999999,0.0692,-0.0883999999999999
2028,r123,2018 Q1,800.0,89.0,908.0,0.0526,-0.022,0.0063,0.0723
2029,r123,2018 Q1,740.0,168.0,1715.0,0.0207,0.0909,0.0725,0.2173999999999999
2030,r123,2018 Q1,775.0,101.0,1118.0,0.0333,0.1882,0.0065,0.1099
2031,r123,2018 Q1,650.0,592.0,6313.0,0.0,0.1045,0.0,0.0404
2032,r123,2018 Q1,610.0,337.0,2447.0,0.0167,1.0424,-0.0161,0.1122
2033,r123,2018 Q1,600.0,292.0,2298.0,-0.0123,0.2478999999999999,0.0,0.0069
2034,r123,2018 Q1,702.5,316.0,3717.0,0.0036,-0.0733,-0.0035,0.0
2035,r123,2018 Q1,675.0,417.0,4043.0,0.0075,0.1914,0.0385,0.1119999999999999
2036,r123,2018 Q1,650.0,267.0,2691.0,0.0833,0.2477,-0.0152,-0.203
2037,r123,2018 Q1,600.0,445.0,3547.0,0.005,0.2861,0.0363,-0.1118
2038,r123,2018 Q1,620.0,167.0,1723.0,-0.0534,0.1284,-0.0462,-0.0401999999999999
2039,r123,2018 Q1,750.0,120.0,1347.0,0.1028999999999999,0.0084,-0.026,-0.2257999999999999
2040,r123,2018 Q1,700.0,326.0,2818.0,0.0145,0.3415999999999999,0.0145,0.128
2041,r123,2018 Q1,740.0,255.0,2410.0,0.0,0.3077,0.0423,-0.0414
2042,r123,2018 Q1,650.0,423.0,4406.0,0.1255,0.1949,0.1207,0.0709
2043,r123,2018 Q1,700.0,187.0,1466.0,0.0,0.3453,0.0,0.375
2044,r123,2018 Q1,670.0,121.0,1054.0,0.019,0.1204,-0.0429,0.5921
2045,r123,2018 Q1,695.0,35.0,307.0,0.3112999999999999,0.5217,-0.0381,0.4583
2046,r123,2018 Q1,630.0,268.0,2833.0,-0.0455,-0.1155,-0.0308,0.0388
2047,r123,2018 Q1,700.0,149.0,1668.0,0.0769,-0.051,0.0294,0.0876
2048,r123,2018 Q1,580.0,133.0,1533.0,0.0545,0.0902,0.0943,-0.1192
2049,r123,2018 Q1,550.0,254.0,2215.0,0.0,0.4682,0.0,0.0583
2050,r123,2018 Q1,660.0,256.0,2271.0,0.0313,0.2367,0.0154,0.0449
2060,r123,2018 Q1,640.0,378.0,3599.0,-0.0154,-0.0503,0.0,-0.0503
2061,r123,2018 Q1,777.5,224.0,1764.0,0.0799,0.3333,0.1268,0.5448
2062,r123,2018 Q1,675.0,117.0,1188.0,0.125,0.0263,0.0465,0.1359
2063,r123,2018 Q1,777.5,38.0,374.0,-0.0852999999999999,-0.1163,0.0298,0.2667
2064,r123,2018 Q1,592.5,118.0,1190.0,-0.0125,-0.1449,-0.0444,0.2967
2065,r123,2018 Q1,650.0,679.0,5710.0,0.0317,0.2301,0.04,0.1932999999999999
2066,r123,2018 Q1,600.0,472.0,3980.0,0.0256,0.226,0.0,-0.0426
2067,r123,2018 Q1,590.0,573.0,4023.0,-0.0745,0.4543,-0.1324,0.3482
2068,r123,2018 Q1,675.0,127.0,1281.0,-0.0625,-0.0929,-0.0323,0.1545
2069,r123,2018 Q1,677.5,98.0,848.0,-0.0037,-0.02,0.0423,0.0769
2070,r123,2018 Q1,700.0,107.0,884.0,0.0,0.2892,0.0294,-0.1769
2071,r123,2018 Q1,680.0,99.0,957.0,0.0709,-0.3218999999999999,0.0,-0.1081
2072,r123,2018 Q1,600.0,135.0,905.0,-0.0438,0.0385,-0.084,0.4063
2073,r123,2018 Q1,685.0,97.0,744.0,-0.1437,0.1828999999999999,-0.0552,-0.0102
2074,r123,2018 Q1,650.0,129.0,1028.0,-0.0972,0.2772,-0.1333,0.032
2075,r123,2018 Q1,755.0,112.0,969.0,0.0863,-0.1110999999999999,0.0786,-0.1181
2076,r123,2018 Q1,650.0,115.0,1110.0,0.0,0.0748,0.0236,-0.1481
2077,r123,2018 Q1,500.0,536.0,5162.0,-0.0196,0.0741,0.0,-0.1532
2079,r123,2018 Q1,485.0,32.0,282.0,-0.1565,0.4545,-0.1638,0.28
2080,r123,2018 Q1,450.0,5.0,53.0,,,,
2081,r123,2018 Q1,615.0,20.0,191.0,0.1389,0.2727,0.0982,-0.44
2082,r123,2018 Q1,580.0,20.0,152.0,-0.1110999999999999,0.375,-0.0794,-0.1538
2083,r123,2018 Q1,450.0,5.0,126.0,,,,
2084,r123,2018 Q1,450.0,5.0,113.0,,,,
2085,r123,2018 Q1,960.0,35.0,299.0,0.0521,0.0294,-0.1049,0.0938
2086,r123,2018 Q1,955.0,44.0,497.0,0.0977,0.1282,0.1235,-0.0638
2087,r123,2018 Q1,872.5,50.0,544.0,0.0058,0.1905,0.0265,-0.0566
2088,r123,2018 Q1,680.0,364.0,3848.0,0.124,-0.0594,0.0462,0.0312
2089,r123,2018 Q1,600.0,301.0,3038.0,-0.0361,0.1148,0.0,0.1107
2090,r123,2018 Q1,660.0,259.0,2541.0,-0.0222,0.3147,0.0154,0.2512
2092,r123,2018 Q1,1200.0,41.0,314.0,0.2,0.3226,0.1268,0.3226
2093,r123,2018 Q1,625.0,251.0,2086.0,-0.0385,0.0773,-0.0385,0.3005
2094,r123,2018 Q1,762.5,76.0,828.0,0.0554,-0.1556,0.0853999999999999,0.0556
2095,r123,2018 Q1,780.0,313.0,3551.0,0.0032,-0.1805999999999999,0.04,0.0399
2096,r123,2018 Q1,650.0,235.0,2139.0,0.0,-0.0249,0.04,0.3429
2097,r123,2018 Q1,650.0,128.0,1176.0,0.0236,0.0492,0.0317,0.2307999999999999
2099,r123,2018 Q1,585.0,536.0,4827.0,0.0174,0.1119999999999999,0.0,0.3707999999999999
2100,r123,2018 Q1,650.0,129.0,1222.0,0.0,0.1835,0.0,0.1121
2101,r123,2018 Q1,650.0,170.0,1686.0,0.0,0.0119,0.0569,0.0625
2102,r123,2018 Q1,740.0,64.0,423.0,0.0137,0.2548999999999999,-0.0133,0.3617
2103,r123,2018 Q1,690.0,81.0,853.0,0.1128999999999999,-0.129,0.0615,-0.0241
2104,r123,2018 Q1,450.0,5.0,71.0,,,,
2105,r123,2018 Q1,450.0,5.0,85.0,,,,
2106,r123,2018 Q1,695.0,67.0,811.0,0.0944999999999999,-0.1625,0.0692,-0.2299
2107,r123,2018 Q1,867.5,82.0,749.0,0.0843999999999999,-0.0889,-0.0086,0.0
2108,r123,2018 Q1,895.0,20.0,131.0,-0.284,0.0,-0.105,1.1667
2110,r123,2018 Q1,680.0,51.0,521.0,-0.1856,0.1086999999999999,0.088,0.0408
2111,r123,2018 Q1,510.0,185.0,1713.0,-0.0642,0.25,-0.0377,0.1144999999999999
2112,r123,2018 Q1,550.0,633.0,4120.0,-0.0351,0.8190000000000001,0.0092,0.4225
2113,r123,2018 Q1,550.0,452.0,2652.0,0.0377,0.5533,0.0185,0.7056999999999999
2114,r123,2018 Q1,495.0,377.0,3497.0,0.0313,0.2201,0.0703,0.0357
2115,r123,2018 Q1,530.0,122.0,768.0,-0.0185,0.5062,0.06,-0.3929999999999999
2116,r123,2018 Q1,520.0,47.0,443.0,-0.0095,0.119,0.04,0.0444
2117,r123,2018 Q1,500.0,186.0,1558.0,-0.061,0.1481,-0.0385,0.2
2118,r123,2018 Q1,540.0,232.0,2000.0,0.0189,0.0311,-0.0182,-0.0453
2119,r123,2018 Q1,635.0,88.0,547.0,0.0762999999999999,-0.0222,-0.0522,0.7959
2120,r123,2018 Q1,595.0,114.0,1003.0,-0.0325,0.3256,-0.0042,0.0
2121,r123,2018 Q1,580.0,424.0,2694.0,0.0,0.1616,-0.0333,0.3902
2122,r123,2018 Q1,505.0,327.0,2850.0,-0.0288,0.3347,-0.0472,0.0513999999999999
2125,r123,2018 Q1,675.0,56.0,544.0,-0.0625,0.2173999999999999,-0.0357,-0.0175
2126,r123,2018 Q1,745.0,74.0,815.0,0.0643,-0.1084,0.0205,0.0423
2127,r123,2018 Q1,550.0,564.0,3678.0,0.0185,-0.1389,0.0377,0.0
2128,r123,2018 Q1,445.0,32.0,368.0,-0.0729,0.1033999999999999,-0.0111,-0.3191
2130,r123,2018 Q1,505.0,158.0,1578.0,0.01,0.2061,0.0521,0.2153999999999999
2131,r123,2018 Q1,500.0,386.0,4185.0,0.0,0.195,0.0,-0.2294999999999999
2132,r123,2018 Q1,580.0,79.0,830.0,0.1048,0.1969999999999999,0.2082999999999999,0.2344
2133,r123,2018 Q1,440.0,95.0,1052.0,-0.0112,0.2667,-0.0435,0.0556
2134,r123,2018 Q1,590.0,340.0,2293.0,0.0172,0.5525,0.0,0.193
2135,r123,2018 Q1,550.0,330.0,3150.0,0.0,-0.0598,-0.0517,-0.0379
2136,r123,2018 Q1,530.0,77.0,784.0,0.0,0.2833,0.06,0.1159
2137,r123,2018 Q1,600.0,310.0,2670.0,-0.0323,0.1877,0.0,0.0727
2138,r123,2018 Q1,660.0,519.0,3326.0,0.0313,0.4377,0.0154,0.0723
2140,r123,2018 Q1,520.0,434.0,3094.0,0.0,0.0333,0.04,0.2955
2141,r123,2018 Q1,530.0,276.0,3138.0,0.0192,0.1265,0.0192,-0.1585
2142,r123,2018 Q1,450.0,304.0,3649.0,0.0227,0.1921999999999999,0.0465,-0.1461
2143,r123,2018 Q1,500.0,65.0,735.0,0.0,0.3542,-0.0099,-0.0152
2144,r123,2018 Q1,510.0,347.0,4153.0,0.0625,0.2711,0.1333,0.2261
2145,r123,2018 Q1,480.0,885.0,8724.0,0.0,0.0449,0.0435,0.0536
2146,r123,2018 Q1,465.0,165.0,1546.0,0.0109,-0.0833,0.0109,0.1149
2147,r123,2018 Q1,450.0,248.0,2433.0,0.0227,0.1324,0.0,0.1698
2148,r123,2018 Q1,420.0,605.0,6715.0,0.0,-0.0397,0.0244,0.1702
2150,r123,2018 Q1,500.0,868.0,8450.0,0.0,-0.0046,0.0417,-0.1355
2151,r123,2018 Q1,465.0,243.0,2875.0,-0.0605999999999999,0.0474,-0.07,-0.1131
2152,r123,2018 Q1,480.0,108.0,1190.0,0.0323,0.1489,0.0667,-0.136
2153,r123,2018 Q1,562.5,364.0,3226.0,-0.0132,0.1447,0.0417,-0.099
2154,r123,2018 Q1,600.0,226.0,2280.0,0.0,-0.1567,0.0127,-0.0174
2155,r123,2018 Q1,610.0,538.0,3364.0,-0.0431,0.2749,-0.0615,0.6503
2156,r123,2018 Q1,680.0,20.0,287.0,0.0794,-0.08,0.0968,-0.1481
2157,r123,2018 Q1,450.0,5.0,132.0,,,,
2158,r123,2018 Q1,650.0,35.0,362.0,0.0484,0.2963,-0.0511,0.1667
2159,r123,2018 Q1,575.0,20.0,164.0,0.0599,0.625,-0.1153999999999999,0.0
2160,r123,2018 Q1,435.0,302.0,4125.0,0.0058,-0.1322,0.0116,-0.1118
2161,r123,2018 Q1,440.0,238.0,2665.0,-0.0222,0.0,0.0233,0.0128
2162,r123,2018 Q1,460.0,99.0,1189.0,-0.0213,-0.1538,-0.08,-0.0571
2163,r123,2018 Q1,380.0,63.0,786.0,-0.1264,-0.3368,0.1014,-0.1
2164,r123,2018 Q1,450.0,99.0,1385.0,-0.0426,-0.066,-0.0426,0.0645
2165,r123,2018 Q1,450.0,265.0,4758.0,0.0465,-0.1639999999999999,0.0227,-0.1047
2166,r123,2018 Q1,380.0,301.0,4835.0,0.0556,-0.2037,0.0556,-0.1326
2167,r123,2018 Q1,500.0,83.0,866.0,0.0204,-0.1169999999999999,0.0204,-0.046
2168,r123,2018 Q1,440.0,149.0,2151.0,0.0233,-0.2475,-0.0222,-0.1286999999999999
2170,r123,2018 Q1,430.0,1040.0,10993.0,0.0,0.0484,0.0238,0.1968
2171,r123,2018 Q1,550.0,148.0,1541.0,0.0,0.0278,0.0,0.0496
2172,r123,2018 Q1,450.0,5.0,53.0,,,,
2173,r123,2018 Q1,530.0,93.0,892.0,0.0,0.2237,0.0192,0.3676
2174,r123,2018 Q1,610.0,52.0,261.0,-0.0041,0.0833,0.0083,0.4443999999999999
2175,r123,2018 Q1,450.0,5.0,84.0,,,,
2176,r123,2018 Q1,497.5,144.0,2149.0,0.0153,-0.1676,0.0051,-0.0204
2177,r123,2018 Q1,470.0,49.0,621.0,0.0217,-0.2794,0.0,-0.1694999999999999
2178,r123,2018 Q1,460.0,20.0,184.0,-0.2203,0.1538,-0.2069,0.0713999999999999
2179,r123,2018 Q1,530.0,61.0,582.0,-0.0275,-0.0161,-0.0185,0.2708
2190,r123,2018 Q1,540.0,80.0,1286.0,-0.0182,-0.3388,-0.0092,-0.1667
2191,r123,2018 Q1,550.0,20.0,382.0,-0.0179,-0.2581,0.1,-0.0417
2192,r123,2018 Q1,450.0,164.0,1728.0,0.0465,0.4138,0.0713999999999999,0.025
2193,r123,2018 Q1,500.0,207.0,1788.0,-0.0196,0.2249,-0.0909,0.0951999999999999
2194,r123,2018 Q1,460.0,328.0,4057.0,0.0222,-0.1014,0.0222,-0.1014
2195,r123,2018 Q1,375.0,321.0,4563.0,-0.0132,0.1801,0.0,0.0993
2196,r123,2018 Q1,457.5,222.0,2407.0,0.0765,0.2332999999999999,0.0398,0.2542
2197,r123,2018 Q1,490.0,32.0,456.0,-0.0101,-0.0857,-0.1091,-0.0857
2198,r123,2018 Q1,550.0,39.0,407.0,0.0377,-0.1333,0.0,0.4443999999999999
2199,r123,2018 Q1,465.0,126.0,1165.0,-0.07,0.115,-0.0412,0.6579
2200,r123,2018 Q1,450.0,368.0,4422.0,0.0,-0.0914,0.0465,0.0425
2203,r123,2018 Q1,520.0,297.0,2501.0,0.0,0.1739,0.04,0.5075999999999999
2204,r123,2018 Q1,550.0,333.0,3919.0,0.0,-0.0698,0.0576999999999999,0.1767
2205,r123,2018 Q1,640.0,509.0,3620.0,0.024,0.524,0.0667,0.3187
2206,r123,2018 Q1,600.0,110.0,1303.0,-0.0476,0.0185,0.0,-0.0517
2207,r123,2018 Q1,500.0,137.0,1999.0,-0.0741,-0.1104,0.0101,-0.1747
2208,r123,2018 Q1,600.0,58.0,804.0,-0.0551,0.1153999999999999,0.0345,0.1153999999999999
2209,r123,2018 Q1,540.0,95.0,1196.0,0.08,-0.0206,0.0286,-0.05
2210,r123,2018 Q1,510.0,296.0,1893.0,-0.0192,0.5579,-0.0097,0.3767
2211,r123,2018 Q1,522.5,108.0,1114.0,-0.067,0.125,-0.0142,0.08
2212,r123,2018 Q1,550.0,101.0,1160.0,0.0185,-0.0561,0.1,-0.0901
2213,r123,2018 Q1,595.0,116.0,1191.0,0.0439,-0.0252,0.0818,0.3333
2214,r123,2018 Q1,580.0,20.0,118.0,0.045,-0.0833,0.0545,0.0
2216,r123,2018 Q1,520.0,317.0,4255.0,0.0196,-0.0306,0.0196,0.0
2217,r123,2018 Q1,497.5,330.0,3956.0,-0.0433,-0.0294,-0.005,0.0645
2218,r123,2018 Q1,500.0,149.0,2119.0,0.0204,0.042,0.0417,-0.0132
2219,r123,2018 Q1,530.0,109.0,1237.0,-0.0536,-0.0684,0.0,0.2110999999999999
2220,r123,2018 Q1,550.0,392.0,3942.0,0.0185,0.2686,0.1,0.0077
2221,r123,2018 Q1,615.0,68.0,780.0,0.0424,0.36,0.0982,-0.0810999999999999
2222,r123,2018 Q1,430.0,138.0,1643.0,-0.0227,0.2,0.0238,0.0455
2223,r123,2018 Q1,475.0,181.0,2077.0,-0.0306,0.1907999999999999,0.016,-0.0269
2224,r123,2018 Q1,650.0,72.0,759.0,-0.0713999999999999,0.1803,-0.0299,0.1076999999999999
2225,r123,2018 Q1,750.0,20.0,120.0,0.0,-0.0667,0.1028999999999999,-0.2632
2226,r123,2018 Q1,555.0,50.0,585.0,0.0673,-0.1071,0.11,-0.1935
2227,r123,2018 Q1,550.0,93.0,982.0,0.0,-0.0412,0.0,0.069
2228,r123,2018 Q1,550.0,123.0,1585.0,0.0185,-0.0956,0.0576999999999999,0.0082
2229,r123,2018 Q1,580.0,250.0,1932.0,0.0741,0.3586999999999999,0.0357,0.2077
2230,r123,2018 Q1,522.5,364.0,4058.0,0.0245,-0.0319,0.0048,-0.1911
2231,r123,2018 Q1,450.0,5.0,94.0,,,,
2232,r123,2018 Q1,500.0,248.0,2641.0,0.0,0.0122,0.0417,-0.0712
2233,r123,2018 Q1,550.0,98.0,900.0,0.0,0.75,0.0377,0.4203
2234,r123,2018 Q1,680.0,63.0,773.0,0.0303,-0.2025,0.0462,-0.2588
2250,r123,2018 Q1,420.0,590.0,5865.0,0.05,0.0708,0.05,-0.0084
2251,r123,2018 Q1,500.0,176.0,1674.0,0.0,0.0115,0.0417,0.0414
2256,r123,2018 Q1,410.0,171.0,1709.0,0.0314,0.1104,0.025,0.368
2257,r123,2018 Q1,420.0,279.0,3486.0,0.0633,0.0,0.1052999999999999,0.0109
2258,r123,2018 Q1,410.0,33.0,302.0,0.0513,0.1379,0.025,0.0313
2259,r123,2018 Q1,430.0,415.0,4500.0,0.0118,0.0349,0.0238,-0.0568
2260,r123,2018 Q1,530.0,190.0,1825.0,0.0816,0.027,0.0,-0.0909
2261,r123,2018 Q1,400.0,421.0,5122.0,0.0127,0.0344,0.0256,-0.0094
2262,r123,2018 Q1,370.0,152.0,1680.0,-0.0263,-0.0732,-0.0263,0.2459
2263,r123,2018 Q1,360.0,257.0,2799.0,0.0,0.103,0.0286,-0.0982
2264,r123,2018 Q1,400.0,151.0,1289.0,0.0127,-0.0382,0.0526,0.0342
2265,r123,2018 Q1,400.0,44.0,363.0,0.1268,0.4667,-0.0909,0.1282
2267,r123,2018 Q1,367.5,20.0,228.0,0.0138,-0.3,0.0352,0.0
2278,r123,2018 Q1,450.0,5.0,78.0,,,,
2280,r123,2018 Q1,410.0,148.0,1768.0,0.0446,-0.039,0.0513,-0.092
2281,r123,2018 Q1,380.0,94.0,958.0,0.0556,0.0217,0.0,0.119
2282,r123,2018 Q1,425.0,121.0,901.0,-0.0341,0.375,0.0303,0.1863
2283,r123,2018 Q1,370.0,135.0,1427.0,-0.039,0.0305,0.0571,0.125
2284,r123,2018 Q1,390.0,80.0,787.0,-0.0189,0.0256,0.0263,0.3115
2285,r123,2018 Q1,420.0,176.0,2129.0,0.0,-0.2178,0.0,-0.0486
2286,r123,2018 Q1,420.0,20.0,198.0,0.0244,-0.15,0.1667,-0.1052999999999999
2287,r123,2018 Q1,400.0,345.0,2963.0,0.0256,0.0268,0.0810999999999999,-0.08
2289,r123,2018 Q1,450.0,156.0,1477.0,0.0405,0.0541,0.0526,0.013
2290,r123,2018 Q1,400.0,221.0,2394.0,0.0,-0.0474,0.0256,-0.1754
2291,r123,2018 Q1,435.0,197.0,1449.0,0.0357,0.239,0.061,0.0883999999999999
2292,r123,2018 Q1,437.5,44.0,426.0,0.0605999999999999,-0.0833,0.1513,-0.0638
2293,r123,2018 Q1,450.0,49.0,438.0,-0.0526,0.6333,0.0975999999999999,0.0889
2294,r123,2018 Q1,465.0,32.0,320.0,0.0941,-0.1578999999999999,0.0568,-0.3846
2295,r123,2018 Q1,470.0,77.0,602.0,-0.06,0.0132,-0.0457,0.0132
2296,r123,2018 Q1,425.0,48.0,369.0,-0.0341,0.1707,-0.0116,0.0667
2297,r123,2018 Q1,400.0,20.0,232.0,-0.0698,0.3125,-0.0244,-0.125
2298,r123,2018 Q1,340.0,215.0,1399.0,-0.0556,0.4828,0.0968,0.019
2299,r123,2018 Q1,355.0,223.0,1494.0,-0.0139,0.3851,0.1094,-0.0511
2300,r123,2018 Q1,420.0,398.0,2712.0,0.0244,0.1275,-0.0233,0.0231
2301,r123,2018 Q1,450.0,5.0,5.0,,,,
2302,r123,2018 Q1,450.0,33.0,221.0,-0.1,0.1379,-0.0722,-0.3125
2303,r123,2018 Q1,430.0,124.0,992.0,-0.0115,0.0877,0.0178,0.2653
2304,r123,2018 Q1,370.0,259.0,2188.0,-0.0133,0.2885999999999999,0.0571,0.0
2305,r123,2018 Q1,440.0,104.0,1117.0,0.0732,-0.1333,0.0476,-0.168
2306,r123,2018 Q1,450.0,5.0,165.0,,,,
2307,r123,2018 Q1,380.0,55.0,425.0,0.0,0.2221999999999999,0.0,-0.0984
2311,r123,2018 Q1,450.0,5.0,20.0,,,,
2312,r123,2018 Q1,450.0,5.0,82.0,,,,
2315,r123,2018 Q1,400.0,131.0,1518.0,0.0256,-0.1914,0.0,0.0077
2316,r123,2018 Q1,410.0,41.0,369.0,-0.1086999999999999,0.025,-0.0682,0.0
2317,r123,2018 Q1,410.0,41.0,526.0,0.0123,-0.2930999999999999,-0.0238,-0.0889
2318,r123,2018 Q1,430.0,88.0,641.0,0.0,0.3134,0.0617,0.375
2319,r123,2018 Q1,370.0,69.0,619.0,0.0,0.1311,-0.0133,0.2321
2320,r123,2018 Q1,370.0,242.0,2747.0,0.0278,0.1256,0.0571,-0.1168
2321,r123,2018 Q1,410.0,108.0,1149.0,0.0,-0.1429,0.038,0.08
2322,r123,2018 Q1,400.0,105.0,1039.0,0.0526,-0.0455,0.1429,0.2069
2323,r123,2018 Q1,360.0,165.0,2281.0,0.0286,0.0185,0.0286,-0.1912
2324,r123,2018 Q1,350.0,162.0,1801.0,0.0605999999999999,0.0452,0.0605999999999999,-0.069
2325,r123,2018 Q1,320.0,216.0,2536.0,0.0,-0.1,0.0492,-0.027
2326,r123,2018 Q1,312.5,20.0,391.0,-0.0079,0.0345,0.0246,-0.0625
2327,r123,2018 Q1,320.0,63.0,785.0,0.0667,-0.2317,0.1033999999999999,0.0862
