postcode,rkey,time_period,median_rent_newb,new_bonds_no,total_bonds_no,Qdelta_median_rent,Qdelta_new_bonds,Adelta_median_rent,Adelta_new_bonds
2102,r121,2017 Q3,750.0,42.0,469.0,0.0,-0.16,,
2103,r121,2017 Q3,620.0,86.0,937.0,-0.0462,0.3438,,
2104,r121,2017 Q3,450.0,5.0,72.0,,0.4,,
2105,r121,2017 Q3,450.0,5.0,90.0,,0.0,,
2106,r121,2017 Q3,600.0,83.0,889.0,-0.0323,0.0,,
2107,r121,2017 Q3,787.5,58.0,805.0,-0.0156,-0.3895,,
2108,r121,2017 Q3,450.0,5.0,137.0,,-0.375,,
2110,r121,2017 Q3,700.0,49.0,578.0,0.129,0.0889,,
2111,r121,2017 Q3,500.0,211.0,1821.0,-0.0385,0.4257,,
2112,r121,2017 Q3,560.0,397.0,4217.0,0.0,-0.1332,,
2113,r121,2017 Q3,560.0,285.0,2682.0,-0.0088,-0.0273,,
2114,r121,2017 Q3,500.0,334.0,3720.0,0.0638,0.1886,,
2115,r121,2017 Q3,550.0,82.0,766.0,-0.0179,-0.1183,,
2116,r121,2017 Q3,510.0,43.0,471.0,0.02,-0.0227,,
2117,r121,2017 Q3,530.0,145.0,1610.0,0.0392,-0.0823,,
2118,r121,2017 Q3,540.0,231.0,2094.0,0.0,-0.0128,,
2119,r121,2017 Q3,640.0,70.0,490.0,-0.0791,0.3462,,
2120,r121,2017 Q3,630.0,123.0,1080.0,0.008,0.2947,,
2121,r121,2017 Q3,600.0,281.0,2565.0,0.0,0.0369,,
2122,r121,2017 Q3,537.5,296.0,3048.0,-0.0046,0.1128,,
2125,r121,2017 Q3,640.0,57.0,579.0,-0.1233,0.3571,,
2126,r121,2017 Q3,750.0,95.0,887.0,0.0204,0.25,,
2127,r121,2017 Q3,550.0,510.0,3558.0,0.0,0.2879,,
2128,r121,2017 Q3,450.0,45.0,407.0,0.0227,0.1538,,
2130,r121,2017 Q3,520.0,113.0,1653.0,0.0097,-0.096,,
2131,r121,2017 Q3,500.0,299.0,4414.0,0.0,-0.0656,,
2132,r121,2017 Q3,540.0,75.0,887.0,0.08,0.3393,,
2133,r121,2017 Q3,455.0,80.0,1119.0,0.0833,0.2121,,
2134,r121,2017 Q3,600.0,205.0,2426.0,0.0,0.1202,,
2135,r121,2017 Q3,575.0,264.0,3315.0,-0.0086,0.0435,,
2136,r121,2017 Q3,520.0,71.0,814.0,0.0,0.2909,,
2137,r121,2017 Q3,590.0,339.0,2843.0,-0.0167,0.13,,
