postcode,skey,time_period,year,quarter,dwelling_type,median_price,mean_price,sales_no,Qdelta_median,Adelta_median,Qdelta_count,Adelta_count,rkey,median_rent_newb,new_bonds_no,total_bonds_no,Qdelta_median_rent,Qdelta_new_bonds,Adelta_median_rent,Adelta_new_bonds
2112,s123,2017 Q4,2017,Q4,Non Strata,1755.0,1815.0,57.0,-0.0762999999999999,0.0339,0.0364,-0.2082999999999999,r122,570.0,348.0,3885.0,0.0179,-0.1234,0.0364,-0.1773
2112,s123,2017 Q4,2017,Q4,Strata,725.0,816.0,79.0,0.0357,0.0844999999999999,-0.1771,-0.21,r122,570.0,348.0,3885.0,0.0179,-0.1234,0.0364,-0.1773
2113,s123,2017 Q4,2017,Q4,Total,1045.0,1195.0,88.0,0.1875,0.1875,-0.2072,-0.2,r122,530.0,291.0,2457.0,-0.0536,0.0211,-0.0185,0.1367
2113,s123,2017 Q4,2017,Q4,Non Strata,1650.0,1632.0,33.0,-0.0936999999999999,0.0559999999999999,0.1,0.1,r122,530.0,291.0,2457.0,-0.0536,0.0211,-0.0185,0.1367
2113,s123,2017 Q4,2017,Q4,Strata,851.0,933.0,55.0,0.1578,0.0759,-0.321,-0.3125,r122,530.0,291.0,2457.0,-0.0536,0.0211,-0.0185,0.1367
2114,s123,2017 Q4,2017,Q4,Total,880.0,1103.0,67.0,0.2979,0.0401999999999999,-0.3093,-0.4639999999999999,r122,480.0,309.0,3442.0,-0.04,-0.0749,0.0435,0.0232
2114,s123,2017 Q4,2017,Q4,Non Strata,1702.0,1744.0,20.0,-0.0133,0.0921,-0.08,-0.4772999999999999,r122,480.0,309.0,3442.0,-0.04,-0.0749,0.0435,0.0232
2114,s123,2017 Q4,2017,Q4,Strata,710.0,769.0,44.0,0.1137,0.0923,-0.3889,-0.4568,r122,480.0,309.0,3442.0,-0.04,-0.0749,0.0435,0.0232
2115,s123,2017 Q4,2017,Q4,Total,1275.0,1187.0,33.0,-0.0116,0.3478,-0.2667,-0.34,r122,540.0,81.0,732.0,-0.0182,-0.0122,0.0189,0.0658
2115,s123,2017 Q4,2017,Q4,Non Strata,1350.0,1373.0,20.0,0.0169,0.0097,-0.3947,-0.08,r122,540.0,81.0,732.0,-0.0182,-0.0122,0.0189,0.0658
2115,s123,2017 Q4,2017,Q4,Strata,691.0,707.0,5.0,,,,,r122,540.0,81.0,732.0,-0.0182,-0.0122,0.0189,0.0658
2116,s123,2017 Q4,2017,Q4,Total,1043.0,1034.0,20.0,-0.0347,0.3279999999999999,-0.4483,-0.4483,r122,525.0,42.0,447.0,0.0294,-0.0233,0.0714,-0.16
2116,s123,2017 Q4,2017,Q4,Non Strata,750.0,801.5,5.0,,,,,r122,525.0,42.0,447.0,0.0294,-0.0233,0.0714,-0.16
2116,s123,2017 Q4,2017,Q4,Strata,691.0,707.0,5.0,,,,,r122,525.0,42.0,447.0,0.0294,-0.0233,0.0714,-0.16
2117,s123,2017 Q4,2017,Q4,Total,1165.0,1111.0,59.0,0.1626999999999999,0.1592,-0.2716,-0.41,r122,532.5,162.0,1502.0,0.0047,0.1172,0.065,0.209
2117,s123,2017 Q4,2017,Q4,Non Strata,1334.0,1327.0,38.0,-0.0137,0.1117,-0.1739,-0.3448,r122,532.5,162.0,1502.0,0.0047,0.1172,0.065,0.209
2117,s123,2017 Q4,2017,Q4,Strata,683.0,721.0,20.0,-0.0707,-0.096,-0.4,-0.5,r122,532.5,162.0,1502.0,0.0047,0.1172,0.065,0.209
2118,s123,2017 Q4,2017,Q4,Total,984.0,1078.0,76.0,0.0933,-0.1349,-0.1461,-0.1914999999999999,r122,530.0,225.0,1961.0,-0.0185,-0.026,0.0,-0.0175
2118,s123,2017 Q4,2017,Q4,Non Strata,1415.0,1428.0,36.0,-0.0139,-0.0084,-0.1429,-0.3333,r122,530.0,225.0,1961.0,-0.0185,-0.026,0.0,-0.0175
2118,s123,2017 Q4,2017,Q4,Strata,723.0,764.0,40.0,0.0441,0.0056,-0.1489,0.0,r122,530.0,225.0,1961.0,-0.0185,-0.026,0.0,-0.0175
2119,s123,2017 Q4,2017,Q4,Total,1530.0,1728.0,49.0,-0.0702,0.02,0.75,0.4,r122,590.0,90.0,509.0,-0.0781,0.2857,-0.1449,1.3077
2119,s123,2017 Q4,2017,Q4,Non Strata,1775.0,2097.0,31.0,0.0441,0.0565,0.3478,0.1481,r122,590.0,90.0,509.0,-0.0781,0.2857,-0.1449,1.3077
2119,s123,2017 Q4,2017,Q4,Strata,1083.0,1093.0,20.0,0.1394999999999999,-0.0326,2.6,1.25,r122,590.0,90.0,509.0,-0.0781,0.2857,-0.1449,1.3077
2120,s123,2017 Q4,2017,Q4,Total,1350.0,1337.0,43.0,-0.069,0.08,-0.3175,-0.4028,r122,615.0,86.0,972.0,-0.0238,-0.3008,0.0558,-0.0652
2120,s123,2017 Q4,2017,Q4,Non Strata,1380.0,1427.0,36.0,-0.0864,0.0612,-0.2653,-0.3571,r122,615.0,86.0,972.0,-0.0238,-0.3008,0.0558,-0.0652
2120,s123,2017 Q4,2017,Q4,Strata,691.0,707.0,5.0,,,,,r122,615.0,86.0,972.0,-0.0238,-0.3008,0.0558,-0.0652
2121,s123,2017 Q4,2017,Q4,Total,950.0,1165.0,125.0,0.0383,-0.0284,0.2626,-0.256,r122,580.0,365.0,2531.0,-0.0333,0.2989,-0.0169,0.798
2121,s123,2017 Q4,2017,Q4,Non Strata,1650.0,1674.0,49.0,-0.0959,-0.0756,0.3611,-0.3288,r122,580.0,365.0,2531.0,-0.0333,0.2989,-0.0169,0.798
2121,s123,2017 Q4,2017,Q4,Strata,829.0,836.0,76.0,0.0172,0.0375,0.2062999999999999,-0.2,r122,580.0,365.0,2531.0,-0.0333,0.2989,-0.0169,0.798
2122,s123,2017 Q4,2017,Q4,Total,1260.0,1380.0,85.0,0.2451,-0.1373,-0.0116,-0.1827,r122,520.0,245.0,2791.0,-0.0326,-0.1723,0.0196,-0.0081
2122,s123,2017 Q4,2017,Q4,Non Strata,1805.0,1912.0,43.0,-0.0028,0.0314,0.1621999999999999,-0.2037,r122,520.0,245.0,2791.0,-0.0326,-0.1723,0.0196,-0.0081
2122,s123,2017 Q4,2017,Q4,Strata,800.0,836.0,42.0,-0.0184,-0.0034,-0.1429,-0.16,r122,520.0,245.0,2791.0,-0.0326,-0.1723,0.0196,-0.0081
2125,s123,2017 Q4,2017,Q4,Total,1650.0,1754.0,34.0,-0.0435,0.0313,-0.0810999999999999,-0.3061,r122,720.0,46.0,524.0,0.125,-0.193,0.0141,-0.1636
2125,s123,2017 Q4,2017,Q4,Non Strata,1650.0,1754.0,34.0,-0.073,0.0313,-0.0286,-0.2917,r122,720.0,46.0,524.0,0.125,-0.193,0.0141,-0.1636
2126,s123,2017 Q4,2017,Q4,Total,1503.0,1463.0,44.0,0.002,0.0366,0.1892,-0.102,r122,700.0,83.0,803.0,-0.0667,-0.1263,-0.0345,0.0921
2126,s123,2017 Q4,2017,Q4,Non Strata,1530.0,1511.0,39.0,-0.0016,0.0234,0.3,-0.0713999999999999,r122,700.0,83.0,803.0,-0.0667,-0.1263,-0.0345,0.0921
2126,s123,2017 Q4,2017,Q4,Strata,691.0,707.0,5.0,,,,,r122,700.0,83.0,803.0,-0.0667,-0.1263,-0.0345,0.0921
2127,s123,2017 Q4,2017,Q4,Total,745.0,795.0,188.0,0.0255,0.0604,-0.0157,0.1605,r122,540.0,655.0,3529.0,-0.0182,0.2843,0.0,0.6881
2127,s123,2017 Q4,2017,Q4,Non Strata,750.0,801.5,5.0,,,,,r122,540.0,655.0,3529.0,-0.0182,0.2843,0.0,0.6881
2127,s123,2017 Q4,2017,Q4,Strata,740.0,760.0,178.0,0.0278,0.0725,-0.0166,0.1867,r122,540.0,655.0,3529.0,-0.0182,0.2843,0.0,0.6881
2128,s123,2017 Q4,2017,Q4,Total,947.0,852.0,20.0,0.4682,0.6881,0.3,2.25,r122,480.0,20.0,367.0,0.0667,-0.3556,0.1163,-0.4727
2128,s123,2017 Q4,2017,Q4,Non Strata,750.0,801.5,5.0,,,,,r122,480.0,20.0,367.0,0.0667,-0.3556,0.1163,-0.4727
2128,s123,2017 Q4,2017,Q4,Strata,691.0,707.0,5.0,,,,,r122,480.0,20.0,367.0,0.0667,-0.3556,0.1163,-0.4727
2130,s123,2017 Q4,2017,Q4,Total,800.0,1008.0,20.0,-0.0909,-0.0311,-0.0741,-0.3902,r122,500.0,131.0,1542.0,-0.0385,0.1593,0.0526,0.1102
2130,s123,2017 Q4,2017,Q4,Non Strata,750.0,801.5,5.0,,,,,r122,500.0,131.0,1542.0,-0.0385,0.1593,0.0526,0.1102
2130,s123,2017 Q4,2017,Q4,Strata,720.0,736.0,20.0,-0.1429,-0.071,-0.1052999999999999,-0.4515999999999999,r122,500.0,131.0,1542.0,-0.0385,0.1593,0.0526,0.1102
2131,s123,2017 Q4,2017,Q4,Total,755.0,856.0,87.0,0.0443,0.0342,0.0357,-0.1471,r122,500.0,323.0,4125.0,0.0,0.0803,0.0417,-0.1028
2131,s123,2017 Q4,2017,Q4,Non Strata,1373.0,1385.0,20.0,-0.2794999999999999,-0.1202,0.3333,0.0526,r122,500.0,323.0,4125.0,0.0,0.0803,0.0417,-0.1028
2131,s123,2017 Q4,2017,Q4,Strata,700.0,699.0,67.0,-0.0071,0.0145,-0.029,-0.1928,r122,500.0,323.0,4125.0,0.0,0.0803,0.0417,-0.1028
2132,s123,2017 Q4,2017,Q4,Total,1400.0,1255.0,20.0,-0.1411,0.0,0.4211,0.08,r122,525.0,66.0,812.0,-0.0278,-0.12,0.0714,0.0476
2132,s123,2017 Q4,2017,Q4,Non Strata,1451.0,1454.0,20.0,-0.3544,-0.1344999999999999,0.7,-0.0556,r122,525.0,66.0,812.0,-0.0278,-0.12,0.0714,0.0476
2132,s123,2017 Q4,2017,Q4,Strata,691.0,707.0,5.0,,,,,r122,525.0,66.0,812.0,-0.0278,-0.12,0.0714,0.0476
2133,s123,2017 Q4,2017,Q4,Total,1048.0,1059.0,20.0,-0.1223,-0.0689,-0.3157999999999999,-0.4347999999999999,r122,445.0,75.0,1036.0,-0.022,-0.0625,0.0349,-0.0132
2133,s123,2017 Q4,2017,Q4,Non Strata,1267.0,1324.0,20.0,-0.1664,-0.015,-0.2857,-0.5312,r122,445.0,75.0,1036.0,-0.022,-0.0625,0.0349,-0.0132
2133,s123,2017 Q4,2017,Q4,Strata,685.0,698.0,20.0,0.062,0.0466,-0.3529,-0.2143,r122,445.0,75.0,1036.0,-0.022,-0.0625,0.0349,-0.0132
2134,s123,2017 Q4,2017,Q4,Total,910.0,1162.0,47.0,-0.0162,-0.0988,-0.1754,-0.3732999999999999,r122,580.0,219.0,2236.0,-0.0333,0.0683,0.0087,0.0735
2134,s123,2017 Q4,2017,Q4,Non Strata,1970.0,2150.0,20.0,0.0336,-0.015,-0.3889,-0.4211,r122,580.0,219.0,2236.0,-0.0333,0.0683,0.0087,0.0735
2134,s123,2017 Q4,2017,Q4,Strata,890.0,861.0,36.0,0.0595,0.0068,-0.0769,-0.3571,r122,580.0,219.0,2236.0,-0.0333,0.0683,0.0087,0.0735
2135,s123,2017 Q4,2017,Q4,Total,939.0,1778.0,97.0,0.1955,-0.1086999999999999,0.0899,-0.0102,r122,550.0,351.0,3106.0,-0.0435,0.3295,0.0377,-0.0859
2135,s123,2017 Q4,2017,Q4,Non Strata,2520.0,2871.0,35.0,0.008,0.05,0.2963,-0.2221999999999999,r122,550.0,351.0,3106.0,-0.0435,0.3295,0.0377,-0.0859
2135,s123,2017 Q4,2017,Q4,Strata,783.0,1161.0,62.0,0.0906,0.0525,0.0,0.1698,r122,550.0,351.0,3106.0,-0.0435,0.3295,0.0377,-0.0859
2136,s123,2017 Q4,2017,Q4,Total,810.0,1087.0,35.0,0.1408,-0.3017,0.2069,0.4583,r122,530.0,60.0,759.0,0.0192,-0.1549,0.0,-0.1549
2136,s123,2017 Q4,2017,Q4,Non Strata,1630.0,1729.0,20.0,-0.0163,0.0619,1.6,0.0833,r122,530.0,60.0,759.0,0.0192,-0.1549,0.0,-0.1549
2136,s123,2017 Q4,2017,Q4,Strata,688.0,707.0,20.0,-0.0143,0.0181,-0.0833,0.8332999999999999,r122,530.0,60.0,759.0,0.0192,-0.1549,0.0,-0.1549
2137,s123,2017 Q4,2017,Q4,Total,1228.0,1474.0,96.0,-0.0176,0.0149,-0.1503999999999999,-0.3094,r122,620.0,261.0,2635.0,0.0508,-0.2301,0.0164,-0.0578
2137,s123,2017 Q4,2017,Q4,Non Strata,2200.0,2315.0,31.0,0.0654,0.0292,-0.0882,-0.38,r122,620.0,261.0,2635.0,0.0508,-0.2301,0.0164,-0.0578
2137,s123,2017 Q4,2017,Q4,Strata,1000.0,1072.0,65.0,0.0638,0.0256,-0.1772,-0.2697,r122,620.0,261.0,2635.0,0.0508,-0.2301,0.0164,-0.0578
2138,s123,2017 Q4,2017,Q4,Total,938.0,1115.0,69.0,0.1035,0.0411,-0.2069,-0.1585,r122,640.0,361.0,3296.0,-0.0154,-0.1663,0.0,0.0587
2138,s123,2017 Q4,2017,Q4,Non Strata,1865.0,1938.0,20.0,0.1184,-0.1838,0.5,-0.1667,r122,640.0,361.0,3296.0,-0.0154,-0.1663,0.0,0.0587
2138,s123,2017 Q4,2017,Q4,Strata,900.0,887.0,54.0,0.0975999999999999,0.0733,-0.2987,-0.1562,r122,640.0,361.0,3296.0,-0.0154,-0.1663,0.0,0.0587
2140,s123,2017 Q4,2017,Q4,Total,655.0,671.0,73.0,0.0364,0.025,-0.3364,-0.2551,r122,520.0,420.0,2924.0,0.0,0.5108,-0.0189,-0.0476
2140,s123,2017 Q4,2017,Q4,Strata,655.0,671.0,73.0,0.0451,0.0315,-0.2551,-0.1705,r122,520.0,420.0,2924.0,0.0,0.5108,-0.0189,-0.0476
2141,s123,2017 Q4,2017,Q4,Total,783.0,908.0,78.0,-0.0617,0.0215,-0.1135999999999999,-0.1333,r122,520.0,245.0,3119.0,0.0,-0.1723,0.0,0.0294
2141,s123,2017 Q4,2017,Q4,Non Strata,1160.0,1202.0,32.0,-0.1164,0.1896999999999999,-0.1578999999999999,-0.1795,r122,520.0,245.0,3119.0,0.0,-0.1723,0.0,0.0294
2141,s123,2017 Q4,2017,Q4,Strata,725.0,703.0,46.0,0.0394,0.0357,-0.08,-0.098,r122,520.0,245.0,3119.0,0.0,-0.1723,0.0,0.0294
2142,s123,2017 Q4,2017,Q4,Total,650.0,694.0,72.0,0.0833,0.0655999999999999,-0.3333,-0.3271,r122,440.0,255.0,3657.0,-0.0638,-0.3943,0.0,-0.1748
2142,s123,2017 Q4,2017,Q4,Non Strata,870.0,895.0,20.0,0.0296,0.0943,-0.1211999999999999,-0.0645,r122,440.0,255.0,3657.0,-0.0638,-0.3943,0.0,-0.1748
2142,s123,2017 Q4,2017,Q4,Strata,577.0,558.0,43.0,0.0492,0.0786,-0.4267,-0.4342,r122,440.0,255.0,3657.0,-0.0638,-0.3943,0.0,-0.1748
2143,s123,2017 Q4,2017,Q4,Total,900.0,880.0,20.0,0.1657999999999999,0.0856,-0.1211999999999999,0.1153999999999999,r122,500.0,48.0,724.0,0.0417,-0.2131,0.0256,-0.0769
2143,s123,2017 Q4,2017,Q4,Non Strata,937.0,990.0,20.0,0.0229,0.089,0.2221999999999999,0.0476,r122,500.0,48.0,724.0,0.0417,-0.2131,0.0256,-0.0769
2143,s123,2017 Q4,2017,Q4,Strata,691.0,707.0,5.0,,,,,r122,500.0,48.0,724.0,0.0417,-0.2131,0.0256,-0.0769
2144,s123,2017 Q4,2017,Q4,Total,630.0,705.0,83.0,-0.0308,0.0,-0.3306,-0.3566,r122,480.0,273.0,4117.0,0.0549,-0.0746,0.0667,-0.09
2144,s123,2017 Q4,2017,Q4,Non Strata,900.0,960.0,31.0,-0.1818,0.0315,-0.2791,-0.3261,r122,480.0,273.0,4117.0,0.0549,-0.0746,0.0667,-0.09
2144,s123,2017 Q4,2017,Q4,Strata,530.0,553.0,52.0,-0.0702,-0.0536,-0.358,-0.3735,r122,480.0,273.0,4117.0,0.0549,-0.0746,0.0667,-0.09
2145,s123,2017 Q4,2017,Q4,Total,720.0,1875.0,296.0,0.0141,-0.0171,-0.1638,0.0423,r122,480.0,847.0,8582.0,0.0,0.1635,0.0435,0.0588
2145,s123,2017 Q4,2017,Q4,Non Strata,961.0,3355.0,136.0,0.0389,0.0619,-0.0872,-0.0872,r122,480.0,847.0,8582.0,0.0,0.1635,0.0435,0.0588
2145,s123,2017 Q4,2017,Q4,Strata,603.0,618.0,160.0,-0.0203,0.0212,-0.2195,0.1852,r122,480.0,847.0,8582.0,0.0,0.1635,0.0435,0.0588
2146,s123,2017 Q4,2017,Q4,Total,715.0,740.0,62.0,-0.0028,-0.1061999999999999,-0.1014,-0.1268,r122,460.0,180.0,1510.0,-0.0213,0.1465,0.0222,0.374
2146,s123,2017 Q4,2017,Q4,Non Strata,865.0,887.0,20.0,0.0012,0.0267,0.0713999999999999,-0.4443999999999999,r122,460.0,180.0,1510.0,-0.0213,0.1465,0.0222,0.374
2146,s123,2017 Q4,2017,Q4,Strata,630.0,601.0,32.0,0.0,0.1455,-0.2195,0.8824,r122,460.0,180.0,1510.0,-0.0213,0.1465,0.0222,0.374
2147,s123,2017 Q4,2017,Q4,Total,790.0,792.0,104.0,-0.0171,0.0533,-0.1033999999999999,-0.168,r122,440.0,219.0,2394.0,0.0233,-0.0437,0.0476,0.2586
2147,s123,2017 Q4,2017,Q4,Non Strata,800.0,805.0,94.0,-0.0262,0.066,-0.1296,-0.2167,r122,440.0,219.0,2394.0,0.0233,-0.0437,0.0476,0.2586
2147,s123,2017 Q4,2017,Q4,Strata,691.0,707.0,5.0,,,,,r122,440.0,219.0,2394.0,0.0233,-0.0437,0.0476,0.2586
2148,s123,2017 Q4,2017,Q4,Total,680.0,679.0,225.0,0.0149,0.0052,-0.1728,-0.1906,r122,420.0,630.0,6611.0,0.0,0.0294,0.0,0.0696
2148,s123,2017 Q4,2017,Q4,Non Strata,736.0,764.0,140.0,0.0016,0.0312,-0.0667,-0.2593,r122,420.0,630.0,6611.0,0.0,0.0294,0.0,0.0696
2148,s123,2017 Q4,2017,Q4,Strata,540.0,538.0,85.0,-0.0357,0.0385,-0.3032999999999999,-0.0449,r122,420.0,630.0,6611.0,0.0,0.0294,0.0,0.0696
2150,s123,2017 Q4,2017,Q4,Total,645.0,687.0,157.0,-0.0077,-0.0248,-0.3262,-0.1989999999999999,r122,500.0,872.0,8390.0,0.0,0.0175,0.087,0.0104
2150,s123,2017 Q4,2017,Q4,Non Strata,950.0,1128.0,20.0,-0.2339,-0.1208,2.0,-0.0625,r122,500.0,872.0,8390.0,0.0,0.0175,0.087,0.0104
2150,s123,2017 Q4,2017,Q4,Strata,639.0,640.0,142.0,-0.0169,-0.0162,-0.3772,-0.2110999999999999,r122,500.0,872.0,8390.0,0.0,0.0175,0.087,0.0104
2151,s123,2017 Q4,2017,Q4,Total,734.0,867.0,54.0,-0.002,-0.4314,-0.28,-0.5878,r122,495.0,232.0,2880.0,0.0313,-0.0169,0.0206,-0.2727
2151,s123,2017 Q4,2017,Q4,Non Strata,1265.0,1241.0,20.0,-0.063,0.012,-0.2593,-0.2,r122,495.0,232.0,2880.0,0.0313,-0.0169,0.0206,-0.2727
2151,s123,2017 Q4,2017,Q4,Strata,629.0,648.0,34.0,-0.0248,-0.9769,-0.2917,-0.6792,r122,495.0,232.0,2880.0,0.0313,-0.0169,0.0206,-0.2727
2152,s123,2017 Q4,2017,Q4,Total,780.0,848.0,49.0,-0.0494,-0.1684,-0.0576999999999999,0.2895,r122,465.0,94.0,1204.0,0.0109,-0.1132,0.0109,-0.1681
2152,s123,2017 Q4,2017,Q4,Non Strata,1160.0,1241.0,20.0,0.11,0.1048,-0.1052999999999999,-0.2273,r122,465.0,94.0,1204.0,0.0109,-0.1132,0.0109,-0.1681
2152,s123,2017 Q4,2017,Q4,Strata,565.0,638.0,32.0,-0.1374,-0.1206,-0.0303,1.0,r122,465.0,94.0,1204.0,0.0109,-0.1132,0.0109,-0.1681
2153,s123,2017 Q4,2017,Q4,Total,1150.0,1140.0,181.0,-0.0022,0.0849,0.1104,-0.162,r122,570.0,318.0,3161.0,0.0,0.0258,0.0556,-0.1359
2153,s123,2017 Q4,2017,Q4,Non Strata,1200.0,1241.0,135.0,-0.0021,0.0169,0.0886999999999999,-0.0625,r122,570.0,318.0,3161.0,0.0,0.0258,0.0556,-0.1359
2153,s123,2017 Q4,2017,Q4,Strata,835.0,843.0,46.0,-0.0176,0.1438,0.1795,-0.3611,r122,570.0,318.0,3161.0,0.0,0.0258,0.0556,-0.1359
2154,s123,2017 Q4,2017,Q4,Total,1500.0,1487.0,113.0,-0.0515,0.0665,-0.1929,-0.2153,r122,600.0,268.0,2278.0,-0.0323,0.2885,0.0,0.1167
2154,s123,2017 Q4,2017,Q4,Non Strata,1590.0,1647.0,89.0,-0.0406,0.0462,-0.2054,-0.1759,r122,600.0,268.0,2278.0,-0.0323,0.2885,0.0,0.1167
2154,s123,2017 Q4,2017,Q4,Strata,880.0,895.0,20.0,-0.0163,-0.033,-0.1429,-0.3333,r122,600.0,268.0,2278.0,-0.0323,0.2885,0.0,0.1167
2155,s123,2017 Q4,2017,Q4,Total,1142.0,1136.0,190.0,-0.0318,0.0986,-0.188,-0.2884,r122,637.5,422.0,3136.0,-0.0039,-0.0622,0.0119,0.2448
2155,s123,2017 Q4,2017,Q4,Non Strata,1190.0,1191.0,169.0,-0.0083,0.0968,-0.1796,-0.2353,r122,637.5,422.0,3136.0,-0.0039,-0.0622,0.0119,0.2448
2155,s123,2017 Q4,2017,Q4,Strata,650.0,687.0,20.0,-0.0487,-0.0813,-0.25,-0.5435,r122,637.5,422.0,3136.0,-0.0039,-0.0622,0.0119,0.2448
2156,s123,2017 Q4,2017,Q4,Total,2145.0,2216.0,36.0,-0.0674,0.1982,0.0286,-0.122,r122,630.0,20.0,291.0,-0.1,0.0,-0.0968,-0.0385
2156,s123,2017 Q4,2017,Q4,Non Strata,2145.0,2216.0,36.0,-0.0674,0.1982,0.0286,-0.122,r122,630.0,20.0,291.0,-0.1,0.0,-0.0968,-0.0385
2157,s123,2017 Q4,2017,Q4,Total,714.0,714.0,5.0,,,,,r122,550.0,20.0,139.0,0.0233,0.5,-0.0756,0.25
2157,s123,2017 Q4,2017,Q4,Non Strata,750.0,801.5,5.0,,,,,r122,550.0,20.0,139.0,0.0233,0.5,-0.0756,0.25
2158,s123,2017 Q4,2017,Q4,Total,1325.0,1835.0,20.0,-0.1884,0.0392,-0.1765,0.12,r122,620.0,20.0,357.0,-0.0882,-0.129,-0.0462,-0.1562
2158,s123,2017 Q4,2017,Q4,Non Strata,1640.0,2180.0,20.0,-0.1873,0.0171,-0.2221999999999999,0.1667,r122,620.0,20.0,357.0,-0.0882,-0.129,-0.0462,-0.1562
2158,s123,2017 Q4,2017,Q4,Strata,691.0,707.0,5.0,,,,,r122,620.0,20.0,357.0,-0.0882,-0.129,-0.0462,-0.1562
2159,s123,2017 Q4,2017,Q4,Total,1305.0,1523.0,20.0,-0.4638,-0.3086,0.2,-0.1429,r122,450.0,5.0,164.0,,,,
2159,s123,2017 Q4,2017,Q4,Non Strata,1305.0,1523.0,20.0,-0.4638,-0.3086,0.2,-0.1429,r122,450.0,5.0,164.0,,,,
2160,s123,2017 Q4,2017,Q4,Total,715.0,753.0,95.0,0.0958,0.2017,-0.2578,-0.3165,r122,432.5,348.0,4166.0,-0.0649,-0.044,-0.017,-0.0306
2160,s123,2017 Q4,2017,Q4,Non Strata,920.0,939.0,54.0,0.0291,0.0824,-0.129,-0.1148,r122,432.5,348.0,4166.0,-0.0649,-0.044,-0.017,-0.0306
2160,s123,2017 Q4,2017,Q4,Strata,485.0,508.0,41.0,-0.0528,-0.0619,-0.3788,-0.4744,r122,432.5,348.0,4166.0,-0.0649,-0.044,-0.017,-0.0306
2161,s123,2017 Q4,2017,Q4,Total,771.0,743.0,100.0,-0.0563,0.028,-0.0099,0.0309,r122,450.0,238.0,2606.0,0.0345,0.0578,0.0465,0.0917
2161,s123,2017 Q4,2017,Q4,Non Strata,831.0,852.0,66.0,-0.0224,0.0097,-0.0704,0.0476,r122,450.0,238.0,2606.0,0.0345,0.0578,0.0465,0.0917
2161,s123,2017 Q4,2017,Q4,Strata,497.0,532.0,34.0,0.0025,0.0793,0.1333,0.0,r122,450.0,238.0,2606.0,0.0345,0.0578,0.0465,0.0917
2162,s123,2017 Q4,2017,Q4,Total,814.0,828.0,52.0,0.0037,0.0169,0.3,-0.2353,r122,470.0,117.0,1190.0,0.0108,-0.0488,-0.06,0.1038
2162,s123,2017 Q4,2017,Q4,Non Strata,850.0,855.0,45.0,-0.0093,0.0059,0.4515999999999999,-0.1,r122,470.0,117.0,1190.0,0.0108,-0.0488,-0.06,0.1038
2162,s123,2017 Q4,2017,Q4,Strata,691.0,707.0,5.0,,,,,r122,470.0,117.0,1190.0,0.0108,-0.0488,-0.06,0.1038
2163,s123,2017 Q4,2017,Q4,Total,753.0,675.0,20.0,0.0823,0.2666,0.0,0.2,r122,435.0,95.0,799.0,0.0116,0.4179,0.2985,0.3571
2163,s123,2017 Q4,2017,Q4,Non Strata,780.0,825.0,20.0,-0.0095,-0.0465,0.0713999999999999,0.3636,r122,435.0,95.0,799.0,0.0116,0.4179,0.2985,0.3571
2163,s123,2017 Q4,2017,Q4,Strata,691.0,707.0,5.0,,,,,r122,435.0,95.0,799.0,0.0116,0.4179,0.2985,0.3571
2164,s123,2017 Q4,2017,Q4,Total,803.0,818.0,42.0,-0.0213,0.0889,0.0244,-0.3115,r122,470.0,106.0,1370.0,-0.0408,-0.1654,0.0444,-0.0702
2164,s123,2017 Q4,2017,Q4,Non Strata,814.0,844.0,36.0,-0.0109,0.0728,-0.0526,-0.25,r122,470.0,106.0,1370.0,-0.0408,-0.1654,0.0444,-0.0702
2164,s123,2017 Q4,2017,Q4,Strata,691.0,707.0,5.0,,,,,r122,470.0,106.0,1370.0,-0.0408,-0.1654,0.0444,-0.0702
2165,s123,2017 Q4,2017,Q4,Total,745.0,737.0,119.0,0.0797,0.0935999999999999,0.2019999999999999,-0.0246,r122,430.0,317.0,4797.0,-0.0444,0.0393,0.0,-0.1995
2165,s123,2017 Q4,2017,Q4,Non Strata,804.0,827.0,90.0,0.051,0.0607,0.4286,0.0713999999999999,r122,430.0,317.0,4797.0,-0.0444,0.0393,0.0,-0.1995
2165,s123,2017 Q4,2017,Q4,Strata,425.0,457.0,20.0,-0.0341,-0.0395,-0.1944,-0.2368,r122,430.0,317.0,4797.0,-0.0444,0.0393,0.0,-0.1995
2166,s123,2017 Q4,2017,Q4,Total,759.0,718.0,116.0,0.0181,0.0683,-0.1714,-0.1407,r122,360.0,378.0,4896.0,-0.027,-0.087,0.0,-0.1711
2166,s123,2017 Q4,2017,Q4,Non Strata,805.0,823.0,85.0,-0.0494,0.0126,-0.1052999999999999,0.0119,r122,360.0,378.0,4896.0,-0.027,-0.087,0.0,-0.1711
2166,s123,2017 Q4,2017,Q4,Strata,435.0,431.0,31.0,0.0046,-0.044,-0.3111,-0.3922,r122,360.0,378.0,4896.0,-0.027,-0.087,0.0,-0.1711
2167,s123,2017 Q4,2017,Q4,Total,685.0,661.0,31.0,0.0186,-0.042,-0.1143,0.1481,r122,490.0,94.0,848.0,0.0652,0.0562,0.0316,-0.1048
2167,s123,2017 Q4,2017,Q4,Non Strata,777.0,777.0,20.0,0.0898,0.0353,-0.25,-0.0526,r122,490.0,94.0,848.0,0.0652,0.0562,0.0316,-0.1048
