postcode,skey,time_period,year,quarter,dwelling_type,median_price,mean_price,sales_no,Qdelta_median,Adelta_median,Qdelta_count,Adelta_count,rkey,median_rent_newb,new_bonds_no,total_bonds_no,Qdelta_median_rent,Qdelta_new_bonds,Adelta_median_rent,Adelta_new_bonds
2021,s122,2017 Q3,2017,Q3,Total,2117.5,2003.7702702,74.0,0.0113,0.2604,-0.075,-0.0133,r121,700.0,376.0,3678.0,-0.0541,0.1224,,
2021,s122,2017 Q3,2017,Q3,Non Strata,2250.0,2484.117647,51.0,-0.011,-0.0526,-0.0556,0.186,r121,700.0,376.0,3678.0,-0.0541,0.1224,,
2021,s122,2017 Q3,2017,Q3,Strata,796.0,938.6521739,20.0,-0.3283,-0.1324,-0.1154,-0.2812,r121,700.0,376.0,3678.0,-0.0541,0.1224,,
2022,s122,2017 Q3,2017,Q3,Total,1443.0,1568.8641111000002,72.0,-0.0173,0.177,0.0286,-0.0137,r121,730.0,255.0,2742.0,-0.0267,-0.059,,
2022,s122,2017 Q3,2017,Q3,Non Strata,2260.0,2380.8809523,20.0,-0.163,0.1531,-0.087,0.0,r121,730.0,255.0,2742.0,-0.0267,-0.059,,
2022,s122,2017 Q3,2017,Q3,Strata,1120.0,1234.5042352,51.0,0.0182,0.2207,0.0851,-0.0192,r121,730.0,255.0,2742.0,-0.0267,-0.059,,
2023,s122,2017 Q3,2017,Q3,Total,1782.5,2710.4646153000003,52.0,-0.0193,-0.0182,-0.037,-0.2121,r121,700.0,130.0,1477.0,0.0,0.1607,,
2023,s122,2017 Q3,2017,Q3,Non Strata,4590.0,5256.3773333,20.0,-0.2398,-0.0234,-0.1667,-0.2105,r121,700.0,130.0,1477.0,0.0,0.1607,,
2023,s122,2017 Q3,2017,Q3,Strata,1230.0,1678.3378378,37.0,0.0535,-0.004,0.0278,-0.2128,r121,700.0,130.0,1477.0,0.0,0.1607,,
2024,s122,2017 Q3,2017,Q3,Total,2380.0,2612.9565217,46.0,0.7597,0.0248,0.0952,0.15,r121,700.0,166.0,1815.0,0.0,0.0506,,
2024,s122,2017 Q3,2017,Q3,Non Strata,3410.0,3807.84,20.0,0.2808,0.27,1.0833,0.0,r121,700.0,166.0,1815.0,0.0,0.0506,,
2024,s122,2017 Q3,2017,Q3,Strata,1075.0,1190.4761904,20.0,-0.0851,-0.0236,-0.3,0.4,r121,700.0,166.0,1815.0,0.0,0.0506,,
2025,s122,2017 Q3,2017,Q3,Total,2805.0,5230.9663461,52.0,0.365,0.3486,0.3,0.2093,r121,740.0,127.0,1326.0,-0.0133,0.2095,,
2025,s122,2017 Q3,2017,Q3,Non Strata,2800.0,3213.5803571,20.0,-0.1948,0.0687,0.5556,0.4737,r121,740.0,127.0,1326.0,-0.0133,0.2095,,
2025,s122,2017 Q3,2017,Q3,Strata,8275.0,7584.5833333,20.0,4.807,4.9107,0.0909,0.0,r121,740.0,127.0,1326.0,-0.0133,0.2095,,
2026,s122,2017 Q3,2017,Q3,Total,1333.0,1666.8961066000002,150.0,-0.0162,0.0496,-0.1228,-0.0446,r121,730.0,773.0,8502.0,-0.0267,0.0781,,
2026,s122,2017 Q3,2017,Q3,Non Strata,2565.0,3072.0676875,32.0,-0.1667,0.0059,-0.2381,-0.3043,r121,730.0,773.0,8502.0,-0.0267,0.0781,,
2026,s122,2017 Q3,2017,Q3,Strata,1152.5,1285.8326271,118.0,-0.0514,0.0738,-0.0853,0.0631,r121,730.0,773.0,8502.0,-0.0267,0.0781,,
