postcode,LGA,mean_price 2020 Q1,mean_price 2020 Q2,mean_price 2020 Q3,mean_price 2020 Q4,mean_price 2021 Q1,median_price 2020 Q1,median_price 2020 Q2,median_price 2020 Q3,median_price 2020 Q4,median_price 2021 Q1,median_rent_newb 2020 Q1,median_rent_newb 2020 Q2,median_rent_newb 2020 Q3,median_rent_newb 2020 Q4,median_rent_newb 2021 Q1,new_bonds_no 2020 Q1,new_bonds_no 2020 Q2,new_bonds_no 2020 Q3,new_bonds_no 2020 Q4,new_bonds_no 2021 Q1,sales_no 2020 Q1,sales_no 2020 Q2,sales_no 2020 Q3,sales_no 2020 Q4,sales_no 2021 Q1,total_bonds_no 2020 Q1,total_bonds_no 2020 Q2,total_bonds_no 2020 Q3,total_bonds_no 2020 Q4,total_bonds_no 2021 Q1,hhold_count_2016,hhold_count_2021,hhold_count_delta,Births_16_21,Deaths_16_21,  Natural change,  Net Migration (all sources),population_2021,population_2016,pop_delta,Adult,Child,MiddleAge,Senior,Youth,INCP_LOW,INCP_MID,INCP_HIGH,INCP_NEG_NIL,CPRF_2,CPRF_3,CPRF_4,CPRF_5,CPRF_6+,CPRF_na,CPRF_TOTAL_FAM_NO,10yBonds% 2020 Q1,10yBonds% 2020 Q2,10yBonds% 2020 Q3,10yBonds% 2020 Q4,10yBonds% 2021 Q1,2yBonds% 2020 Q1,2yBonds% 2020 Q2,2yBonds% 2020 Q3,2yBonds% 2020 Q4,2yBonds% 2021 Q1,Rate 2020 Q1,Rate 2020 Q2,Rate 2020 Q3,Rate 2020 Q4,Rate 2021 Q1,constr_index 2020 Q1,constr_index 2020 Q2,constr_index 2020 Q3,constr_index 2020 Q4,constr_index 2021 Q1
2018,BAYSIDE,1026.0,1010.0,5174.0,1052.0,974.0,878.0,850.0,900.0,880.0,824.0,650.0,600.0,550.0,550.0,570.0,468.0,327.0,580.0,481.0,505.0,80.0,41.0,83.0,114.0,84.0,3203.0,3102.0,3233.0,3454.0,3513.0,61039,73936,12897,13654.0,4794.0,8860.0,25551.0,198945.0,164534.0,34411.0,16942,6047,5182,3610,2628,5607,4021,1654,1914,2021.0,1016.0,901.0,293.0,75.0,3027.0,7337.0,1.0066666666666666,0.8966666666666666,0.89,0.89,1.3533333333333335,0.6166666666666667,0.24,0.24333333333333332,0.10333333333333333,0.09000000000000001,0.6388888888888888,0.25,0.25,0.15625,0.1,116.0,116.2,116.2,116.9,117.8
2021,SYDNEY,2217.0,2216.0,1808.0,2359.0,2495.0,1871.0,2080.0,1825.0,2108.0,2320.0,650.0,620.0,575.0,570.0,535.0,351.0,386.0,439.0,384.0,459.0,67.0,72.0,85.0,114.0,87.0,3472.0,3388.0,3398.0,3435.0,3488.0,102917,109956,7039,12362.0,4074.0,8288.0,5887.0,236891.0,222717.0,14174.0,8187,3702,2389,3339,-3446,2674,3832,4485,792,2028.0,691.0,579.0,150.0,29.0,3926.0,7412.0,1.0066666666666666,0.8966666666666666,0.89,0.89,1.3533333333333335,0.6166666666666667,0.24,0.24333333333333332,0.10333333333333333,0.09000000000000001,0.6388888888888888,0.25,0.25,0.15625,0.1,116.0,116.2,116.2,116.9,117.8
2021,RANDWICK,2217.0,2216.0,1808.0,2359.0,2495.0,1871.0,2080.0,1825.0,2108.0,2320.0,650.0,620.0,575.0,570.0,535.0,351.0,386.0,439.0,384.0,459.0,67.0,72.0,85.0,114.0,87.0,3472.0,3388.0,3398.0,3435.0,3488.0,57003,58708,1705,11032.0,4046.0,6986.0,-1934.0,153974.0,148922.0,5052.0,109,3060,1184,1901,-1203,2674,3832,4485,792,2028.0,691.0,579.0,150.0,29.0,3926.0,7412.0,1.0066666666666666,0.8966666666666666,0.89,0.89,1.3533333333333335,0.6166666666666667,0.24,0.24333333333333332,0.10333333333333333,0.09000000000000001,0.6388888888888888,0.25,0.25,0.15625,0.1,116.0,116.2,116.2,116.9,117.8
2021,WOOLLAHRA,2217.0,2216.0,1808.0,2359.0,2495.0,1871.0,2080.0,1825.0,2108.0,2320.0,650.0,620.0,575.0,570.0,535.0,351.0,386.0,439.0,384.0,459.0,67.0,72.0,85.0,114.0,87.0,3472.0,3388.0,3398.0,3435.0,3488.0,24350,24009,-341,3508.0,1961.0,1547.0,-1929.0,57362.0,57744.0,-382.0,-1552,820,181,478,-309,2674,3832,4485,792,2028.0,691.0,579.0,150.0,29.0,3926.0,7412.0,1.0066666666666666,0.8966666666666666,0.89,0.89,1.3533333333333335,0.6166666666666667,0.24,0.24333333333333332,0.10333333333333333,0.09000000000000001,0.6388888888888888,0.25,0.25,0.15625,0.1,116.0,116.2,116.2,116.9,117.8
2037,SYDNEY,1235.0,1439.0,1516.0,1426.0,1197.0,1170.0,1238.0,1400.0,1437.0,1070.0,630.0,550.0,520.0,500.0,530.0,582.0,383.0,606.0,564.0,565.0,48.0,50.0,53.0,55.0,81.0,3867.0,3734.0,3818.0,3933.0,3934.0,102917,109956,7039,12362.0,4074.0,8288.0,5887.0,236891.0,222717.0,14174.0,8187,3702,2389,3339,-3446,4585,3889,2985,1382,2153.0,688.0,458.0,102.0,19.0,4552.0,7965.0,1.0066666666666666,0.8966666666666666,0.89,0.89,1.3533333333333335,0.6166666666666667,0.24,0.24333333333333332,0.10333333333333333,0.09000000000000001,0.6388888888888888,0.25,0.25,0.15625,0.1,116.0,116.2,116.2,116.9,117.8
2038,SYDNEY,1822.0,1525.0,1623.0,1604.0,1983.0,1765.0,1480.0,1440.0,1653.0,2020.0,668.0,578.0,595.0,550.0,550.0,170.0,148.0,182.0,156.0,203.0,20.0,32.0,43.0,56.0,35.0,1697.0,1664.0,1634.0,1601.0,1618.0,102917,109956,7039,12362.0,4074.0,8288.0,5887.0,236891.0,222717.0,14174.0,8187,3702,2389,3339,-3446,2128,2171,2324,548,1125.0,491.0,502.0,112.0,22.0,1885.0,4125.0,1.0066666666666666,0.8966666666666666,0.89,0.89,1.3533333333333335,0.6166666666666667,0.24,0.24333333333333332,0.10333333333333333,0.09000000000000001,0.6388888888888888,0.25,0.25,0.15625,0.1,116.0,116.2,116.2,116.9,117.8
2038,INNER WEST,1822.0,1525.0,1623.0,1604.0,1983.0,1765.0,1480.0,1440.0,1653.0,2020.0,668.0,578.0,595.0,550.0,550.0,170.0,148.0,182.0,156.0,203.0,20.0,32.0,43.0,56.0,35.0,1697.0,1664.0,1634.0,1601.0,1618.0,77711,84679,6968,13648.0,4802.0,8846.0,7240.0,207279.0,191194.0,16085.0,5205,2971,3906,3766,238,2128,2171,2324,548,1125.0,491.0,502.0,112.0,22.0,1885.0,4125.0,1.0066666666666666,0.8966666666666666,0.89,0.89,1.3533333333333335,0.6166666666666667,0.24,0.24333333333333332,0.10333333333333333,0.09000000000000001,0.6388888888888888,0.25,0.25,0.15625,0.1,116.0,116.2,116.2,116.9,117.8
2042,SYDNEY,1252.0,1194.0,1331.0,2233.0,1352.0,1340.0,1210.0,1300.0,1380.0,1430.0,580.0,575.0,520.0,480.0,550.0,496.0,500.0,648.0,579.0,616.0,54.0,57.0,79.0,92.0,112.0,4603.0,4516.0,4601.0,4674.0,4700.0,102917,109956,7039,12362.0,4074.0,8288.0,5887.0,236891.0,222717.0,14174.0,8187,3702,2389,3339,-3446,4818,5696,3729,1078,2511.0,756.0,585.0,110.0,25.0,5013.0,9007.0,1.0066666666666666,0.8966666666666666,0.89,0.89,1.3533333333333335,0.6166666666666667,0.24,0.24333333333333332,0.10333333333333333,0.09000000000000001,0.6388888888888888,0.25,0.25,0.15625,0.1,116.0,116.2,116.2,116.9,117.8
2042,INNER WEST,1252.0,1194.0,1331.0,2233.0,1352.0,1340.0,1210.0,1300.0,1380.0,1430.0,580.0,575.0,520.0,480.0,550.0,496.0,500.0,648.0,579.0,616.0,54.0,57.0,79.0,92.0,112.0,4603.0,4516.0,4601.0,4674.0,4700.0,77711,84679,6968,13648.0,4802.0,8846.0,7240.0,207279.0,191194.0,16085.0,5205,2971,3906,3766,238,4818,5696,3729,1078,2511.0,756.0,585.0,110.0,25.0,5013.0,9007.0,1.0066666666666666,0.8966666666666666,0.89,0.89,1.3533333333333335,0.6166666666666667,0.24,0.24333333333333332,0.10333333333333333,0.09000000000000001,0.6388888888888888,0.25,0.25,0.15625,0.1,116.0,116.2,116.2,116.9,117.8
2043,SYDNEY,1120.0,1129.0,1045.0,1115.0,1097.0,999.0,1020.0,975.0,1116.0,1000.0,720.0,650.0,645.0,600.0,613.0,190.0,166.0,236.0,324.0,362.0,38.0,36.0,69.0,70.0,75.0,1650.0,1629.0,1657.0,1929.0,2034.0,102917,109956,7039,12362.0,4074.0,8288.0,5887.0,236891.0,222717.0,14174.0,8187,3702,2389,3339,-3446,1376,2519,2183,332,1372.0,366.0,255.0,32.0,4.0,1908.0,3936.0,1.0066666666666666,0.8966666666666666,0.89,0.89,1.3533333333333335,0.6166666666666667,0.24,0.24333333333333332,0.10333333333333333,0.09000000000000001,0.6388888888888888,0.25,0.25,0.15625,0.1,116.0,116.2,116.2,116.9,117.8
2044,SYDNEY,1223.0,1117.0,1109.0,1254.0,1249.0,1251.0,1181.0,1150.0,1230.0,1292.0,620.0,650.0,640.0,600.0,630.0,126.0,94.0,145.0,161.0,135.0,20.0,31.0,52.0,45.0,48.0,1169.0,1142.0,1124.0,1177.0,1172.0,102917,109956,7039,12362.0,4074.0,8288.0,5887.0,236891.0,222717.0,14174.0,8187,3702,2389,3339,-3446,2244,2196,1219,468,965.0,449.0,392.0,94.0,36.0,1409.0,3338.0,1.0066666666666666,0.8966666666666666,0.89,0.89,1.3533333333333335,0.6166666666666667,0.24,0.24333333333333332,0.10333333333333333,0.09000000000000001,0.6388888888888888,0.25,0.25,0.15625,0.1,116.0,116.2,116.2,116.9,117.8
2044,INNER WEST,1223.0,1117.0,1109.0,1254.0,1249.0,1251.0,1181.0,1150.0,1230.0,1292.0,620.0,650.0,640.0,600.0,630.0,126.0,94.0,145.0,161.0,135.0,20.0,31.0,52.0,45.0,48.0,1169.0,1142.0,1124.0,1177.0,1172.0,77711,84679,6968,13648.0,4802.0,8846.0,7240.0,207279.0,191194.0,16085.0,5205,2971,3906,3766,238,2244,2196,1219,468,965.0,449.0,392.0,94.0,36.0,1409.0,3338.0,1.0066666666666666,0.8966666666666666,0.89,0.89,1.3533333333333335,0.6166666666666667,0.24,0.24333333333333332,0.10333333333333333,0.09000000000000001,0.6388888888888888,0.25,0.25,0.15625,0.1,116.0,116.2,116.2,116.9,117.8
2050,SYDNEY,1035.0,981.0,1073.0,1078.0,1020.0,865.0,800.0,820.0,960.0,865.0,660.0,600.0,560.0,550.0,570.0,289.0,235.0,367.0,355.0,438.0,20.0,34.0,45.0,64.0,31.0,2336.0,2244.0,2267.0,2383.0,2453.0,102917,109956,7039,12362.0,4074.0,8288.0,5887.0,236891.0,222717.0,14174.0,8187,3702,2389,3339,-3446,2007,2389,2053,1023,1365.0,284.0,175.0,38.0,0.0,3243.0,5116.0,1.0066666666666666,0.8966666666666666,0.89,0.89,1.3533333333333335,0.6166666666666667,0.24,0.24333333333333332,0.10333333333333333,0.09000000000000001,0.6388888888888888,0.25,0.25,0.15625,0.1,116.0,116.2,116.2,116.9,117.8
2050,INNER WEST,1035.0,981.0,1073.0,1078.0,1020.0,865.0,800.0,820.0,960.0,865.0,660.0,600.0,560.0,550.0,570.0,289.0,235.0,367.0,355.0,438.0,20.0,34.0,45.0,64.0,31.0,2336.0,2244.0,2267.0,2383.0,2453.0,77711,84679,6968,13648.0,4802.0,8846.0,7240.0,207279.0,191194.0,16085.0,5205,2971,3906,3766,238,2007,2389,2053,1023,1365.0,284.0,175.0,38.0,0.0,3243.0,5116.0,1.0066666666666666,0.8966666666666666,0.89,0.89,1.3533333333333335,0.6166666666666667,0.24,0.24333333333333332,0.10333333333333333,0.09000000000000001,0.6388888888888888,0.25,0.25,0.15625,0.1,116.0,116.2,116.2,116.9,117.8
2019,BAYSIDE,1002.0,864.0,968.0,992.0,1071.0,919.0,810.0,877.0,895.0,960.0,610.0,590.0,550.0,550.0,580.0,203.0,105.0,160.0,171.0,238.0,44.0,37.0,74.0,88.0,89.0,1556.0,1526.0,1558.0,1602.0,1675.0,61039,73936,12897,13654.0,4794.0,8860.0,25551.0,198945.0,164534.0,34411.0,16942,6047,5182,3610,2628,2739,2814,1419,756,1100.0,707.0,745.0,251.0,57.0,1378.0,4232.0,1.0066666666666666,0.8966666666666666,0.89,0.89,1.3533333333333335,0.6166666666666667,0.24,0.24333333333333332,0.10333333333333333,0.09000000000000001,0.6388888888888888,0.25,0.25,0.15625,0.1,116.0,116.2,116.2,116.9,117.8
2020,BAYSIDE,1017.0,1031.0,986.0,932.0,925.0,970.0,932.0,865.0,847.0,853.0,700.0,650.0,610.0,580.0,600.0,651.0,464.0,853.0,738.0,867.0,63.0,56.0,66.0,81.0,82.0,4182.0,3936.0,4179.0,4342.0,4568.0,61039,73936,12897,13654.0,4794.0,8860.0,25551.0,198945.0,164534.0,34411.0,16942,6047,5182,3610,2628,4182,4066,1863,1683,1841.0,885.0,720.0,205.0,57.0,2568.0,6277.0,1.0066666666666666,0.8966666666666666,0.89,0.89,1.3533333333333335,0.6166666666666667,0.24,0.24333333333333332,0.10333333333333333,0.09000000000000001,0.6388888888888888,0.25,0.25,0.15625,0.1,116.0,116.2,116.2,116.9,117.8
2020,INNER WEST,1017.0,1031.0,986.0,932.0,925.0,970.0,932.0,865.0,847.0,853.0,700.0,650.0,610.0,580.0,600.0,651.0,464.0,853.0,738.0,867.0,63.0,56.0,66.0,81.0,82.0,4182.0,3936.0,4179.0,4342.0,4568.0,77711,84679,6968,13648.0,4802.0,8846.0,7240.0,207279.0,191194.0,16085.0,5205,2971,3906,3766,238,4182,4066,1863,1683,1841.0,885.0,720.0,205.0,57.0,2568.0,6277.0,1.0066666666666666,0.8966666666666666,0.89,0.89,1.3533333333333335,0.6166666666666667,0.24,0.24333333333333332,0.10333333333333333,0.09000000000000001,0.6388888888888888,0.25,0.25,0.15625,0.1,116.0,116.2,116.2,116.9,117.8
2032,BAYSIDE,1476.0,1873.0,1393.0,1525.0,1389.0,1311.0,1645.0,1420.0,1503.0,965.0,565.0,500.0,473.0,438.0,450.0,416.0,244.0,444.0,442.0,530.0,20.0,20.0,37.0,42.0,51.0,2752.0,2611.0,2574.0,2694.0,2751.0,61039,73936,12897,13654.0,4794.0,8860.0,25551.0,198945.0,164534.0,34411.0,16942,6047,5182,3610,2628,5373,3181,1601,3572,1652.0,736.0,688.0,229.0,47.0,3601.0,6952.0,1.0066666666666666,0.8966666666666666,0.89,0.89,1.3533333333333335,0.6166666666666667,0.24,0.24333333333333332,0.10333333333333333,0.09000000000000001,0.6388888888888888,0.25,0.25,0.15625,0.1,116.0,116.2,116.2,116.9,117.8
2032,RANDWICK,1476.0,1873.0,1393.0,1525.0,1389.0,1311.0,1645.0,1420.0,1503.0,965.0,565.0,500.0,473.0,438.0,450.0,416.0,244.0,444.0,442.0,530.0,20.0,20.0,37.0,42.0,51.0,2752.0,2611.0,2574.0,2694.0,2751.0,57003,58708,1705,11032.0,4046.0,6986.0,-1934.0,153974.0,148922.0,5052.0,109,3060,1184,1901,-1203,5373,3181,1601,3572,1652.0,736.0,688.0,229.0,47.0,3601.0,6952.0,1.0066666666666666,0.8966666666666666,0.89,0.89,1.3533333333333335,0.6166666666666667,0.24,0.24333333333333332,0.10333333333333333,0.09000000000000001,0.6388888888888888,0.25,0.25,0.15625,0.1,116.0,116.2,116.2,116.9,117.8
2035,BAYSIDE,1396.0,1490.0,1564.0,1551.0,1702.0,1205.0,1485.0,1480.0,1335.0,1450.0,650.0,600.0,550.0,550.0,560.0,477.0,414.0,539.0,509.0,576.0,95.0,66.0,101.0,135.0,127.0,4551.0,4489.0,4476.0,4557.0,4597.0,61039,73936,12897,13654.0,4794.0,8860.0,25551.0,198945.0,164534.0,34411.0,16942,6047,5182,3610,2628,10170,7941,4928,3408,3938.0,1916.0,2036.0,690.0,160.0,5786.0,14520.0,1.0066666666666666,0.8966666666666666,0.89,0.89,1.3533333333333335,0.6166666666666667,0.24,0.24333333333333332,0.10333333333333333,0.09000000000000001,0.6388888888888888,0.25,0.25,0.15625,0.1,116.0,116.2,116.2,116.9,117.8
2035,RANDWICK,1396.0,1490.0,1564.0,1551.0,1702.0,1205.0,1485.0,1480.0,1335.0,1450.0,650.0,600.0,550.0,550.0,560.0,477.0,414.0,539.0,509.0,576.0,95.0,66.0,101.0,135.0,127.0,4551.0,4489.0,4476.0,4557.0,4597.0,57003,58708,1705,11032.0,4046.0,6986.0,-1934.0,153974.0,148922.0,5052.0,109,3060,1184,1901,-1203,10170,7941,4928,3408,3938.0,1916.0,2036.0,690.0,160.0,5786.0,14520.0,1.0066666666666666,0.8966666666666666,0.89,0.89,1.3533333333333335,0.6166666666666667,0.24,0.24333333333333332,0.10333333333333333,0.09000000000000001,0.6388888888888888,0.25,0.25,0.15625,0.1,116.0,116.2,116.2,116.9,117.8
2036,BAYSIDE,1156.0,1249.0,1208.0,1285.0,1317.0,993.0,1080.0,925.0,1000.0,1030.0,670.0,640.0,620.0,600.0,600.0,462.0,390.0,527.0,475.0,553.0,106.0,81.0,129.0,156.0,139.0,3359.0,3429.0,3629.0,3742.0,3877.0,61039,73936,12897,13654.0,4794.0,8860.0,25551.0,198945.0,164534.0,34411.0,16942,6047,5182,3610,2628,8999,6556,3206,2454,3018.0,1767.0,1813.0,658.0,171.0,4287.0,11710.0,1.0066666666666666,0.8966666666666666,0.89,0.89,1.3533333333333335,0.6166666666666667,0.24,0.24333333333333332,0.10333333333333333,0.09000000000000001,0.6388888888888888,0.25,0.25,0.15625,0.1,116.0,116.2,116.2,116.9,117.8
2036,RANDWICK,1156.0,1249.0,1208.0,1285.0,1317.0,993.0,1080.0,925.0,1000.0,1030.0,670.0,640.0,620.0,600.0,600.0,462.0,390.0,527.0,475.0,553.0,106.0,81.0,129.0,156.0,139.0,3359.0,3429.0,3629.0,3742.0,3877.0,57003,58708,1705,11032.0,4046.0,6986.0,-1934.0,153974.0,148922.0,5052.0,109,3060,1184,1901,-1203,8999,6556,3206,2454,3018.0,1767.0,1813.0,658.0,171.0,4287.0,11710.0,1.0066666666666666,0.8966666666666666,0.89,0.89,1.3533333333333335,0.6166666666666667,0.24,0.24333333333333332,0.10333333333333333,0.09000000000000001,0.6388888888888888,0.25,0.25,0.15625,0.1,116.0,116.2,116.2,116.9,117.8
