LGA,council,suburb,postcode
ALBURY CITY,ALBURY CITY COUNCIL,ALBURY,2640.0
ALBURY CITY,ALBURY CITY COUNCIL,EAST ALBURY,2640.0
ALBURY CITY,ALBURY CITY COUNCIL,ETTAMOGAH,2640.0
ALBURY CITY,ALBURY CITY COUNCIL,GLENROY,2640.0
ALBURY CITY,ALBURY CITY COUNCIL,HAMILTON VALLEY,2641.0
ALBURY CITY,ALBURY CITY COUNCIL,JINDERA,2642.0
ALBURY CITY,ALBURY CITY COUNCIL,LAKE HUME VILLAGE,3691.0
ALBURY CITY,ALBURY CITY COUNCIL,LAVINGTON,2641.0
ALBURY CITY,ALBURY CITY COUNCIL,NORTH ALBURY,2640.0
ALBURY CITY,ALBURY CITY COUNCIL,SOUTH ALBURY,2640.0
ALBURY CITY,ALBURY CITY COUNCIL,SPLITTERS CREEK,2640.0
ALBURY CITY,ALBURY CITY COUNCIL,SPRINGDALE HEIGHTS,2641.0
ALBURY CITY,ALBURY CITY COUNCIL,TABLE TOP,2640.0
ALBURY CITY,ALBURY CITY COUNCIL,THURGOONA,2640.0
ALBURY CITY,ALBURY CITY COUNCIL,WEST ALBURY,2640.0
ALBURY CITY,ALBURY CITY COUNCIL,WIRLINGA,2640.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,ABERFOYLE,2350.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,ARMIDALE,2350.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,BACKWATER,2365.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,BALD BLAIR,2365.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,BALDERSLEIGH,2365.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,BEN LOMOND,2365.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,BLACK MOUNTAIN,2365.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,BOOROLONG,2350.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,BRIARBROOK,2365.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,BROCKLEY,2365.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,BRUSHY CREEK,2365.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,CARRAI,2440.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,CASTLE DOYLE,2350.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,DANGARSLEIGH,2350.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,DONALD CREEK,2350.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,DUMARESQ,2350.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,DUVAL,2350.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,EBOR,2453.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,ENMORE,2350.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,FALCONER,2365.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,GREEN HILLS,2365.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,GUYRA,2365.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,HERNANI,2453.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,HILLGROVE,2350.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,JEOGLA,2350.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,KELLYS PLAINS,2350.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,KOOKABOOKRA,2370.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,LLANGOTHLIN,2365.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,LOWER CREEK,2440.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,LYNDHURST,2350.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,METZ,2350.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,NEW VALLEY,2365.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,OBAN,2365.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,PUDDLEDOCK,2350.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,SOUTH GUYRA,2365.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,TENTERDEN,2365.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,THALGARRAH,2350.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,THE GULF,2365.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,TILBUSTER,2350.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,TINGHA,2369.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,TUBBAMURRA,2365.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,WANDSWORTH,2365.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,WARDS MISTAKE,2350.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,WOLLOMOMBI,2350.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,WONGWIBINDA,2350.0
BALLINA,BALLINA SHIRE COUNCIL,ALSTONVALE,2477.0
BALLINA,BALLINA SHIRE COUNCIL,ALSTONVILLE,2477.0
BALLINA,BALLINA SHIRE COUNCIL,BAGOTVILLE,2477.0
BALLINA,BALLINA SHIRE COUNCIL,BALLINA,2478.0
BALLINA,BALLINA SHIRE COUNCIL,BROKEN HEAD,2481.0
BALLINA,BALLINA SHIRE COUNCIL,BROOKLET,2479.0
BALLINA,BALLINA SHIRE COUNCIL,CABBAGE TREE ISLAND,2477.0
BALLINA,BALLINA SHIRE COUNCIL,COOLGARDIE,2478.0
BALLINA,BALLINA SHIRE COUNCIL,CUMBALUM,2478.0
BALLINA,BALLINA SHIRE COUNCIL,DALWOOD,2477.0
BALLINA,BALLINA SHIRE COUNCIL,EAST BALLINA,2478.0
BALLINA,BALLINA SHIRE COUNCIL,EAST WARDELL,2477.0
BALLINA,BALLINA SHIRE COUNCIL,EMPIRE VALE,2478.0
BALLINA,BALLINA SHIRE COUNCIL,FERNLEIGH,2479.0
BALLINA,BALLINA SHIRE COUNCIL,GOAT ISLAND,2477.0
BALLINA,BALLINA SHIRE COUNCIL,KEITH HALL,2478.0
BALLINA,BALLINA SHIRE COUNCIL,KINVARA,2478.0
BALLINA,BALLINA SHIRE COUNCIL,KNOCKROW,2479.0
BALLINA,BALLINA SHIRE COUNCIL,LENNOX HEAD,2478.0
BALLINA,BALLINA SHIRE COUNCIL,LYNWOOD,2477.0
BALLINA,BALLINA SHIRE COUNCIL,MAROM CREEK,2480.0
BALLINA,BALLINA SHIRE COUNCIL,MCLEANS RIDGES,2480.0
BALLINA,BALLINA SHIRE COUNCIL,MEERSCHAUM VALE,2477.0
BALLINA,BALLINA SHIRE COUNCIL,NEWRYBAR,2479.0
BALLINA,BALLINA SHIRE COUNCIL,PATCHS BEACH,2478.0
BALLINA,BALLINA SHIRE COUNCIL,PEARCES CREEK,2477.0
BALLINA,BALLINA SHIRE COUNCIL,PIMLICO,2478.0
BALLINA,BALLINA SHIRE COUNCIL,PIMLICO ISLAND,2478.0
BALLINA,BALLINA SHIRE COUNCIL,ROUS,2477.0
BALLINA,BALLINA SHIRE COUNCIL,ROUS MILL,2477.0
BALLINA,BALLINA SHIRE COUNCIL,SKENNARS HEAD,2478.0
BALLINA,BALLINA SHIRE COUNCIL,SOUTH BALLINA,2478.0
BALLINA,BALLINA SHIRE COUNCIL,TEVEN,2478.0
BALLINA,BALLINA SHIRE COUNCIL,TINTENBAR,2478.0
BALLINA,BALLINA SHIRE COUNCIL,TUCKOMBIL,2477.0
BALLINA,BALLINA SHIRE COUNCIL,URALBA,2477.0
BALLINA,BALLINA SHIRE COUNCIL,WARDELL,2477.0
BALLINA,BALLINA SHIRE COUNCIL,WEST BALLINA,2478.0
BALLINA,BALLINA SHIRE COUNCIL,WOLLONGBAR,2477.0
BALRANALD,BALRANALD SHIRE COUNCIL,ARUMPO,2715.0
BALRANALD,BALRANALD SHIRE COUNCIL,BALRANALD,2715.0
BALRANALD,BALRANALD SHIRE COUNCIL,BOOLIGAL,2711.0
BALRANALD,BALRANALD SHIRE COUNCIL,CLARE,2711.0
BALRANALD,BALRANALD SHIRE COUNCIL,CORRONG,2711.0
BALRANALD,BALRANALD SHIRE COUNCIL,EUSTON,2737.0
BALRANALD,BALRANALD SHIRE COUNCIL,HATFIELD,2715.0
BALRANALD,BALRANALD SHIRE COUNCIL,IVANHOE,2878.0
BALRANALD,BALRANALD SHIRE COUNCIL,KYALITE,2715.0
BALRANALD,BALRANALD SHIRE COUNCIL,MOSSGIEL,2878.0
BALRANALD,BALRANALD SHIRE COUNCIL,MUNGO,2715.0
BALRANALD,BALRANALD SHIRE COUNCIL,OXLEY,2711.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,ABERCROMBIE,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,ABERCROMBIE RIVER,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,ARKELL,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,BALD RIDGE,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,BATHAMPTON,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,BATHURST,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,BILLYWILLINGA,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,BREWONGLE,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,BRUINBUN,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,CALOOLA,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,CHARLTON,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,CLEAR CREEK,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,COLO,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,COPPERHANNIA,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,COW FLAT,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,CRUDINE,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,CURRAGH,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,DUNKELD,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,DURAMANA,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,EGLINTON,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,EVANS PLAINS,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,FITZGERALDS MOUNT,2799.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,FITZGERALDS VALLEY,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,FOREST GROVE,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,FOSTERS VALLEY,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,FREEMANTLE,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,GEMALLA,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,GEORGES PLAINS,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,GLANMIRE,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,GORMANS HILL,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,GOWAN,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,HILL END,2850.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,KELSO,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,KILLONGBUTTA,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,KIRKCONNELL,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,LAFFING WATERS,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,LIMEKILNS,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,LLANARTH,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,LOCKSLEY,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,MEADOW FLAT,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,MILKERS FLAT,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,MILLAH MURRAH,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,MITCHELL,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,MOUNT PANORAMA,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,MOUNT RANKIN,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,NAPOLEON REEF,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,O'CONNELL,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,ORTON PARK,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,PALING YARDS,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,PEEL,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,PERTHVILLE,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,RAGLAN,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,ROBIN HILL,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,ROCK FOREST,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,ROCKLEY,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,ROCKLEY MOUNT,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,SALLYS FLAT,2850.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,SOFALA,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,SOUTH BATHURST,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,STEWARTS MOUNT,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,SUNNY CORNER,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,TAMBAROORA,2850.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,TANNAS MOUNT,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,TARANA,2787.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,THE LAGOON,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,THE ROCKS,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,TRIANGLE FLAT,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,TRUNKEY CREEK,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,TURONDALE,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,UPPER TURON,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,VITTORIA,2799.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,WALANG,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,WAMBOOL,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,WATTLE FLAT,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,WATTON,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,WEST BATHURST,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,WHITE ROCK,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,WIAGDON,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,WIMBLEDON,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,WINBURNDALE,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,WINDRADYNE,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,WISEMANS CREEK,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,YARRAS,2795.0
BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,YETHOLME,2795.0
BAYSIDE,BAYSIDE COUNCIL,ARNCLIFFE,2205.0
BAYSIDE,BAYSIDE COUNCIL,BANKSIA,2216.0
BAYSIDE,BAYSIDE COUNCIL,BANKSMEADOW,2019.0
BAYSIDE,BAYSIDE COUNCIL,BARDWELL PARK,2207.0
BAYSIDE,BAYSIDE COUNCIL,BARDWELL VALLEY,2207.0
BAYSIDE,BAYSIDE COUNCIL,BEXLEY,2207.0
BAYSIDE,BAYSIDE COUNCIL,BEXLEY NORTH,2207.0
BAYSIDE,BAYSIDE COUNCIL,BOTANY,2019.0
BAYSIDE,BAYSIDE COUNCIL,BRIGHTON-LE-SANDS,2216.0
BAYSIDE,BAYSIDE COUNCIL,CARLTON,2218.0
BAYSIDE,BAYSIDE COUNCIL,DACEYVILLE,2032.0
BAYSIDE,BAYSIDE COUNCIL,DOLLS POINT,2219.0
BAYSIDE,BAYSIDE COUNCIL,EASTGARDENS,2036.0
BAYSIDE,BAYSIDE COUNCIL,EASTLAKES,2018.0
BAYSIDE,BAYSIDE COUNCIL,HILLSDALE,2036.0
BAYSIDE,BAYSIDE COUNCIL,KINGSGROVE,2208.0
BAYSIDE,BAYSIDE COUNCIL,KOGARAH,2217.0
BAYSIDE,BAYSIDE COUNCIL,KYEEMAGH,2216.0
BAYSIDE,BAYSIDE COUNCIL,MASCOT,2020.0
BAYSIDE,BAYSIDE COUNCIL,MONTEREY,2217.0
BAYSIDE,BAYSIDE COUNCIL,PAGEWOOD,2035.0
BAYSIDE,BAYSIDE COUNCIL,RAMSGATE,2217.0
BAYSIDE,BAYSIDE COUNCIL,RAMSGATE BEACH,2217.0
BAYSIDE,BAYSIDE COUNCIL,ROCKDALE,2216.0
BAYSIDE,BAYSIDE COUNCIL,ROSEBERY,2018.0
BAYSIDE,BAYSIDE COUNCIL,SANDRINGHAM,2219.0
BAYSIDE,BAYSIDE COUNCIL,SANS SOUCI,2219.0
BAYSIDE,BAYSIDE COUNCIL,TURRELLA,2205.0
BAYSIDE,BAYSIDE COUNCIL,WOLLI CREEK,2205.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,ANGLEDALE,2550.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,BALD HILLS,2549.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,BARRAGGA BAY,2546.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,BEGA,2550.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,BEMBOKA,2550.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,BERMAGUI,2546.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,BERRAMBOOL,2548.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,BLACK RANGE,2550.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,BOURNDA,2548.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,BOYDTOWN,2551.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,BROADWATER,2549.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,BROGO,2550.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,BUCKAJO,2550.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,BURRAGATE,2550.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,CANDELO,2550.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,CATHCART,2632.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,CHINNOCK,2550.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,COBARGO,2550.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,COOLAGOLITE,2550.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,COOLANGUBRA,2550.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,COOPERS GULLY,2550.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,CUTTAGEE,2546.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,DEVILS HOLE,2550.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,DIGNAMS CREEK,2546.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,DOCTOR GEORGE MOUNTAIN,2550.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,EDEN,2551.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,EDROM,2551.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,FROGS HOLLOW,2550.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,GLEN ALLEN,2631.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,GREEN CAPE,2551.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,GREENDALE,2550.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,GREENLANDS,2631.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,GREIGS FLAT,2549.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,JELLAT JELLAT,2550.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,KALARU,2550.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,KAMERUKA,2550.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,KANOONA,2550.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,KIAH,2551.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,KINGSWOOD,2550.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,LOCHIEL,2549.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,MERIMBULA,2548.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,MILLINGANDI,2549.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,MIRADOR,2548.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,MOGAREEKA,2550.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,MOGILLA,2550.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,MORANS CROSSING,2550.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,MOUNT DARRAGH,2632.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,MUMBULLA MOUNTAIN,2550.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,MURRAH,2546.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,MYRTLE MOUNTAIN,2550.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,NADGEE,2551.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,NARRABARBA,2551.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,NELSON,2550.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,NETHERCOTE,2549.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,NEW BUILDINGS,2550.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,NULLICA,2551.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,NUMBUGGA,2550.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,NUNGATTA,2551.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,NUNGATTA SOUTH,2551.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,PAMBULA,2549.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,PAMBULA BEACH,2549.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,PERICOE,2550.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,QUAAMA,2550.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,REEDY SWAMP,2550.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,ROCKY HALL,2550.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,SOUTH PAMBULA,2549.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,SOUTH WOLUMLA,2550.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,STEEPLE FLAT,2631.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,STONY CREEK,2550.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,TANJA,2550.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,TANTAWANGALO,2550.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,TARRAGANDA,2550.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,TATHRA,2550.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,TIMBILLICA,2551.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,TINPOT,2546.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,TOOTHDALE,2550.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,TOWAMBA,2550.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,TURA BEACH,2548.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,VERONA,2550.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,WADBILLIGA,2546.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,WALLAGA LAKE,2546.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,WALLAGOOT,2550.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,WANDELLA,2550.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,WAPENGO,2550.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,WOG WOG,2550.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,WOLUMLA,2550.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,WONBOYN,2551.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,WONBOYN NORTH,2551.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,WYNDHAM,2550.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,YAMBULLA,2550.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,YANKEES CREEK,2550.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,YELLOW PINCH,2548.0
BEGA VALLEY,BEGA VALLEY SHIRE COUNCIL,YOWRIE,2550.0
BELLINGEN,BELLINGEN SHIRE COUNCIL,BELLINGEN,2454.0
BELLINGEN,BELLINGEN SHIRE COUNCIL,BIELSDOWN HILLS,2453.0
BELLINGEN,BELLINGEN SHIRE COUNCIL,BOSTOBRICK,2453.0
BELLINGEN,BELLINGEN SHIRE COUNCIL,BRIERFIELD,2454.0
BELLINGEN,BELLINGEN SHIRE COUNCIL,BRINERVILLE,2454.0
BELLINGEN,BELLINGEN SHIRE COUNCIL,CASCADE,2453.0
BELLINGEN,BELLINGEN SHIRE COUNCIL,DARKWOOD,2454.0
BELLINGEN,BELLINGEN SHIRE COUNCIL,DEER VALE,2453.0
BELLINGEN,BELLINGEN SHIRE COUNCIL,DORRIGO,2453.0
BELLINGEN,BELLINGEN SHIRE COUNCIL,DORRIGO MOUNTAIN,2453.0
BELLINGEN,BELLINGEN SHIRE COUNCIL,FERNBROOK,2453.0
