LGA,hhold_count_2016,hhold_count_2021,hhold_count_delta,year,Births_16_21,Deaths_16_21,  Natural change,  Net Migration (all sources),population_2021,population_2016,pop_delta,Adult,Child,MiddleAge,Senior,Youth
EDWARD RIVER,3990,3980,-10,2016-2021,476.0,468.0,8.0,-155.0,8844.0,8991.0,-147.0,17,-77,-146,168,-112
EUROBODALLA,17128,17265,137,2016-2021,1362.0,2193.0,-831.0,533.0,37621.0,37919.0,-298.0,100,-322,-818,1078,-332
FAIRFIELD,64473,67910,3437,2016-2021,13484.0,5582.0,7901.0,-3593.0,209983.0,205675.0,4308.0,33,-279,862,5615,-1922
FEDERATION,5469,5343,-126,2016-2021,642.0,741.0,-99.0,-340.0,12006.0,12445.0,-439.0,-54,-113,-236,113,-146
FORBES,3998,4130,132,2016-2021,591.0,502.0,89.0,61.0,9967.0,9817.0,150.0,115,-26,-46,165,-61
GEORGES RIVER,53690,57173,3483,2016-2021,10657.0,4706.0,5951.0,2409.0,161521.0,153161.0,8360.0,3081,1878,1266,2498,-364
GILGANDRA,1814,1755,-59,2016-2021,210.0,236.0,-26.0,-214.0,4058.0,4298.0,-240.0,-7,-84,-93,31,-86
GLEN INNES SEVERN,3918,3830,-88,2016-2021,415.0,526.0,-111.0,-293.0,8529.0,8934.0,-405.0,-146,-169,-100,127,-115
GOULBURN MULWAREE,12234,12880,646,2016-2021,1559.0,1238.0,321.0,566.0,31148.0,30261.0,887.0,258,-34,119,810,-267
GREATER HUME SHIRE,4111,4255,144,2016-2021,576.0,479.0,97.0,62.0,10678.0,10519.0,159.0,46,-145,-74,250,84
GRIFFITH,9998,10470,472,2016-2021,1904.0,1059.0,845.0,-140.0,27061.0,26356.0,705.0,351,-66,86,465,-129
GUNNEDAH,5069,5228,159,2016-2021,838.0,580.0,258.0,-142.0,12607.0,12491.0,116.0,153,-45,-14,212,-191
GWYDIR,2307,2301,-6,2016-2021,270.0,313.0,-43.0,-42.0,5242.0,5326.0,-84.0,16,-58,-45,42,-39
HAWKESBURY,23455,24477,1022,2016-2021,4436.0,1761.0,2674.0,-1864.0,67156.0,66346.0,810.0,-397,-205,356,1748,-691
HAY,1335,1311,-24,2016-2021,180.0,147.0,32.0,-154.0,2863.0,2984.0,-121.0,-10,-59,-52,50,-51
HILLTOPS,7836,7875,39,2016-2021,1026.0,925.0,101.0,-398.0,18459.0,18756.0,-297.0,-127,-245,-207,399,-114
HORNSBY,49871,53627,3756,2016-2021,8251.0,4677.0,3573.0,5076.0,156034.0,147385.0,8649.0,967,1612,2643,3297,129
HUNTERS HILL,5076,4905,-171,2016-2021,659.0,607.0,52.0,-549.0,14159.0,14656.0,-497.0,-439,-143,-46,48,81
INNER WEST,77711,84679,6968,2016-2021,13648.0,4802.0,8846.0,7240.0,207279.0,191194.0,16085.0,5205,2971,3906,3766,238
INVERELL,6917,7035,118,2016-2021,984.0,830.0,154.0,-102.0,16865.0,16812.0,53.0,97,-151,-123,215,15
JUNEE,2291,2479,188,2016-2021,360.0,242.0,118.0,306.0,6838.0,6414.0,424.0,121,62,20,192,30
KEMPSEY,12149,12332,183,2016-2021,1534.0,1553.0,-19.0,49.0,29462.0,29431.0,31.0,141,-143,-648,881,-202
KIAMA,8714,9226,512,2016-2021,1136.0,1114.0,22.0,910.0,23042.0,22110.0,932.0,168,115,-127,906,-131
KU-RING-GAI,40577,44188,3611,2016-2021,5653.0,4408.0,1245.0,8920.0,132637.0,122472.0,10165.0,2865,2245,2622,1519,915
KYOGLE,4055,4047,-8,2016-2021,389.0,485.0,-96.0,-188.0,8831.0,9114.0,-283.0,-64,-160,-333,396,-124
LACHLAN,2681,2687,6,2016-2021,497.0,313.0,184.0,-254.0,6286.0,6356.0,-70.0,37,-51,-46,67,-76
LAKE MACQUARIE,79264,83209,3945,2016-2021,12267.0,9330.0,2936.0,4737.0,210005.0,202332.0,7673.0,1495,1223,491,4987,-522
LANE COVE,14536,16947,2411,2016-2021,3046.0,1038.0,2009.0,4066.0,43768.0,37694.0,6074.0,2629,1267,1103,686,388
LEETON,4493,4708,215,2016-2021,697.0,487.0,210.0,118.0,11735.0,11407.0,328.0,42,-73,89,200,69
LISMORE,18228,19474,1246,2016-2021,2219.0,1961.0,258.0,1573.0,45954.0,44122.0,1832.0,508,-219,-131,1799,-125
LITHGOW CITY,9109,9393,284,2016-2021,1126.0,1103.0,23.0,77.0,21584.0,21484.0,100.0,-84,-104,-83,615,-243
LIVERPOOL,66436,80626,14190,2016-2021,18206.0,4513.0,13693.0,25646.0,251322.0,211983.0,39339.0,13171,7915,8438,6857,2957
LIVERPOOL PLAINS,3328,3325,-3,2016-2021,383.0,407.0,-24.0,-163.0,7660.0,7847.0,-187.0,-7,-145,-146,154,-44
LOCKHART,1301,1339,38,2016-2021,174.0,166.0,8.0,18.0,3200.0,3173.0,27.0,4,-48,-24,90,2
MAITLAND,29735,32495,2760,2016-2021,5794.0,2663.0,3132.0,2698.0,84892.0,79063.0,5829.0,1315,797,1203,2350,164
MID-COAST,39867,42174,2307,2016-2021,3876.0,5951.0,-2075.0,5215.0,94941.0,91801.0,3140.0,21,-385,-86,4135,-544
MID-WESTERN REGIONAL,10219,10649,430,2016-2021,1465.0,1135.0,330.0,282.0,25158.0,24546.0,612.0,346,-66,12,404,-80
MOREE PLAINS,5599,5589,-10,2016-2021,1126.0,515.0,611.0,-958.0,13280.0,13627.0,-347.0,-354,-71,24,347,-293
MOSMAN,12350,12544,194,2016-2021,1741.0,1075.0,666.0,-295.0,30631.0,30260.0,371.0,-568,284,252,488,-82
MURRAY RIVER,5142,5224,82,2016-2021,624.0,688.0,-64.0,210.0,12018.0,11872.0,146.0,-3,11,-184,286,33
MURRUMBIDGEE,1612,1644,32,2016-2021,206.0,165.0,41.0,-88.0,3882.0,3929.0,-47.0,-34,-76,33,45,-15
MUSWELLBROOK,6452,6897,445,2016-2021,1250.0,558.0,691.0,-71.0,17082.0,16462.0,620.0,65,-40,213,500,-119
NAMBUCCA VALLEY,8547,8783,236,2016-2021,912.0,1188.0,-276.0,570.0,19873.0,19580.0,293.0,120,-89,-250,548,-34
NARRABRI,5377,5422,45,2016-2021,932.0,561.0,371.0,-443.0,13295.0,13367.0,-72.0,-13,-109,-129,224,-46
NARRANDERA,2540,2527,-13,2016-2021,362.0,303.0,59.0,-198.0,5811.0,5949.0,-138.0,-18,-68,-91,102,-64
NARROMINE,2703,2680,-23,2016-2021,355.0,325.0,30.0,-286.0,6361.0,6617.0,-256.0,-18,-178,-103,104,-59
NEWCASTLE,66213,71598,5385,2016-2021,9999.0,6183.0,3816.0,8000.0,172523.0,160707.0,11816.0,4911,1700,1781,2833,593
NORTH SYDNEY,33912,36419,2507,2016-2021,5802.0,1923.0,3879.0,2048.0,77736.0,71809.0,5927.0,1001,2173,1414,1564,-226
NORTHERN BEACHES,96933,99002,2069,2016-2021,17352.0,8543.0,8809.0,-4681.0,269596.0,265468.0,4128.0,-5685,1376,4222,3588,627
OBERON,2193,2279,86,2016-2021,287.0,257.0,30.0,20.0,5399.0,5349.0,50.0,32,-18,-45,142,-60
ORANGE,16368,17700,1332,2016-2021,3047.0,1724.0,1323.0,1337.0,43870.0,41210.0,2660.0,756,435,572,990,-93
PARKES,6144,6361,217,2016-2021,894.0,719.0,176.0,-63.0,15036.0,14924.0,112.0,210,-126,-91,289,-170
CITY OF PARRAMATTA,83129,106956,23827,2016-2021,18849.0,5912.0,12937.0,51460.0,298841.0,234444.0,64397.0,32823,12435,9200,6128,3812
PENRITH,69299,80548,11249,2016-2021,17853.0,4445.0,13408.0,15284.0,230289.0,201597.0,28692.0,9887,6885,4626,6771,524
PORT MACQUARIE-HASTINGS,34030,36606,2576,2016-2021,3433.0,4905.0,-1472.0,6270.0,84871.0,80073.0,4798.0,832,151,828,2850,136
PORT STEPHENS,28801,30257,1456,2016-2021,3651.0,3486.0,165.0,1536.0,72816.0,71115.0,1701.0,-416,-375,328,2571,-407
QUEANBEYAN-PALERANG REGIONAL,22679,24292,1613,2016-2021,3684.0,1661.0,2022.0,371.0,60183.0,57790.0,2393.0,-167,-37,723,2128,-256
RANDWICK,57003,58708,1705,2016-2021,11032.0,4046.0,6986.0,-1934.0,153974.0,148922.0,5052.0,109,3060,1184,1901,-1203
RICHMOND VALLEY,9535,9933,398,2016-2021,1302.0,1200.0,101.0,179.0,23536.0,23256.0,280.0,27,-222,-133,796,-188
