Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"POA (UR) by DTWP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"Counting","POA (UR)","DTWP - 1 Digit Level","Count",
"Persons Place of Usual Residence","2144, NSW","2.5 km to less than 10 km",3830
"Persons Place of Usual Residence","2144, NSW","10 km to less than 30 km",6905
"Persons Place of Usual Residence","2144, NSW","30 km to less than 50 km",435
"Persons Place of Usual Residence","2144, NSW","50 km to less than 250 km",89
"Persons Place of Usual Residence","2144, NSW","250 km and over",75
"Persons Place of Usual Residence","2144, NSW","Not applicable",23915
"Persons Place of Usual Residence","2144, NSW","Total",37370
"Persons Place of Usual Residence","2145, NSW","Over 0 km to less than 2.5 km",2259
"Persons Place of Usual Residence","2145, NSW","Nil distance",1531
"Persons Place of Usual Residence","2145, NSW","2.5 km to less than 10 km",10857
"Persons Place of Usual Residence","2145, NSW","10 km to less than 30 km",17078
"Persons Place of Usual Residence","2145, NSW","30 km to less than 50 km",2003
"Persons Place of Usual Residence","2145, NSW","50 km to less than 250 km",173
"Persons Place of Usual Residence","2145, NSW","250 km and over",183
"Persons Place of Usual Residence","2145, NSW","Not applicable",45136
"Persons Place of Usual Residence","2145, NSW","Total",79213
"Persons Place of Usual Residence","2146, NSW","Over 0 km to less than 2.5 km",435
"Persons Place of Usual Residence","2146, NSW","Nil distance",314
"Persons Place of Usual Residence","2146, NSW","2.5 km to less than 10 km",2810
"Persons Place of Usual Residence","2146, NSW","10 km to less than 30 km",3279
"Persons Place of Usual Residence","2146, NSW","30 km to less than 50 km",1002
"Persons Place of Usual Residence","2146, NSW","50 km to less than 250 km",25
"Persons Place of Usual Residence","2146, NSW","250 km and over",39
"Persons Place of Usual Residence","2146, NSW","Not applicable",9557
"Persons Place of Usual Residence","2146, NSW","Total",17467
"Persons Place of Usual Residence","2147, NSW","Over 0 km to less than 2.5 km",890
"Persons Place of Usual Residence","2147, NSW","Nil distance",769
"Persons Place of Usual Residence","2147, NSW","2.5 km to less than 10 km",5100
"Persons Place of Usual Residence","2147, NSW","10 km to less than 30 km",6433
"Persons Place of Usual Residence","2147, NSW","30 km to less than 50 km",2809
"Persons Place of Usual Residence","2147, NSW","50 km to less than 250 km",83
"Persons Place of Usual Residence","2147, NSW","250 km and over",55
"Persons Place of Usual Residence","2147, NSW","Not applicable",20208
"Persons Place of Usual Residence","2147, NSW","Total",36346
"Persons Place of Usual Residence","2148, NSW","Over 0 km to less than 2.5 km",1939
"Persons Place of Usual Residence","2148, NSW","Nil distance",1066
"Persons Place of Usual Residence","2148, NSW","2.5 km to less than 10 km",7239
"Persons Place of Usual Residence","2148, NSW","10 km to less than 30 km",11712
"Persons Place of Usual Residence","2148, NSW","30 km to less than 50 km",5027
"Persons Place of Usual Residence","2148, NSW","50 km to less than 250 km",176
"Persons Place of Usual Residence","2148, NSW","250 km and over",137
"Persons Place of Usual Residence","2148, NSW","Not applicable",35779
"Persons Place of Usual Residence","2148, NSW","Total",63074
"Persons Place of Usual Residence","2150, NSW","Over 0 km to less than 2.5 km",2439
"Persons Place of Usual Residence","2150, NSW","Nil distance",353
"Persons Place of Usual Residence","2150, NSW","2.5 km to less than 10 km",2678
"Persons Place of Usual Residence","2150, NSW","10 km to less than 30 km",9048
"Persons Place of Usual Residence","2150, NSW","30 km to less than 50 km",411
"Persons Place of Usual Residence","2150, NSW","50 km to less than 250 km",57
"Persons Place of Usual Residence","2150, NSW","250 km and over",110
"Persons Place of Usual Residence","2150, NSW","Not applicable",16403
"Persons Place of Usual Residence","2150, NSW","Total",31500
"Persons Place of Usual Residence","2151, NSW","Over 0 km to less than 2.5 km",1102
"Persons Place of Usual Residence","2151, NSW","Nil distance",559
"Persons Place of Usual Residence","2151, NSW","2.5 km to less than 10 km",2465
"Persons Place of Usual Residence","2151, NSW","10 km to less than 30 km",4999
"Persons Place of Usual Residence","2151, NSW","30 km to less than 50 km",305
"Persons Place of Usual Residence","2151, NSW","50 km to less than 250 km",52
"Persons Place of Usual Residence","2151, NSW","250 km and over",46
"Persons Place of Usual Residence","2151, NSW","Not applicable",11773
"Persons Place of Usual Residence","2151, NSW","Total",21308
"Persons Place of Usual Residence","2152, NSW","Over 0 km to less than 2.5 km",402
"Persons Place of Usual Residence","2152, NSW","Nil distance",256
"Persons Place of Usual Residence","2152, NSW","2.5 km to less than 10 km",1748
"Persons Place of Usual Residence","2152, NSW","10 km to less than 30 km",2536
"Persons Place of Usual Residence","2152, NSW","30 km to less than 50 km",209
"Persons Place of Usual Residence","2152, NSW","50 km to less than 250 km",16
"Persons Place of Usual Residence","2152, NSW","250 km and over",20
"Persons Place of Usual Residence","2152, NSW","Not applicable",6021
"Persons Place of Usual Residence","2152, NSW","Total",11218
"Persons Place of Usual Residence","2153, NSW","Over 0 km to less than 2.5 km",1547
"Persons Place of Usual Residence","2153, NSW","Nil distance",1840
"Persons Place of Usual Residence","2153, NSW","2.5 km to less than 10 km",8558
"Persons Place of Usual Residence","2153, NSW","10 km to less than 30 km",11007
"Persons Place of Usual Residence","2153, NSW","30 km to less than 50 km",4017
"Persons Place of Usual Residence","2153, NSW","50 km to less than 250 km",144
"Persons Place of Usual Residence","2153, NSW","250 km and over",120
"Persons Place of Usual Residence","2153, NSW","Not applicable",29323
"Persons Place of Usual Residence","2153, NSW","Total",56556
"Persons Place of Usual Residence","2154, NSW","Over 0 km to less than 2.5 km",1374
"Persons Place of Usual Residence","2154, NSW","Nil distance",1532
"Persons Place of Usual Residence","2154, NSW","2.5 km to less than 10 km",4351
"Persons Place of Usual Residence","2154, NSW","10 km to less than 30 km",7900
"Persons Place of Usual Residence","2154, NSW","30 km to less than 50 km",3274
"Persons Place of Usual Residence","2154, NSW","50 km to less than 250 km",124
"Persons Place of Usual Residence","2154, NSW","250 km and over",105
"Persons Place of Usual Residence","2154, NSW","Not applicable",20943
"Persons Place of Usual Residence","2154, NSW","Total",39594
"Persons Place of Usual Residence","2155, NSW","Over 0 km to less than 2.5 km",1037
"Persons Place of Usual Residence","2155, NSW","Nil distance",1963
"Persons Place of Usual Residence","2155, NSW","2.5 km to less than 10 km",6737
"Persons Place of Usual Residence","2155, NSW","10 km to less than 30 km",11877
"Persons Place of Usual Residence","2155, NSW","30 km to less than 50 km",5814
"Persons Place of Usual Residence","2155, NSW","50 km to less than 250 km",226
"Persons Place of Usual Residence","2155, NSW","250 km and over",150
"Persons Place of Usual Residence","2155, NSW","Not applicable",27648
"Persons Place of Usual Residence","2155, NSW","Total",55447
"Persons Place of Usual Residence","2156, NSW","Over 0 km to less than 2.5 km",222
"Persons Place of Usual Residence","2156, NSW","Nil distance",811
"Persons Place of Usual Residence","2156, NSW","2.5 km to less than 10 km",1258
"Persons Place of Usual Residence","2156, NSW","10 km to less than 30 km",2757
"Persons Place of Usual Residence","2156, NSW","30 km to less than 50 km",1042
"Persons Place of Usual Residence","2156, NSW","50 km to less than 250 km",87
"Persons Place of Usual Residence","2156, NSW","250 km and over",20
"Persons Place of Usual Residence","2156, NSW","Not applicable",6738
"Persons Place of Usual Residence","2156, NSW","Total",12941
"Persons Place of Usual Residence","2157, NSW","Over 0 km to less than 2.5 km",112
"Persons Place of Usual Residence","2157, NSW","Nil distance",270
"Persons Place of Usual Residence","2157, NSW","2.5 km to less than 10 km",163
"Persons Place of Usual Residence","2157, NSW","10 km to less than 30 km",720
"Persons Place of Usual Residence","2157, NSW","30 km to less than 50 km",406
"Persons Place of Usual Residence","2157, NSW","50 km to less than 250 km",61
"Persons Place of Usual Residence","2157, NSW","250 km and over",11
"Persons Place of Usual Residence","2157, NSW","Not applicable",2011
"Persons Place of Usual Residence","2157, NSW","Total",3741
"Persons Place of Usual Residence","2158, NSW","Over 0 km to less than 2.5 km",215
"Persons Place of Usual Residence","2158, NSW","Nil distance",514
"Persons Place of Usual Residence","2158, NSW","2.5 km to less than 10 km",836
"Persons Place of Usual Residence","2158, NSW","10 km to less than 30 km",1790
"Persons Place of Usual Residence","2158, NSW","30 km to less than 50 km",632
"Persons Place of Usual Residence","2158, NSW","50 km to less than 250 km",46
"Persons Place of Usual Residence","2158, NSW","250 km and over",13
"Persons Place of Usual Residence","2158, NSW","Not applicable",4536
"Persons Place of Usual Residence","2158, NSW","Total",8579
"Persons Place of Usual Residence","2159, NSW","Over 0 km to less than 2.5 km",136
"Persons Place of Usual Residence","2159, NSW","Nil distance",362
"Persons Place of Usual Residence","2159, NSW","2.5 km to less than 10 km",380
"Persons Place of Usual Residence","2159, NSW","10 km to less than 30 km",933
"Persons Place of Usual Residence","2159, NSW","30 km to less than 50 km",475
"Persons Place of Usual Residence","2159, NSW","50 km to less than 250 km",42
"Persons Place of Usual Residence","2159, NSW","250 km and over",7
"Persons Place of Usual Residence","2159, NSW","Not applicable",2641
"Persons Place of Usual Residence","2159, NSW","Total",4976
"Persons Place of Usual Residence","2160, NSW","Over 0 km to less than 2.5 km",1312
"Persons Place of Usual Residence","2160, NSW","Nil distance",619
"Persons Place of Usual Residence","2160, NSW","2.5 km to less than 10 km",4398
"Persons Place of Usual Residence","2160, NSW","10 km to less than 30 km",6156
"Persons Place of Usual Residence","2160, NSW","30 km to less than 50 km",450
"Persons Place of Usual Residence","2160, NSW","50 km to less than 250 km",69
"Persons Place of Usual Residence","2160, NSW","250 km and over",70
"Persons Place of Usual Residence","2160, NSW","Not applicable",22895
"Persons Place of Usual Residence","2160, NSW","Total",35971
"Persons Place of Usual Residence","2161, NSW","Over 0 km to less than 2.5 km",844
"Persons Place of Usual Residence","2161, NSW","Nil distance",553
"Persons Place of Usual Residence","2161, NSW","2.5 km to less than 10 km",3538
"Persons Place of Usual Residence","2161, NSW","10 km to less than 30 km",4454
"Persons Place of Usual Residence","2161, NSW","30 km to less than 50 km",412
"Persons Place of Usual Residence","2161, NSW","50 km to less than 250 km",47
"Persons Place of Usual Residence","2161, NSW","250 km and over",56
"Persons Place of Usual Residence","2161, NSW","Not applicable",21524
"Persons Place of Usual Residence","2161, NSW","Total",31420
"Persons Place of Usual Residence","2162, NSW","Over 0 km to less than 2.5 km",565
"Persons Place of Usual Residence","2162, NSW","Nil distance",296
"Persons Place of Usual Residence","2162, NSW","2.5 km to less than 10 km",2179
"Persons Place of Usual Residence","2162, NSW","10 km to less than 30 km",2968
"Persons Place of Usual Residence","2162, NSW","30 km to less than 50 km",175
"Persons Place of Usual Residence","2162, NSW","50 km to less than 250 km",39
"Persons Place of Usual Residence","2162, NSW","250 km and over",24
"Persons Place of Usual Residence","2162, NSW","Not applicable",12361
"Persons Place of Usual Residence","2162, NSW","Total",18622
"Persons Place of Usual Residence","2163, NSW","Over 0 km to less than 2.5 km",212
"Persons Place of Usual Residence","2163, NSW","Nil distance",88
"Persons Place of Usual Residence","2163, NSW","2.5 km to less than 10 km",915
"Persons Place of Usual Residence","2163, NSW","10 km to less than 30 km",1138
"Persons Place of Usual Residence","2163, NSW","30 km to less than 50 km",109
"Persons Place of Usual Residence","2163, NSW","50 km to less than 250 km",9
"Persons Place of Usual Residence","2163, NSW","250 km and over",12
"Persons Place of Usual Residence","2163, NSW","Not applicable",7111
"Persons Place of Usual Residence","2163, NSW","Total",9592
"Persons Place of Usual Residence","2164, NSW","Over 0 km to less than 2.5 km",674
"Persons Place of Usual Residence","2164, NSW","Nil distance",342
"Persons Place of Usual Residence","2164, NSW","2.5 km to less than 10 km",2273
"Persons Place of Usual Residence","2164, NSW","10 km to less than 30 km",2657
"Persons Place of Usual Residence","2164, NSW","30 km to less than 50 km",905
"Persons Place of Usual Residence","2164, NSW","50 km to less than 250 km",39
"Persons Place of Usual Residence","2164, NSW","250 km and over",25
"Persons Place of Usual Residence","2164, NSW","Not applicable",12713
"Persons Place of Usual Residence","2164, NSW","Total",19626
"Persons Place of Usual Residence","2165, NSW","Over 0 km to less than 2.5 km",1286
"Persons Place of Usual Residence","2165, NSW","Nil distance",518
"Persons Place of Usual Residence","2165, NSW","2.5 km to less than 10 km",4094
"Persons Place of Usual Residence","2165, NSW","10 km to less than 30 km",5234
"Persons Place of Usual Residence","2165, NSW","30 km to less than 50 km",1336
"Persons Place of Usual Residence","2165, NSW","50 km to less than 250 km",75
"Persons Place of Usual Residence","2165, NSW","250 km and over",75
"Persons Place of Usual Residence","2165, NSW","Not applicable",29820
"Persons Place of Usual Residence","2165, NSW","Total",42438
"Persons Place of Usual Residence","2166, NSW","Over 0 km to less than 2.5 km",1919
"Persons Place of Usual Residence","2166, NSW","Nil distance",635
"Persons Place of Usual Residence","2166, NSW","2.5 km to less than 10 km",5422
"Persons Place of Usual Residence","2166, NSW","10 km to less than 30 km",7386
"Persons Place of Usual Residence","2166, NSW","30 km to less than 50 km",2207
"Persons Place of Usual Residence","2166, NSW","50 km to less than 250 km",161
"Persons Place of Usual Residence","2166, NSW","250 km and over",128
"Persons Place of Usual Residence","2166, NSW","Not applicable",34910
"Persons Place of Usual Residence","2166, NSW","Total",52768
"Persons Place of Usual Residence","2167, NSW","Over 0 km to less than 2.5 km",177
"Persons Place of Usual Residence","2167, NSW","Nil distance",141
"Persons Place of Usual Residence","2167, NSW","2.5 km to less than 10 km",736
"Persons Place of Usual Residence","2167, NSW","10 km to less than 30 km",1556
"Persons Place of Usual Residence","2167, NSW","30 km to less than 50 km",1523
"Persons Place of Usual Residence","2167, NSW","50 km to less than 250 km",70
"Persons Place of Usual Residence","2167, NSW","250 km and over",14
"Persons Place of Usual Residence","2167, NSW","Not applicable",5421
"Persons Place of Usual Residence","2167, NSW","Total",9637
"Persons Place of Usual Residence","2168, NSW","Over 0 km to less than 2.5 km",677
"Persons Place of Usual Residence","2168, NSW","Nil distance",614
"Persons Place of Usual Residence","2168, NSW","2.5 km to less than 10 km",4230
"Persons Place of Usual Residence","2168, NSW","10 km to less than 30 km",6592
"Persons Place of Usual Residence","2168, NSW","30 km to less than 50 km",2413
"Persons Place of Usual Residence","2168, NSW","50 km to less than 250 km",93
"Persons Place of Usual Residence","2168, NSW","250 km and over",85
"Persons Place of Usual Residence","2168, NSW","Not applicable",28747
"Persons Place of Usual Residence","2168, NSW","Total",43451
"Persons Place of Usual Residence","2170, NSW","Over 0 km to less than 2.5 km",3544
"Persons Place of Usual Residence","2170, NSW","Nil distance",1671
"Persons Place of Usual Residence","2170, NSW","2.5 km to less than 10 km",9658
"Persons Place of Usual Residence","2170, NSW","10 km to less than 30 km",16699
"Persons Place of Usual Residence","2170, NSW","30 km to less than 50 km",6678
"Persons Place of Usual Residence","2170, NSW","50 km to less than 250 km",462
"Persons Place of Usual Residence","2170, NSW","250 km and over",217
"Persons Place of Usual Residence","2170, NSW","Not applicable",66531
"Persons Place of Usual Residence","2170, NSW","Total",105455
"Persons Place of Usual Residence","2171, NSW","Over 0 km to less than 2.5 km",605
"Persons Place of Usual Residence","2171, NSW","Nil distance",863
"Persons Place of Usual Residence","2171, NSW","2.5 km to less than 10 km",3181
"Persons Place of Usual Residence","2171, NSW","10 km to less than 30 km",7188
"Persons Place of Usual Residence","2171, NSW","30 km to less than 50 km",3579
"Persons Place of Usual Residence","2171, NSW","50 km to less than 250 km",165
"Persons Place of Usual Residence","2171, NSW","250 km and over",92
"Persons Place of Usual Residence","2171, NSW","Not applicable",19184
"Persons Place of Usual Residence","2171, NSW","Total",34865
"Persons Place of Usual Residence","2172, NSW","Over 0 km to less than 2.5 km",17
"Persons Place of Usual Residence","2172, NSW","Nil distance",115
"Persons Place of Usual Residence","2172, NSW","2.5 km to less than 10 km",203
"Persons Place of Usual Residence","2172, NSW","10 km to less than 30 km",629
"Persons Place of Usual Residence","2172, NSW","30 km to less than 50 km",418
"Persons Place of Usual Residence","2172, NSW","50 km to less than 250 km",86
"Persons Place of Usual Residence","2172, NSW","250 km and over",6
"Persons Place of Usual Residence","2172, NSW","Not applicable",1301
"Persons Place of Usual Residence","2172, NSW","Total",2779
"Persons Place of Usual Residence","2173, NSW","Over 0 km to less than 2.5 km",294
"Persons Place of Usual Residence","2173, NSW","Nil distance",637
"Persons Place of Usual Residence","2173, NSW","2.5 km to less than 10 km",1398
"Persons Place of Usual Residence","2173, NSW","10 km to less than 30 km",3015
"Persons Place of Usual Residence","2173, NSW","30 km to less than 50 km",1652
"Persons Place of Usual Residence","2173, NSW","50 km to less than 250 km",462
"Persons Place of Usual Residence","2173, NSW","250 km and over",61
"Persons Place of Usual Residence","2173, NSW","Not applicable",6927
"Persons Place of Usual Residence","2173, NSW","Total",14432
"Persons Place of Usual Residence","2174, NSW","Over 0 km to less than 2.5 km",35
"Persons Place of Usual Residence","2174, NSW","Nil distance",30
"Persons Place of Usual Residence","2174, NSW","2.5 km to less than 10 km",175
"Persons Place of Usual Residence","2174, NSW","10 km to less than 30 km",382
"Persons Place of Usual Residence","2174, NSW","30 km to less than 50 km",339
"Persons Place of Usual Residence","2174, NSW","50 km to less than 250 km",34
"Persons Place of Usual Residence","2174, NSW","250 km and over",7
"Persons Place of Usual Residence","2174, NSW","Not applicable",1263
"Persons Place of Usual Residence","2174, NSW","Total",2267
"Persons Place of Usual Residence","2175, NSW","Over 0 km to less than 2.5 km",49
"Persons Place of Usual Residence","2175, NSW","Nil distance",130
"Persons Place of Usual Residence","2175, NSW","2.5 km to less than 10 km",176
"Persons Place of Usual Residence","2175, NSW","10 km to less than 30 km",313
"Persons Place of Usual Residence","2175, NSW","30 km to less than 50 km",83
"Persons Place of Usual Residence","2175, NSW","50 km to less than 250 km",4
"Persons Place of Usual Residence","2175, NSW","250 km and over",0
"Persons Place of Usual Residence","2175, NSW","Not applicable",1073
"Persons Place of Usual Residence","2175, NSW","Total",1837
"Persons Place of Usual Residence","2176, NSW","Over 0 km to less than 2.5 km",1114
"Persons Place of Usual Residence","2176, NSW","Nil distance",1052
"Persons Place of Usual Residence","2176, NSW","2.5 km to less than 10 km",6065
"Persons Place of Usual Residence","2176, NSW","10 km to less than 30 km",7205
"Persons Place of Usual Residence","2176, NSW","30 km to less than 50 km",3192
"Persons Place of Usual Residence","2176, NSW","50 km to less than 250 km",132
"Persons Place of Usual Residence","2176, NSW","250 km and over",77
"Persons Place of Usual Residence","2176, NSW","Not applicable",28980
"Persons Place of Usual Residence","2176, NSW","Total",47812
"Persons Place of Usual Residence","2177, NSW","Over 0 km to less than 2.5 km",253
"Persons Place of Usual Residence","2177, NSW","Nil distance",258
"Persons Place of Usual Residence","2177, NSW","2.5 km to less than 10 km",1911
"Persons Place of Usual Residence","2177, NSW","10 km to less than 30 km",2392
"Persons Place of Usual Residence","2177, NSW","30 km to less than 50 km",1019
"Persons Place of Usual Residence","2177, NSW","50 km to less than 250 km",48
"Persons Place of Usual Residence","2177, NSW","250 km and over",34
"Persons Place of Usual Residence","2177, NSW","Not applicable",10062
"Persons Place of Usual Residence","2177, NSW","Total",15980
"Persons Place of Usual Residence","2178, NSW","Over 0 km to less than 2.5 km",103
"Persons Place of Usual Residence","2178, NSW","Nil distance",246
"Persons Place of Usual Residence","2178, NSW","2.5 km to less than 10 km",257
"Persons Place of Usual Residence","2178, NSW","10 km to less than 30 km",914
"Persons Place of Usual Residence","2178, NSW","30 km to less than 50 km",278
"Persons Place of Usual Residence","2178, NSW","50 km to less than 250 km",22
"Persons Place of Usual Residence","2178, NSW","250 km and over",10
"Persons Place of Usual Residence","2178, NSW","Not applicable",2401
"Persons Place of Usual Residence","2178, NSW","Total",4234
"Persons Place of Usual Residence","2179, NSW","Over 0 km to less than 2.5 km",170
"Persons Place of Usual Residence","2179, NSW","Nil distance",268
"Persons Place of Usual Residence","2179, NSW","2.5 km to less than 10 km",299
"Persons Place of Usual Residence","2179, NSW","10 km to less than 30 km",1132
"Persons Place of Usual Residence","2179, NSW","30 km to less than 50 km",634
"Persons Place of Usual Residence","2179, NSW","50 km to less than 250 km",64
"Persons Place of Usual Residence","2179, NSW","250 km and over",17
"Persons Place of Usual Residence","2179, NSW","Not applicable",3941
"Persons Place of Usual Residence","2179, NSW","Total",6529
"Persons Place of Usual Residence","2190, NSW","Over 0 km to less than 2.5 km",1122
"Persons Place of Usual Residence","2190, NSW","Nil distance",556
"Persons Place of Usual Residence","2190, NSW","2.5 km to less than 10 km",2708
"Persons Place of Usual Residence","2190, NSW","10 km to less than 30 km",3391
"Persons Place of Usual Residence","2190, NSW","30 km to less than 50 km",173
"Persons Place of Usual Residence","2190, NSW","50 km to less than 250 km",39
"Persons Place of Usual Residence","2190, NSW","250 km and over",31
"Persons Place of Usual Residence","2190, NSW","Not applicable",17547
"Persons Place of Usual Residence","2190, NSW","Total",25571
"Persons Place of Usual Residence","2191, NSW","Over 0 km to less than 2.5 km",233
"Persons Place of Usual Residence","2191, NSW","Nil distance",160
"Persons Place of Usual Residence","2191, NSW","2.5 km to less than 10 km",915
"Persons Place of Usual Residence","2191, NSW","10 km to less than 30 km",1211
"Persons Place of Usual Residence","2191, NSW","30 km to less than 50 km",52
"Persons Place of Usual Residence","2191, NSW","50 km to less than 250 km",12
"Persons Place of Usual Residence","2191, NSW","250 km and over",14
"Persons Place of Usual Residence","2191, NSW","Not applicable",3725
"Persons Place of Usual Residence","2191, NSW","Total",6317
"Persons Place of Usual Residence","2192, NSW","Over 0 km to less than 2.5 km",574
"Persons Place of Usual Residence","2192, NSW","Nil distance",198
"Persons Place of Usual Residence","2192, NSW","2.5 km to less than 10 km",1415
"Persons Place of Usual Residence","2192, NSW","10 km to less than 30 km",2587
"Persons Place of Usual Residence","2192, NSW","30 km to less than 50 km",118
"Persons Place of Usual Residence","2192, NSW","50 km to less than 250 km",23
"Persons Place of Usual Residence","2192, NSW","250 km and over",19
"Persons Place of Usual Residence","2192, NSW","Not applicable",7782
"Persons Place of Usual Residence","2192, NSW","Total",12713
"Persons Place of Usual Residence","2193, NSW","Over 0 km to less than 2.5 km",580
"Persons Place of Usual Residence","2193, NSW","Nil distance",365
"Persons Place of Usual Residence","2193, NSW","2.5 km to less than 10 km",2709
"Persons Place of Usual Residence","2193, NSW","10 km to less than 30 km",3450
"Persons Place of Usual Residence","2193, NSW","30 km to less than 50 km",163
"Persons Place of Usual Residence","2193, NSW","50 km to less than 250 km",40
"Persons Place of Usual Residence","2193, NSW","250 km and over",33
"Persons Place of Usual Residence","2193, NSW","Not applicable",7923
"Persons Place of Usual Residence","2193, NSW","Total",15254
"Persons Place of Usual Residence","2194, NSW","Over 0 km to less than 2.5 km",1131
"Persons Place of Usual Residence","2194, NSW","Nil distance",379
"Persons Place of Usual Residence","2194, NSW","2.5 km to less than 10 km",2969
"Persons Place of Usual Residence","2194, NSW","10 km to less than 30 km",5577
"Persons Place of Usual Residence","2194, NSW","30 km to less than 50 km",264
"Persons Place of Usual Residence","2194, NSW","50 km to less than 250 km",39
"Persons Place of Usual Residence","2194, NSW","250 km and over",49
"Persons Place of Usual Residence","2194, NSW","Not applicable",14133
"Persons Place of Usual Residence","2194, NSW","Total",24538
"Persons Place of Usual Residence","2195, NSW","Over 0 km to less than 2.5 km",1017
"Persons Place of Usual Residence","2195, NSW","Nil distance",489
"Persons Place of Usual Residence","2195, NSW","2.5 km to less than 10 km",2234
"Persons Place of Usual Residence","2195, NSW","10 km to less than 30 km",4758
"Persons Place of Usual Residence","2195, NSW","30 km to less than 50 km",223
"Persons Place of Usual Residence","2195, NSW","50 km to less than 250 km",49
"Persons Place of Usual Residence","2195, NSW","250 km and over",36
"Persons Place of Usual Residence","2195, NSW","Not applicable",18354
"Persons Place of Usual Residence","2195, NSW","Total",27148
"Persons Place of Usual Residence","2196, NSW","Over 0 km to less than 2.5 km",1129
"Persons Place of Usual Residence","2196, NSW","Nil distance",562
"Persons Place of Usual Residence","2196, NSW","2.5 km to less than 10 km",3325
"Persons Place of Usual Residence","2196, NSW","10 km to less than 30 km",5638
"Persons Place of Usual Residence","2196, NSW","30 km to less than 50 km",262
"Persons Place of Usual Residence","2196, NSW","50 km to less than 250 km",47
"Persons Place of Usual Residence","2196, NSW","250 km and over",44
"Persons Place of Usual Residence","2196, NSW","Not applicable",20812
"Persons Place of Usual Residence","2196, NSW","Total",31813
"Persons Place of Usual Residence","2197, NSW","Over 0 km to less than 2.5 km",276
"Persons Place of Usual Residence","2197, NSW","Nil distance",194
"Persons Place of Usual Residence","2197, NSW","2.5 km to less than 10 km",1097
"Persons Place of Usual Residence","2197, NSW","10 km to less than 30 km",1406
"Persons Place of Usual Residence","2197, NSW","30 km to less than 50 km",69
"Persons Place of Usual Residence","2197, NSW","50 km to less than 250 km",24
"Persons Place of Usual Residence","2197, NSW","250 km and over",5
"Persons Place of Usual Residence","2197, NSW","Not applicable",5993
"Persons Place of Usual Residence","2197, NSW","Total",9067
"Persons Place of Usual Residence","2198, NSW","Over 0 km to less than 2.5 km",228
"Persons Place of Usual Residence","2198, NSW","Nil distance",202
"Persons Place of Usual Residence","2198, NSW","2.5 km to less than 10 km",1156
"Persons Place of Usual Residence","2198, NSW","10 km to less than 30 km",1627
"Persons Place of Usual Residence","2198, NSW","30 km to less than 50 km",81
"Persons Place of Usual Residence","2198, NSW","50 km to less than 250 km",18
"Persons Place of Usual Residence","2198, NSW","250 km and over",10
"Persons Place of Usual Residence","2198, NSW","Not applicable",5714
"Persons Place of Usual Residence","2198, NSW","Total",9039
"Persons Place of Usual Residence","2199, NSW","Over 0 km to less than 2.5 km",548
"Persons Place of Usual Residence","2199, NSW","Nil distance",357
"Persons Place of Usual Residence","2199, NSW","2.5 km to less than 10 km",2100
"Persons Place of Usual Residence","2199, NSW","10 km to less than 30 km",2947
"Persons Place of Usual Residence","2199, NSW","30 km to less than 50 km",146
"Persons Place of Usual Residence","2199, NSW","50 km to less than 250 km",29
"Persons Place of Usual Residence","2199, NSW","250 km and over",28
"Persons Place of Usual Residence","2199, NSW","Not applicable",11860
"Persons Place of Usual Residence","2199, NSW","Total",18016
"Persons Place of Usual Residence","2200, NSW","Over 0 km to less than 2.5 km",2017
"Persons Place of Usual Residence","2200, NSW","Nil distance",774
"Persons Place of Usual Residence","2200, NSW","2.5 km to less than 10 km",4127
"Persons Place of Usual Residence","2200, NSW","10 km to less than 30 km",7686
"Persons Place of Usual Residence","2200, NSW","30 km to less than 50 km",384
"Persons Place of Usual Residence","2200, NSW","50 km to less than 250 km",99
"Persons Place of Usual Residence","2200, NSW","250 km and over",61
"Persons Place of Usual Residence","2200, NSW","Not applicable",28533
"Persons Place of Usual Residence","2200, NSW","Total",43688
"Persons Place of Usual Residence","2203, NSW","Over 0 km to less than 2.5 km",535
"Persons Place of Usual Residence","2203, NSW","Nil distance",306
"Persons Place of Usual Residence","2203, NSW","2.5 km to less than 10 km",4140
"Persons Place of Usual Residence","2203, NSW","10 km to less than 30 km",2067
"Persons Place of Usual Residence","2203, NSW","30 km to less than 50 km",136
"Persons Place of Usual Residence","2203, NSW","50 km to less than 250 km",35
"Persons Place of Usual Residence","2203, NSW","250 km and over",40
"Persons Place of Usual Residence","2203, NSW","Not applicable",6447
"Persons Place of Usual Residence","2203, NSW","Total",13707
"Persons Place of Usual Residence","2204, NSW","Over 0 km to less than 2.5 km",1422
"Persons Place of Usual Residence","2204, NSW","Nil distance",568
"Persons Place of Usual Residence","2204, NSW","2.5 km to less than 10 km",7859
"Persons Place of Usual Residence","2204, NSW","10 km to less than 30 km",3198
"Persons Place of Usual Residence","2204, NSW","30 km to less than 50 km",274
"Persons Place of Usual Residence","2204, NSW","50 km to less than 250 km",95
"Persons Place of Usual Residence","2204, NSW","250 km and over",80
"Persons Place of Usual Residence","2204, NSW","Not applicable",13009
"Persons Place of Usual Residence","2204, NSW","Total",26499
"Persons Place of Usual Residence","2205, NSW","Over 0 km to less than 2.5 km",639
"Persons Place of Usual Residence","2205, NSW","Nil distance",323
