Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"POA (UR) by MTW06P Method of Travel to Work (6 travel modes)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"Counting","POA (UR)","MTW06P Method of Travel to Work (6 travel modes)","Count",
"Persons Place of Usual Residence","2020, NSW","Mode not stated",72
"Persons Place of Usual Residence","2020, NSW","Not applicable",6565
"Persons Place of Usual Residence","2020, NSW","Total",14771
"Persons Place of Usual Residence","2021, NSW","Public Transport",2950
"Persons Place of Usual Residence","2021, NSW","Vehicle",2950
"Persons Place of Usual Residence","2021, NSW","Active Transport",1819
"Persons Place of Usual Residence","2021, NSW","Other Mode",51
"Persons Place of Usual Residence","2021, NSW","Worked at home or Did not go to work",1238
"Persons Place of Usual Residence","2021, NSW","Mode not stated",68
"Persons Place of Usual Residence","2021, NSW","Not applicable",6238
"Persons Place of Usual Residence","2021, NSW","Total",15312
"Persons Place of Usual Residence","2022, NSW","Public Transport",2868
"Persons Place of Usual Residence","2022, NSW","Vehicle",1961
"Persons Place of Usual Residence","2022, NSW","Active Transport",785
"Persons Place of Usual Residence","2022, NSW","Other Mode",47
"Persons Place of Usual Residence","2022, NSW","Worked at home or Did not go to work",833
"Persons Place of Usual Residence","2022, NSW","Mode not stated",71
"Persons Place of Usual Residence","2022, NSW","Not applicable",5945
"Persons Place of Usual Residence","2022, NSW","Total",12510
"Persons Place of Usual Residence","2023, NSW","Public Transport",1501
"Persons Place of Usual Residence","2023, NSW","Vehicle",2720
"Persons Place of Usual Residence","2023, NSW","Active Transport",344
"Persons Place of Usual Residence","2023, NSW","Other Mode",34
"Persons Place of Usual Residence","2023, NSW","Worked at home or Did not go to work",808
"Persons Place of Usual Residence","2023, NSW","Mode not stated",58
"Persons Place of Usual Residence","2023, NSW","Not applicable",5250
"Persons Place of Usual Residence","2023, NSW","Total",10719
"Persons Place of Usual Residence","2024, NSW","Public Transport",1741
"Persons Place of Usual Residence","2024, NSW","Vehicle",2581
"Persons Place of Usual Residence","2024, NSW","Active Transport",479
"Persons Place of Usual Residence","2024, NSW","Other Mode",26
"Persons Place of Usual Residence","2024, NSW","Worked at home or Did not go to work",828
"Persons Place of Usual Residence","2024, NSW","Mode not stated",37
"Persons Place of Usual Residence","2024, NSW","Not applicable",5379
"Persons Place of Usual Residence","2024, NSW","Total",11073
"Persons Place of Usual Residence","2025, NSW","Public Transport",1355
"Persons Place of Usual Residence","2025, NSW","Vehicle",1468
"Persons Place of Usual Residence","2025, NSW","Active Transport",378
"Persons Place of Usual Residence","2025, NSW","Other Mode",31
"Persons Place of Usual Residence","2025, NSW","Worked at home or Did not go to work",559
"Persons Place of Usual Residence","2025, NSW","Mode not stated",31
"Persons Place of Usual Residence","2025, NSW","Not applicable",3588
"Persons Place of Usual Residence","2025, NSW","Total",7407
"Persons Place of Usual Residence","2026, NSW","Public Transport",6760
"Persons Place of Usual Residence","2026, NSW","Vehicle",7960
"Persons Place of Usual Residence","2026, NSW","Active Transport",1520
"Persons Place of Usual Residence","2026, NSW","Other Mode",116
"Persons Place of Usual Residence","2026, NSW","Worked at home or Did not go to work",2171
"Persons Place of Usual Residence","2026, NSW","Mode not stated",173
"Persons Place of Usual Residence","2026, NSW","Not applicable",13789
"Persons Place of Usual Residence","2026, NSW","Total",32489
"Persons Place of Usual Residence","2027, NSW","Public Transport",1467
"Persons Place of Usual Residence","2027, NSW","Vehicle",1581
"Persons Place of Usual Residence","2027, NSW","Active Transport",387
"Persons Place of Usual Residence","2027, NSW","Other Mode",38
"Persons Place of Usual Residence","2027, NSW","Worked at home or Did not go to work",592
"Persons Place of Usual Residence","2027, NSW","Mode not stated",38
"Persons Place of Usual Residence","2027, NSW","Not applicable",4087
"Persons Place of Usual Residence","2027, NSW","Total",8191
"Persons Place of Usual Residence","2028, NSW","Public Transport",976
"Persons Place of Usual Residence","2028, NSW","Vehicle",926
"Persons Place of Usual Residence","2028, NSW","Active Transport",236
"Persons Place of Usual Residence","2028, NSW","Other Mode",20
"Persons Place of Usual Residence","2028, NSW","Worked at home or Did not go to work",360
"Persons Place of Usual Residence","2028, NSW","Mode not stated",18
"Persons Place of Usual Residence","2028, NSW","Not applicable",2103
"Persons Place of Usual Residence","2028, NSW","Total",4643
"Persons Place of Usual Residence","2029, NSW","Public Transport",1430
"Persons Place of Usual Residence","2029, NSW","Vehicle",2604
"Persons Place of Usual Residence","2029, NSW","Active Transport",248
"Persons Place of Usual Residence","2029, NSW","Other Mode",33
"Persons Place of Usual Residence","2029, NSW","Worked at home or Did not go to work",685
"Persons Place of Usual Residence","2029, NSW","Mode not stated",49
"Persons Place of Usual Residence","2029, NSW","Not applicable",4908
"Persons Place of Usual Residence","2029, NSW","Total",9957
"Persons Place of Usual Residence","2030, NSW","Public Transport",1178
"Persons Place of Usual Residence","2030, NSW","Vehicle",3970
"Persons Place of Usual Residence","2030, NSW","Active Transport",232
"Persons Place of Usual Residence","2030, NSW","Other Mode",77
"Persons Place of Usual Residence","2030, NSW","Worked at home or Did not go to work",1075
"Persons Place of Usual Residence","2030, NSW","Mode not stated",52
"Persons Place of Usual Residence","2030, NSW","Not applicable",7497
"Persons Place of Usual Residence","2030, NSW","Total",14080
"Persons Place of Usual Residence","2031, NSW","Public Transport",6068
"Persons Place of Usual Residence","2031, NSW","Vehicle",8092
"Persons Place of Usual Residence","2031, NSW","Active Transport",2367
"Persons Place of Usual Residence","2031, NSW","Other Mode",125
"Persons Place of Usual Residence","2031, NSW","Worked at home or Did not go to work",2421
"Persons Place of Usual Residence","2031, NSW","Mode not stated",120
"Persons Place of Usual Residence","2031, NSW","Not applicable",15535
"Persons Place of Usual Residence","2031, NSW","Total",34729
"Persons Place of Usual Residence","2032, NSW","Public Transport",2127
"Persons Place of Usual Residence","2032, NSW","Vehicle",2860
"Persons Place of Usual Residence","2032, NSW","Active Transport",784
"Persons Place of Usual Residence","2032, NSW","Other Mode",29
"Persons Place of Usual Residence","2032, NSW","Worked at home or Did not go to work",758
"Persons Place of Usual Residence","2032, NSW","Mode not stated",58
"Persons Place of Usual Residence","2032, NSW","Not applicable",10081
"Persons Place of Usual Residence","2032, NSW","Total",16692
"Persons Place of Usual Residence","2033, NSW","Public Transport",1963
"Persons Place of Usual Residence","2033, NSW","Vehicle",2412
"Persons Place of Usual Residence","2033, NSW","Active Transport",576
"Persons Place of Usual Residence","2033, NSW","Other Mode",32
"Persons Place of Usual Residence","2033, NSW","Worked at home or Did not go to work",655
"Persons Place of Usual Residence","2033, NSW","Mode not stated",33
"Persons Place of Usual Residence","2033, NSW","Not applicable",5908
"Persons Place of Usual Residence","2033, NSW","Total",11573
"Persons Place of Usual Residence","2034, NSW","Public Transport",3568
"Persons Place of Usual Residence","2034, NSW","Vehicle",5468
"Persons Place of Usual Residence","2034, NSW","Active Transport",835
"Persons Place of Usual Residence","2034, NSW","Other Mode",75
"Persons Place of Usual Residence","2034, NSW","Worked at home or Did not go to work",1463
"Persons Place of Usual Residence","2034, NSW","Mode not stated",104
"Persons Place of Usual Residence","2034, NSW","Not applicable",9203
"Persons Place of Usual Residence","2034, NSW","Total",20716
"Persons Place of Usual Residence","2035, NSW","Public Transport",4067
"Persons Place of Usual Residence","2035, NSW","Vehicle",9163
"Persons Place of Usual Residence","2035, NSW","Active Transport",712
"Persons Place of Usual Residence","2035, NSW","Other Mode",102
"Persons Place of Usual Residence","2035, NSW","Worked at home or Did not go to work",2021
"Persons Place of Usual Residence","2035, NSW","Mode not stated",128
