Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"POA (UR) by MTW06P Method of Travel to Work (6 travel modes)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"Counting","POA (UR)","MTW06P Method of Travel to Work (6 travel modes)","Count",
"Persons Place of Usual Residence","2138, NSW","Vehicle",4358
"Persons Place of Usual Residence","2138, NSW","Active Transport",564
"Persons Place of Usual Residence","2138, NSW","Other Mode",47
"Persons Place of Usual Residence","2138, NSW","Worked at home or Did not go to work",978
"Persons Place of Usual Residence","2138, NSW","Mode not stated",82
"Persons Place of Usual Residence","2138, NSW","Not applicable",10100
"Persons Place of Usual Residence","2138, NSW","Total",20022
"Persons Place of Usual Residence","2139, NSW","Public Transport",0
"Persons Place of Usual Residence","2139, NSW","Vehicle",6
"Persons Place of Usual Residence","2139, NSW","Active Transport",5
"Persons Place of Usual Residence","2139, NSW","Other Mode",0
"Persons Place of Usual Residence","2139, NSW","Worked at home or Did not go to work",0
"Persons Place of Usual Residence","2139, NSW","Mode not stated",0
"Persons Place of Usual Residence","2139, NSW","Not applicable",44
"Persons Place of Usual Residence","2139, NSW","Total",55
"Persons Place of Usual Residence","2140, NSW","Public Transport",3573
"Persons Place of Usual Residence","2140, NSW","Vehicle",3419
"Persons Place of Usual Residence","2140, NSW","Active Transport",372
"Persons Place of Usual Residence","2140, NSW","Other Mode",72
"Persons Place of Usual Residence","2140, NSW","Worked at home or Did not go to work",668
"Persons Place of Usual Residence","2140, NSW","Mode not stated",79
"Persons Place of Usual Residence","2140, NSW","Not applicable",7990
"Persons Place of Usual Residence","2140, NSW","Total",16161
"Persons Place of Usual Residence","2141, NSW","Public Transport",4452
"Persons Place of Usual Residence","2141, NSW","Vehicle",6834
"Persons Place of Usual Residence","2141, NSW","Active Transport",349
"Persons Place of Usual Residence","2141, NSW","Other Mode",57
"Persons Place of Usual Residence","2141, NSW","Worked at home or Did not go to work",1063
"Persons Place of Usual Residence","2141, NSW","Mode not stated",140
"Persons Place of Usual Residence","2141, NSW","Not applicable",15774
"Persons Place of Usual Residence","2141, NSW","Total",28675
"Persons Place of Usual Residence","2142, NSW","Public Transport",3263
"Persons Place of Usual Residence","2142, NSW","Vehicle",6050
"Persons Place of Usual Residence","2142, NSW","Active Transport",381
"Persons Place of Usual Residence","2142, NSW","Other Mode",47
"Persons Place of Usual Residence","2142, NSW","Worked at home or Did not go to work",838
"Persons Place of Usual Residence","2142, NSW","Mode not stated",167
"Persons Place of Usual Residence","2142, NSW","Not applicable",15552
"Persons Place of Usual Residence","2142, NSW","Total",26297
"Persons Place of Usual Residence","2143, NSW","Public Transport",889
"Persons Place of Usual Residence","2143, NSW","Vehicle",2276
"Persons Place of Usual Residence","2143, NSW","Active Transport",64
"Persons Place of Usual Residence","2143, NSW","Other Mode",18
"Persons Place of Usual Residence","2143, NSW","Worked at home or Did not go to work",283
"Persons Place of Usual Residence","2143, NSW","Mode not stated",55
"Persons Place of Usual Residence","2143, NSW","Not applicable",5342
"Persons Place of Usual Residence","2143, NSW","Total",8920
"Persons Place of Usual Residence","2144, NSW","Public Transport",4447
"Persons Place of Usual Residence","2144, NSW","Vehicle",7772
"Persons Place of Usual Residence","2144, NSW","Active Transport",454
"Persons Place of Usual Residence","2144, NSW","Other Mode",85
"Persons Place of Usual Residence","2144, NSW","Worked at home or Did not go to work",1077
"Persons Place of Usual Residence","2144, NSW","Mode not stated",245
"Persons Place of Usual Residence","2144, NSW","Not applicable",23295
"Persons Place of Usual Residence","2144, NSW","Total",37370
"Persons Place of Usual Residence","2145, NSW","Public Transport",9377
"Persons Place of Usual Residence","2145, NSW","Vehicle",20955
"Persons Place of Usual Residence","2145, NSW","Active Transport",967
"Persons Place of Usual Residence","2145, NSW","Other Mode",177
"Persons Place of Usual Residence","2145, NSW","Worked at home or Did not go to work",3421
"Persons Place of Usual Residence","2145, NSW","Mode not stated",350
"Persons Place of Usual Residence","2145, NSW","Not applicable",43960
"Persons Place of Usual Residence","2145, NSW","Total",79213
"Persons Place of Usual Residence","2146, NSW","Public Transport",2051
"Persons Place of Usual Residence","2146, NSW","Vehicle",5153
"Persons Place of Usual Residence","2146, NSW","Active Transport",127
"Persons Place of Usual Residence","2146, NSW","Other Mode",29
"Persons Place of Usual Residence","2146, NSW","Worked at home or Did not go to work",790
"Persons Place of Usual Residence","2146, NSW","Mode not stated",75
"Persons Place of Usual Residence","2146, NSW","Not applicable",9244
"Persons Place of Usual Residence","2146, NSW","Total",17467
"Persons Place of Usual Residence","2147, NSW","Public Transport",3351
"Persons Place of Usual Residence","2147, NSW","Vehicle",11344
"Persons Place of Usual Residence","2147, NSW","Active Transport",232
"Persons Place of Usual Residence","2147, NSW","Other Mode",65
"Persons Place of Usual Residence","2147, NSW","Worked at home or Did not go to work",1788
"Persons Place of Usual Residence","2147, NSW","Mode not stated",165
"Persons Place of Usual Residence","2147, NSW","Not applicable",19402
"Persons Place of Usual Residence","2147, NSW","Total",36346
"Persons Place of Usual Residence","2148, NSW","Public Transport",6042
"Persons Place of Usual Residence","2148, NSW","Vehicle",18831
"Persons Place of Usual Residence","2148, NSW","Active Transport",548
"Persons Place of Usual Residence","2148, NSW","Other Mode",127
"Persons Place of Usual Residence","2148, NSW","Worked at home or Did not go to work",2563
"Persons Place of Usual Residence","2148, NSW","Mode not stated",324
"Persons Place of Usual Residence","2148, NSW","Not applicable",34641
"Persons Place of Usual Residence","2148, NSW","Total",63074
"Persons Place of Usual Residence","2150, NSW","Public Transport",6949
"Persons Place of Usual Residence","2150, NSW","Vehicle",5620
"Persons Place of Usual Residence","2150, NSW","Active Transport",1515
"Persons Place of Usual Residence","2150, NSW","Other Mode",60
"Persons Place of Usual Residence","2150, NSW","Worked at home or Did not go to work",1195
"Persons Place of Usual Residence","2150, NSW","Mode not stated",130
"Persons Place of Usual Residence","2150, NSW","Not applicable",16028
"Persons Place of Usual Residence","2150, NSW","Total",31500
"Persons Place of Usual Residence","2151, NSW","Public Transport",2168
"Persons Place of Usual Residence","2151, NSW","Vehicle",5957
"Persons Place of Usual Residence","2151, NSW","Active Transport",518
"Persons Place of Usual Residence","2151, NSW","Other Mode",41
"Persons Place of Usual Residence","2151, NSW","Worked at home or Did not go to work",1122
"Persons Place of Usual Residence","2151, NSW","Mode not stated",70
"Persons Place of Usual Residence","2151, NSW","Not applicable",11432
"Persons Place of Usual Residence","2151, NSW","Total",21308
"Persons Place of Usual Residence","2152, NSW","Public Transport",1033
"Persons Place of Usual Residence","2152, NSW","Vehicle",3561
"Persons Place of Usual Residence","2152, NSW","Active Transport",178
"Persons Place of Usual Residence","2152, NSW","Other Mode",20
"Persons Place of Usual Residence","2152, NSW","Worked at home or Did not go to work",604
"Persons Place of Usual Residence","2152, NSW","Mode not stated",31
"Persons Place of Usual Residence","2152, NSW","Not applicable",5794
"Persons Place of Usual Residence","2152, NSW","Total",11218
"Persons Place of Usual Residence","2153, NSW","Public Transport",5366
"Persons Place of Usual Residence","2153, NSW","Vehicle",18598
"Persons Place of Usual Residence","2153, NSW","Active Transport",408
"Persons Place of Usual Residence","2153, NSW","Other Mode",126
"Persons Place of Usual Residence","2153, NSW","Worked at home or Did not go to work",3612
"Persons Place of Usual Residence","2153, NSW","Mode not stated",175
"Persons Place of Usual Residence","2153, NSW","Not applicable",28268
"Persons Place of Usual Residence","2153, NSW","Total",56556
"Persons Place of Usual Residence","2154, NSW","Public Transport",3423
"Persons Place of Usual Residence","2154, NSW","Vehicle",12658
"Persons Place of Usual Residence","2154, NSW","Active Transport",360
"Persons Place of Usual Residence","2154, NSW","Other Mode",75
"Persons Place of Usual Residence","2154, NSW","Worked at home or Did not go to work",2635
"Persons Place of Usual Residence","2154, NSW","Mode not stated",124
"Persons Place of Usual Residence","2154, NSW","Not applicable",20322
"Persons Place of Usual Residence","2154, NSW","Total",39594
"Persons Place of Usual Residence","2155, NSW","Public Transport",4368
"Persons Place of Usual Residence","2155, NSW","Vehicle",20362
"Persons Place of Usual Residence","2155, NSW","Active Transport",284
"Persons Place of Usual Residence","2155, NSW","Other Mode",119
"Persons Place of Usual Residence","2155, NSW","Worked at home or Did not go to work",3588
"Persons Place of Usual Residence","2155, NSW","Mode not stated",157
"Persons Place of Usual Residence","2155, NSW","Not applicable",26564
"Persons Place of Usual Residence","2155, NSW","Total",55447
"Persons Place of Usual Residence","2156, NSW","Public Transport",542
"Persons Place of Usual Residence","2156, NSW","Vehicle",4666
"Persons Place of Usual Residence","2156, NSW","Active Transport",109
"Persons Place of Usual Residence","2156, NSW","Other Mode",25
"Persons Place of Usual Residence","2156, NSW","Worked at home or Did not go to work",1120
"Persons Place of Usual Residence","2156, NSW","Mode not stated",54
"Persons Place of Usual Residence","2156, NSW","Not applicable",6425
"Persons Place of Usual Residence","2156, NSW","Total",12941
"Persons Place of Usual Residence","2157, NSW","Public Transport",98
"Persons Place of Usual Residence","2157, NSW","Vehicle",1318
"Persons Place of Usual Residence","2157, NSW","Active Transport",54
"Persons Place of Usual Residence","2157, NSW","Other Mode",4
"Persons Place of Usual Residence","2157, NSW","Worked at home or Did not go to work",371
"Persons Place of Usual Residence","2157, NSW","Mode not stated",24
"Persons Place of Usual Residence","2157, NSW","Not applicable",1863
"Persons Place of Usual Residence","2157, NSW","Total",3741
"Persons Place of Usual Residence","2158, NSW","Public Transport",444
"Persons Place of Usual Residence","2158, NSW","Vehicle",2933
"Persons Place of Usual Residence","2158, NSW","Active Transport",86
"Persons Place of Usual Residence","2158, NSW","Other Mode",20
"Persons Place of Usual Residence","2158, NSW","Worked at home or Did not go to work",710
"Persons Place of Usual Residence","2158, NSW","Mode not stated",40
"Persons Place of Usual Residence","2158, NSW","Not applicable",4356
"Persons Place of Usual Residence","2158, NSW","Total",8579
"Persons Place of Usual Residence","2159, NSW","Public Transport",187
"Persons Place of Usual Residence","2159, NSW","Vehicle",1680
"Persons Place of Usual Residence","2159, NSW","Active Transport",73
"Persons Place of Usual Residence","2159, NSW","Other Mode",23
"Persons Place of Usual Residence","2159, NSW","Worked at home or Did not go to work",484
"Persons Place of Usual Residence","2159, NSW","Mode not stated",30
"Persons Place of Usual Residence","2159, NSW","Not applicable",2501
"Persons Place of Usual Residence","2159, NSW","Total",4976
"Persons Place of Usual Residence","2160, NSW","Public Transport",2951
"Persons Place of Usual Residence","2160, NSW","Vehicle",9005
"Persons Place of Usual Residence","2160, NSW","Active Transport",309
"Persons Place of Usual Residence","2160, NSW","Other Mode",114
"Persons Place of Usual Residence","2160, NSW","Worked at home or Did not go to work",1224
"Persons Place of Usual Residence","2160, NSW","Mode not stated",203
"Persons Place of Usual Residence","2160, NSW","Not applicable",22175
"Persons Place of Usual Residence","2160, NSW","Total",35971
"Persons Place of Usual Residence","2161, NSW","Public Transport",1997
"Persons Place of Usual Residence","2161, NSW","Vehicle",7265
"Persons Place of Usual Residence","2161, NSW","Active Transport",132
"Persons Place of Usual Residence","2161, NSW","Other Mode",61
"Persons Place of Usual Residence","2161, NSW","Worked at home or Did not go to work",940
"Persons Place of Usual Residence","2161, NSW","Mode not stated",181
"Persons Place of Usual Residence","2161, NSW","Not applicable",20848
"Persons Place of Usual Residence","2161, NSW","Total",31420
"Persons Place of Usual Residence","2162, NSW","Public Transport",1111
"Persons Place of Usual Residence","2162, NSW","Vehicle",4670
"Persons Place of Usual Residence","2162, NSW","Active Transport",124
"Persons Place of Usual Residence","2162, NSW","Other Mode",48
"Persons Place of Usual Residence","2162, NSW","Worked at home or Did not go to work",541
"Persons Place of Usual Residence","2162, NSW","Mode not stated",88
"Persons Place of Usual Residence","2162, NSW","Not applicable",12035
"Persons Place of Usual Residence","2162, NSW","Total",18622
"Persons Place of Usual Residence","2163, NSW","Public Transport",462
"Persons Place of Usual Residence","2163, NSW","Vehicle",1840
"Persons Place of Usual Residence","2163, NSW","Active Transport",43
"Persons Place of Usual Residence","2163, NSW","Other Mode",19
"Persons Place of Usual Residence","2163, NSW","Worked at home or Did not go to work",223
"Persons Place of Usual Residence","2163, NSW","Mode not stated",58
"Persons Place of Usual Residence","2163, NSW","Not applicable",6945
"Persons Place of Usual Residence","2163, NSW","Total",9592
"Persons Place of Usual Residence","2164, NSW","Public Transport",872
"Persons Place of Usual Residence","2164, NSW","Vehicle",5473
"Persons Place of Usual Residence","2164, NSW","Active Transport",130
"Persons Place of Usual Residence","2164, NSW","Other Mode",35
"Persons Place of Usual Residence","2164, NSW","Worked at home or Did not go to work",667
"Persons Place of Usual Residence","2164, NSW","Mode not stated",104
"Persons Place of Usual Residence","2164, NSW","Not applicable",12336
"Persons Place of Usual Residence","2164, NSW","Total",19626
"Persons Place of Usual Residence","2165, NSW","Public Transport",2315
"Persons Place of Usual Residence","2165, NSW","Vehicle",9392
"Persons Place of Usual Residence","2165, NSW","Active Transport",274
"Persons Place of Usual Residence","2165, NSW","Other Mode",68
"Persons Place of Usual Residence","2165, NSW","Worked at home or Did not go to work",1004
"Persons Place of Usual Residence","2165, NSW","Mode not stated",197
"Persons Place of Usual Residence","2165, NSW","Not applicable",29190
"Persons Place of Usual Residence","2165, NSW","Total",42438
"Persons Place of Usual Residence","2166, NSW","Public Transport",3370
"Persons Place of Usual Residence","2166, NSW","Vehicle",12810
"Persons Place of Usual Residence","2166, NSW","Active Transport",624
"Persons Place of Usual Residence","2166, NSW","Other Mode",92
"Persons Place of Usual Residence","2166, NSW","Worked at home or Did not go to work",1293
"Persons Place of Usual Residence","2166, NSW","Mode not stated",310
"Persons Place of Usual Residence","2166, NSW","Not applicable",34254
"Persons Place of Usual Residence","2166, NSW","Total",52768
"Persons Place of Usual Residence","2167, NSW","Public Transport",1421
"Persons Place of Usual Residence","2167, NSW","Vehicle",2472
"Persons Place of Usual Residence","2167, NSW","Active Transport",47
"Persons Place of Usual Residence","2167, NSW","Other Mode",12
"Persons Place of Usual Residence","2167, NSW","Worked at home or Did not go to work",401
"Persons Place of Usual Residence","2167, NSW","Mode not stated",25
"Persons Place of Usual Residence","2167, NSW","Not applicable",5257
"Persons Place of Usual Residence","2167, NSW","Total",9637
"Persons Place of Usual Residence","2168, NSW","Public Transport",1885
"Persons Place of Usual Residence","2168, NSW","Vehicle",11781
"Persons Place of Usual Residence","2168, NSW","Active Transport",134
"Persons Place of Usual Residence","2168, NSW","Other Mode",65
"Persons Place of Usual Residence","2168, NSW","Worked at home or Did not go to work",1285
"Persons Place of Usual Residence","2168, NSW","Mode not stated",277
"Persons Place of Usual Residence","2168, NSW","Not applicable",28022
"Persons Place of Usual Residence","2168, NSW","Total",43451
"Persons Place of Usual Residence","2170, NSW","Public Transport",6238
"Persons Place of Usual Residence","2170, NSW","Vehicle",28890
"Persons Place of Usual Residence","2170, NSW","Active Transport",1140
"Persons Place of Usual Residence","2170, NSW","Other Mode",180
"Persons Place of Usual Residence","2170, NSW","Worked at home or Did not go to work",3711
"Persons Place of Usual Residence","2170, NSW","Mode not stated",508
"Persons Place of Usual Residence","2170, NSW","Not applicable",64784
"Persons Place of Usual Residence","2170, NSW","Total",105455
"Persons Place of Usual Residence","2171, NSW","Public Transport",1782
"Persons Place of Usual Residence","2171, NSW","Vehicle",12820
"Persons Place of Usual Residence","2171, NSW","Active Transport",112
"Persons Place of Usual Residence","2171, NSW","Other Mode",50
"Persons Place of Usual Residence","2171, NSW","Worked at home or Did not go to work",1502
"Persons Place of Usual Residence","2171, NSW","Mode not stated",146
"Persons Place of Usual Residence","2171, NSW","Not applicable",18448
"Persons Place of Usual Residence","2171, NSW","Total",34865
"Persons Place of Usual Residence","2172, NSW","Public Transport",306
"Persons Place of Usual Residence","2172, NSW","Vehicle",1004
"Persons Place of Usual Residence","2172, NSW","Active Transport",17
"Persons Place of Usual Residence","2172, NSW","Other Mode",6
"Persons Place of Usual Residence","2172, NSW","Worked at home or Did not go to work",198
"Persons Place of Usual Residence","2172, NSW","Mode not stated",10
"Persons Place of Usual Residence","2172, NSW","Not applicable",1248
"Persons Place of Usual Residence","2172, NSW","Total",2779
"Persons Place of Usual Residence","2173, NSW","Public Transport",1588
"Persons Place of Usual Residence","2173, NSW","Vehicle",4978
"Persons Place of Usual Residence","2173, NSW","Active Transport",289
"Persons Place of Usual Residence","2173, NSW","Other Mode",52
"Persons Place of Usual Residence","2173, NSW","Worked at home or Did not go to work",821
"Persons Place of Usual Residence","2173, NSW","Mode not stated",64
"Persons Place of Usual Residence","2173, NSW","Not applicable",6647
"Persons Place of Usual Residence","2173, NSW","Total",14432
"Persons Place of Usual Residence","2174, NSW","Public Transport",209
"Persons Place of Usual Residence","2174, NSW","Vehicle",712
"Persons Place of Usual Residence","2174, NSW","Active Transport",0
"Persons Place of Usual Residence","2174, NSW","Other Mode",3
"Persons Place of Usual Residence","2174, NSW","Worked at home or Did not go to work",108
"Persons Place of Usual Residence","2174, NSW","Mode not stated",10
"Persons Place of Usual Residence","2174, NSW","Not applicable",1225
"Persons Place of Usual Residence","2174, NSW","Total",2267
"Persons Place of Usual Residence","2175, NSW","Public Transport",38
"Persons Place of Usual Residence","2175, NSW","Vehicle",617
"Persons Place of Usual Residence","2175, NSW","Active Transport",25
"Persons Place of Usual Residence","2175, NSW","Other Mode",8
"Persons Place of Usual Residence","2175, NSW","Worked at home or Did not go to work",127
"Persons Place of Usual Residence","2175, NSW","Mode not stated",15
"Persons Place of Usual Residence","2175, NSW","Not applicable",1006
"Persons Place of Usual Residence","2175, NSW","Total",1837
"Persons Place of Usual Residence","2176, NSW","Public Transport",2418
"Persons Place of Usual Residence","2176, NSW","Vehicle",15016
"Persons Place of Usual Residence","2176, NSW","Active Transport",170
"Persons Place of Usual Residence","2176, NSW","Other Mode",93
"Persons Place of Usual Residence","2176, NSW","Worked at home or Did not go to work",1731
"Persons Place of Usual Residence","2176, NSW","Mode not stated",201
"Persons Place of Usual Residence","2176, NSW","Not applicable",28179
"Persons Place of Usual Residence","2176, NSW","Total",47812
"Persons Place of Usual Residence","2177, NSW","Public Transport",849
"Persons Place of Usual Residence","2177, NSW","Vehicle",4754
"Persons Place of Usual Residence","2177, NSW","Active Transport",43
"Persons Place of Usual Residence","2177, NSW","Other Mode",17
"Persons Place of Usual Residence","2177, NSW","Worked at home or Did not go to work",488
"Persons Place of Usual Residence","2177, NSW","Mode not stated",48
"Persons Place of Usual Residence","2177, NSW","Not applicable",9779
"Persons Place of Usual Residence","2177, NSW","Total",15980
"Persons Place of Usual Residence","2178, NSW","Public Transport",84
"Persons Place of Usual Residence","2178, NSW","Vehicle",1448
"Persons Place of Usual Residence","2178, NSW","Active Transport",34
"Persons Place of Usual Residence","2178, NSW","Other Mode",16
"Persons Place of Usual Residence","2178, NSW","Worked at home or Did not go to work",356
"Persons Place of Usual Residence","2178, NSW","Mode not stated",44
"Persons Place of Usual Residence","2178, NSW","Not applicable",2254
"Persons Place of Usual Residence","2178, NSW","Total",4234
"Persons Place of Usual Residence","2179, NSW","Public Transport",266
"Persons Place of Usual Residence","2179, NSW","Vehicle",1900
"Persons Place of Usual Residence","2179, NSW","Active Transport",78
"Persons Place of Usual Residence","2179, NSW","Other Mode",21
"Persons Place of Usual Residence","2179, NSW","Worked at home or Did not go to work",434
"Persons Place of Usual Residence","2179, NSW","Mode not stated",66
"Persons Place of Usual Residence","2179, NSW","Not applicable",3760
"Persons Place of Usual Residence","2179, NSW","Total",6529
"Persons Place of Usual Residence","2190, NSW","Public Transport",1113
"Persons Place of Usual Residence","2190, NSW","Vehicle",6350
"Persons Place of Usual Residence","2190, NSW","Active Transport",159
"Persons Place of Usual Residence","2190, NSW","Other Mode",58
"Persons Place of Usual Residence","2190, NSW","Worked at home or Did not go to work",799
"Persons Place of Usual Residence","2190, NSW","Mode not stated",167
"Persons Place of Usual Residence","2190, NSW","Not applicable",16927
"Persons Place of Usual Residence","2190, NSW","Total",25571
"Persons Place of Usual Residence","2191, NSW","Public Transport",476
"Persons Place of Usual Residence","2191, NSW","Vehicle",1933
"Persons Place of Usual Residence","2191, NSW","Active Transport",36
"Persons Place of Usual Residence","2191, NSW","Other Mode",17
"Persons Place of Usual Residence","2191, NSW","Worked at home or Did not go to work",272
"Persons Place of Usual Residence","2191, NSW","Mode not stated",36
"Persons Place of Usual Residence","2191, NSW","Not applicable",3554
"Persons Place of Usual Residence","2191, NSW","Total",6317
"Persons Place of Usual Residence","2192, NSW","Public Transport",1334
"Persons Place of Usual Residence","2192, NSW","Vehicle",3132
"Persons Place of Usual Residence","2192, NSW","Active Transport",147
"Persons Place of Usual Residence","2192, NSW","Other Mode",38
"Persons Place of Usual Residence","2192, NSW","Worked at home or Did not go to work",509
"Persons Place of Usual Residence","2192, NSW","Mode not stated",63
"Persons Place of Usual Residence","2192, NSW","Not applicable",7496
"Persons Place of Usual Residence","2192, NSW","Total",12713
"Persons Place of Usual Residence","2193, NSW","Public Transport",2532
"Persons Place of Usual Residence","2193, NSW","Vehicle",4004
"Persons Place of Usual Residence","2193, NSW","Active Transport",208
"Persons Place of Usual Residence","2193, NSW","Other Mode",38
"Persons Place of Usual Residence","2193, NSW","Worked at home or Did not go to work",811
"Persons Place of Usual Residence","2193, NSW","Mode not stated",70
"Persons Place of Usual Residence","2193, NSW","Not applicable",7586
"Persons Place of Usual Residence","2193, NSW","Total",15254
"Persons Place of Usual Residence","2194, NSW","Public Transport",3904
"Persons Place of Usual Residence","2194, NSW","Vehicle",5530
"Persons Place of Usual Residence","2194, NSW","Active Transport",465
"Persons Place of Usual Residence","2194, NSW","Other Mode",63
"Persons Place of Usual Residence","2194, NSW","Worked at home or Did not go to work",909
"Persons Place of Usual Residence","2194, NSW","Mode not stated",117
"Persons Place of Usual Residence","2194, NSW","Not applicable",13552
"Persons Place of Usual Residence","2194, NSW","Total",24538
"Persons Place of Usual Residence","2195, NSW","Public Transport",2612
"Persons Place of Usual Residence","2195, NSW","Vehicle",5379
"Persons Place of Usual Residence","2195, NSW","Active Transport",297
"Persons Place of Usual Residence","2195, NSW","Other Mode",71
"Persons Place of Usual Residence","2195, NSW","Worked at home or Did not go to work",770
"Persons Place of Usual Residence","2195, NSW","Mode not stated",156
"Persons Place of Usual Residence","2195, NSW","Not applicable",17865
"Persons Place of Usual Residence","2195, NSW","Total",27148
"Persons Place of Usual Residence","2196, NSW","Public Transport",2245
"Persons Place of Usual Residence","2196, NSW","Vehicle",7975
"Persons Place of Usual Residence","2196, NSW","Active Transport",227
"Persons Place of Usual Residence","2196, NSW","Other Mode",91
"Persons Place of Usual Residence","2196, NSW","Worked at home or Did not go to work",1025
"Persons Place of Usual Residence","2196, NSW","Mode not stated",204
"Persons Place of Usual Residence","2196, NSW","Not applicable",20053
"Persons Place of Usual Residence","2196, NSW","Total",31813
"Persons Place of Usual Residence","2197, NSW","Public Transport",401
"Persons Place of Usual Residence","2197, NSW","Vehicle",2457
"Persons Place of Usual Residence","2197, NSW","Active Transport",55
"Persons Place of Usual Residence","2197, NSW","Other Mode",17
"Persons Place of Usual Residence","2197, NSW","Worked at home or Did not go to work",295
"Persons Place of Usual Residence","2197, NSW","Mode not stated",59
"Persons Place of Usual Residence","2197, NSW","Not applicable",5779
"Persons Place of Usual Residence","2197, NSW","Total",9067
"Persons Place of Usual Residence","2198, NSW","Public Transport",356
"Persons Place of Usual Residence","2198, NSW","Vehicle",2702
"Persons Place of Usual Residence","2198, NSW","Active Transport",48
"Persons Place of Usual Residence","2198, NSW","Other Mode",17
"Persons Place of Usual Residence","2198, NSW","Worked at home or Did not go to work",373
"Persons Place of Usual Residence","2198, NSW","Mode not stated",44
"Persons Place of Usual Residence","2198, NSW","Not applicable",5504
"Persons Place of Usual Residence","2198, NSW","Total",9039
"Persons Place of Usual Residence","2199, NSW","Public Transport",1078
"Persons Place of Usual Residence","2199, NSW","Vehicle",4553
"Persons Place of Usual Residence","2199, NSW","Active Transport",93
"Persons Place of Usual Residence","2199, NSW","Other Mode",43
"Persons Place of Usual Residence","2199, NSW","Worked at home or Did not go to work",627
"Persons Place of Usual Residence","2199, NSW","Mode not stated",83
"Persons Place of Usual Residence","2199, NSW","Not applicable",11542
"Persons Place of Usual Residence","2199, NSW","Total",18016
"Persons Place of Usual Residence","2200, NSW","Public Transport",3179
"Persons Place of Usual Residence","2200, NSW","Vehicle",10560
"Persons Place of Usual Residence","2200, NSW","Active Transport",504
"Persons Place of Usual Residence","2200, NSW","Other Mode",100
"Persons Place of Usual Residence","2200, NSW","Worked at home or Did not go to work",1322
"Persons Place of Usual Residence","2200, NSW","Mode not stated",204
"Persons Place of Usual Residence","2200, NSW","Not applicable",27816
"Persons Place of Usual Residence","2200, NSW","Total",43688
"Persons Place of Usual Residence","2203, NSW","Public Transport",2868
"Persons Place of Usual Residence","2203, NSW","Vehicle",3303
"Persons Place of Usual Residence","2203, NSW","Active Transport",333
"Persons Place of Usual Residence","2203, NSW","Other Mode",39
"Persons Place of Usual Residence","2203, NSW","Worked at home or Did not go to work",898
"Persons Place of Usual Residence","2203, NSW","Mode not stated",45
"Persons Place of Usual Residence","2203, NSW","Not applicable",6217
"Persons Place of Usual Residence","2203, NSW","Total",13707
"Persons Place of Usual Residence","2204, NSW","Public Transport",5607
"Persons Place of Usual Residence","2204, NSW","Vehicle",5508
"Persons Place of Usual Residence","2204, NSW","Active Transport",1059
"Persons Place of Usual Residence","2204, NSW","Other Mode",72
"Persons Place of Usual Residence","2204, NSW","Worked at home or Did not go to work",1551
"Persons Place of Usual Residence","2204, NSW","Mode not stated",105
"Persons Place of Usual Residence","2204, NSW","Not applicable",12603
"Persons Place of Usual Residence","2204, NSW","Total",26499
"Persons Place of Usual Residence","2205, NSW","Public Transport",4718
"Persons Place of Usual Residence","2205, NSW","Vehicle",4021
"Persons Place of Usual Residence","2205, NSW","Active Transport",304
"Persons Place of Usual Residence","2205, NSW","Other Mode",52
"Persons Place of Usual Residence","2205, NSW","Worked at home or Did not go to work",877
"Persons Place of Usual Residence","2205, NSW","Mode not stated",101
"Persons Place of Usual Residence","2205, NSW","Not applicable",9368
"Persons Place of Usual Residence","2205, NSW","Total",19447
"Persons Place of Usual Residence","2206, NSW","Public Transport",2069
"Persons Place of Usual Residence","2206, NSW","Vehicle",5367
"Persons Place of Usual Residence","2206, NSW","Active Transport",201
"Persons Place of Usual Residence","2206, NSW","Other Mode",44
"Persons Place of Usual Residence","2206, NSW","Worked at home or Did not go to work",964
"Persons Place of Usual Residence","2206, NSW","Mode not stated",95
"Persons Place of Usual Residence","2206, NSW","Not applicable",10666
"Persons Place of Usual Residence","2206, NSW","Total",19407
"Persons Place of Usual Residence","2207, NSW","Public Transport",3159
"Persons Place of Usual Residence","2207, NSW","Vehicle",7503
"Persons Place of Usual Residence","2207, NSW","Active Transport",325
"Persons Place of Usual Residence","2207, NSW","Other Mode",82
"Persons Place of Usual Residence","2207, NSW","Worked at home or Did not go to work",1417
"Persons Place of Usual Residence","2207, NSW","Mode not stated",129
"Persons Place of Usual Residence","2207, NSW","Not applicable",15922
"Persons Place of Usual Residence","2207, NSW","Total",28536
"Persons Place of Usual Residence","2208, NSW","Public Transport",1369
"Persons Place of Usual Residence","2208, NSW","Vehicle",3319
"Persons Place of Usual Residence","2208, NSW","Active Transport",116
"Persons Place of Usual Residence","2208, NSW","Other Mode",22
"Persons Place of Usual Residence","2208, NSW","Worked at home or Did not go to work",624
"Persons Place of Usual Residence","2208, NSW","Mode not stated",61
"Persons Place of Usual Residence","2208, NSW","Not applicable",6927
"Persons Place of Usual Residence","2208, NSW","Total",12450
"Persons Place of Usual Residence","2209, NSW","Public Transport",2047
"Persons Place of Usual Residence","2209, NSW","Vehicle",3923
"Persons Place of Usual Residence","2209, NSW","Active Transport",144
"Persons Place of Usual Residence","2209, NSW","Other Mode",29
