Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"POA (UR) by HRWRP Hours Worked (ranges)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"Counting","POA (UR)","HRWRP Hours Worked (ranges)","Count",
"Persons Place of Usual Residence","2018, NSW","35-39 hours",1715
"Persons Place of Usual Residence","2018, NSW","40 hours",1849
"Persons Place of Usual Residence","2018, NSW","41-48 hours",740
"Persons Place of Usual Residence","2018, NSW","49 hours and over",1107
"Persons Place of Usual Residence","2018, NSW","Not stated",186
"Persons Place of Usual Residence","2018, NSW","Not applicable",8963
"Persons Place of Usual Residence","2019, NSW","None",173
"Persons Place of Usual Residence","2019, NSW","1-15 hours",435
"Persons Place of Usual Residence","2019, NSW","16-24 hours",498
"Persons Place of Usual Residence","2019, NSW","25-34 hours",556
"Persons Place of Usual Residence","2019, NSW","35-39 hours",1062
"Persons Place of Usual Residence","2019, NSW","40 hours",1302
"Persons Place of Usual Residence","2019, NSW","41-48 hours",622
"Persons Place of Usual Residence","2019, NSW","49 hours and over",890
"Persons Place of Usual Residence","2019, NSW","Not stated",114
"Persons Place of Usual Residence","2019, NSW","Not applicable",5194
"Persons Place of Usual Residence","2020, NSW","None",255
"Persons Place of Usual Residence","2020, NSW","1-15 hours",602
"Persons Place of Usual Residence","2020, NSW","16-24 hours",873
"Persons Place of Usual Residence","2020, NSW","25-34 hours",633
"Persons Place of Usual Residence","2020, NSW","35-39 hours",1774
"Persons Place of Usual Residence","2020, NSW","40 hours",2020
"Persons Place of Usual Residence","2020, NSW","41-48 hours",791
"Persons Place of Usual Residence","2020, NSW","49 hours and over",1093
"Persons Place of Usual Residence","2020, NSW","Not stated",166
"Persons Place of Usual Residence","2020, NSW","Not applicable",6565
"Persons Place of Usual Residence","2021, NSW","None",256
"Persons Place of Usual Residence","2021, NSW","1-15 hours",685
"Persons Place of Usual Residence","2021, NSW","16-24 hours",678
"Persons Place of Usual Residence","2021, NSW","25-34 hours",704
"Persons Place of Usual Residence","2021, NSW","35-39 hours",1027
"Persons Place of Usual Residence","2021, NSW","40 hours",1941
"Persons Place of Usual Residence","2021, NSW","41-48 hours",1126
"Persons Place of Usual Residence","2021, NSW","49 hours and over",2547
"Persons Place of Usual Residence","2021, NSW","Not stated",109
"Persons Place of Usual Residence","2021, NSW","Not applicable",6238
"Persons Place of Usual Residence","2022, NSW","None",169
"Persons Place of Usual Residence","2022, NSW","1-15 hours",576
"Persons Place of Usual Residence","2022, NSW","16-24 hours",738
"Persons Place of Usual Residence","2022, NSW","25-34 hours",541
"Persons Place of Usual Residence","2022, NSW","35-39 hours",958
"Persons Place of Usual Residence","2022, NSW","40 hours",1519
"Persons Place of Usual Residence","2022, NSW","41-48 hours",720
"Persons Place of Usual Residence","2022, NSW","49 hours and over",1255
"Persons Place of Usual Residence","2022, NSW","Not stated",97
"Persons Place of Usual Residence","2022, NSW","Not applicable",5945
"Persons Place of Usual Residence","2023, NSW","None",131
"Persons Place of Usual Residence","2023, NSW","1-15 hours",571
"Persons Place of Usual Residence","2023, NSW","16-24 hours",525
"Persons Place of Usual Residence","2023, NSW","25-34 hours",484
"Persons Place of Usual Residence","2023, NSW","35-39 hours",630
"Persons Place of Usual Residence","2023, NSW","40 hours",1129
"Persons Place of Usual Residence","2023, NSW","41-48 hours",530
"Persons Place of Usual Residence","2023, NSW","49 hours and over",1371
"Persons Place of Usual Residence","2023, NSW","Not stated",102
"Persons Place of Usual Residence","2023, NSW","Not applicable",5250
"Persons Place of Usual Residence","2024, NSW","None",181
"Persons Place of Usual Residence","2024, NSW","1-15 hours",488
"Persons Place of Usual Residence","2024, NSW","16-24 hours",514
"Persons Place of Usual Residence","2024, NSW","25-34 hours",542
"Persons Place of Usual Residence","2024, NSW","35-39 hours",700
"Persons Place of Usual Residence","2024, NSW","40 hours",1255
"Persons Place of Usual Residence","2024, NSW","41-48 hours",609
"Persons Place of Usual Residence","2024, NSW","49 hours and over",1334
"Persons Place of Usual Residence","2024, NSW","Not stated",70
"Persons Place of Usual Residence","2024, NSW","Not applicable",5379
"Persons Place of Usual Residence","2025, NSW","None",85
"Persons Place of Usual Residence","2025, NSW","1-15 hours",352
"Persons Place of Usual Residence","2025, NSW","16-24 hours",332
"Persons Place of Usual Residence","2025, NSW","25-34 hours",307
"Persons Place of Usual Residence","2025, NSW","35-39 hours",365
"Persons Place of Usual Residence","2025, NSW","40 hours",766
"Persons Place of Usual Residence","2025, NSW","41-48 hours",444
"Persons Place of Usual Residence","2025, NSW","49 hours and over",1107
