Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"POA (UR) by HRWRP Hours Worked (ranges)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"Counting","POA (UR)","HRWRP Hours Worked (ranges)","Count",
"Persons Place of Usual Residence","2133, NSW","16-24 hours",502
"Persons Place of Usual Residence","2133, NSW","25-34 hours",562
"Persons Place of Usual Residence","2133, NSW","35-39 hours",1127
"Persons Place of Usual Residence","2133, NSW","40 hours",1161
"Persons Place of Usual Residence","2133, NSW","41-48 hours",474
"Persons Place of Usual Residence","2133, NSW","49 hours and over",711
"Persons Place of Usual Residence","2133, NSW","Not stated",96
"Persons Place of Usual Residence","2133, NSW","Not applicable",5656
"Persons Place of Usual Residence","2134, NSW","None",153
"Persons Place of Usual Residence","2134, NSW","1-15 hours",746
"Persons Place of Usual Residence","2134, NSW","16-24 hours",1113
"Persons Place of Usual Residence","2134, NSW","25-34 hours",675
"Persons Place of Usual Residence","2134, NSW","35-39 hours",1502
"Persons Place of Usual Residence","2134, NSW","40 hours",1608
"Persons Place of Usual Residence","2134, NSW","41-48 hours",502
"Persons Place of Usual Residence","2134, NSW","49 hours and over",675
"Persons Place of Usual Residence","2134, NSW","Not stated",208
"Persons Place of Usual Residence","2134, NSW","Not applicable",8848
"Persons Place of Usual Residence","2135, NSW","None",259
"Persons Place of Usual Residence","2135, NSW","1-15 hours",1306
"Persons Place of Usual Residence","2135, NSW","16-24 hours",1952
"Persons Place of Usual Residence","2135, NSW","25-34 hours",1131
"Persons Place of Usual Residence","2135, NSW","35-39 hours",2340
"Persons Place of Usual Residence","2135, NSW","40 hours",3026
"Persons Place of Usual Residence","2135, NSW","41-48 hours",885
"Persons Place of Usual Residence","2135, NSW","49 hours and over",1441
"Persons Place of Usual Residence","2135, NSW","Not stated",345
"Persons Place of Usual Residence","2135, NSW","Not applicable",12569
"Persons Place of Usual Residence","2136, NSW","None",90
"Persons Place of Usual Residence","2136, NSW","1-15 hours",370
"Persons Place of Usual Residence","2136, NSW","16-24 hours",360
"Persons Place of Usual Residence","2136, NSW","25-34 hours",369
"Persons Place of Usual Residence","2136, NSW","35-39 hours",744
"Persons Place of Usual Residence","2136, NSW","40 hours",796
"Persons Place of Usual Residence","2136, NSW","41-48 hours",304
"Persons Place of Usual Residence","2136, NSW","49 hours and over",487
"Persons Place of Usual Residence","2136, NSW","Not stated",77
"Persons Place of Usual Residence","2136, NSW","Not applicable",3763
"Persons Place of Usual Residence","2137, NSW","None",386
"Persons Place of Usual Residence","2137, NSW","1-15 hours",1353
"Persons Place of Usual Residence","2137, NSW","16-24 hours",1346
"Persons Place of Usual Residence","2137, NSW","25-34 hours",1186
"Persons Place of Usual Residence","2137, NSW","35-39 hours",2220
"Persons Place of Usual Residence","2137, NSW","40 hours",3062
"Persons Place of Usual Residence","2137, NSW","41-48 hours",1289
"Persons Place of Usual Residence","2137, NSW","49 hours and over",2314
"Persons Place of Usual Residence","2137, NSW","Not stated",219
"Persons Place of Usual Residence","2137, NSW","Not applicable",13136
"Persons Place of Usual Residence","2138, NSW","None",283
"Persons Place of Usual Residence","2138, NSW","1-15 hours",803
"Persons Place of Usual Residence","2138, NSW","16-24 hours",1001
"Persons Place of Usual Residence","2138, NSW","25-34 hours",752
"Persons Place of Usual Residence","2138, NSW","35-39 hours",2080
"Persons Place of Usual Residence","2138, NSW","40 hours",2724
"Persons Place of Usual Residence","2138, NSW","41-48 hours",881
"Persons Place of Usual Residence","2138, NSW","49 hours and over",1209
"Persons Place of Usual Residence","2138, NSW","Not stated",186
"Persons Place of Usual Residence","2138, NSW","Not applicable",10100
"Persons Place of Usual Residence","2139, NSW","None",0
"Persons Place of Usual Residence","2139, NSW","1-15 hours",0
"Persons Place of Usual Residence","2139, NSW","16-24 hours",0
"Persons Place of Usual Residence","2139, NSW","25-34 hours",3
"Persons Place of Usual Residence","2139, NSW","35-39 hours",0
"Persons Place of Usual Residence","2139, NSW","40 hours",6
"Persons Place of Usual Residence","2139, NSW","41-48 hours",0
"Persons Place of Usual Residence","2139, NSW","49 hours and over",0
"Persons Place of Usual Residence","2139, NSW","Not stated",0
"Persons Place of Usual Residence","2139, NSW","Not applicable",44
"Persons Place of Usual Residence","2140, NSW","None",209
"Persons Place of Usual Residence","2140, NSW","1-15 hours",625
"Persons Place of Usual Residence","2140, NSW","16-24 hours",980
"Persons Place of Usual Residence","2140, NSW","25-34 hours",702
"Persons Place of Usual Residence","2140, NSW","35-39 hours",2024
"Persons Place of Usual Residence","2140, NSW","40 hours",2124
"Persons Place of Usual Residence","2140, NSW","41-48 hours",610
"Persons Place of Usual Residence","2140, NSW","49 hours and over",711
"Persons Place of Usual Residence","2140, NSW","Not stated",192
"Persons Place of Usual Residence","2140, NSW","Not applicable",7990
"Persons Place of Usual Residence","2141, NSW","None",264
"Persons Place of Usual Residence","2141, NSW","1-15 hours",1297
"Persons Place of Usual Residence","2141, NSW","16-24 hours",1752
"Persons Place of Usual Residence","2141, NSW","25-34 hours",1229
"Persons Place of Usual Residence","2141, NSW","35-39 hours",3156
"Persons Place of Usual Residence","2141, NSW","40 hours",2774
"Persons Place of Usual Residence","2141, NSW","41-48 hours",890
"Persons Place of Usual Residence","2141, NSW","49 hours and over",1111
"Persons Place of Usual Residence","2141, NSW","Not stated",421
"Persons Place of Usual Residence","2141, NSW","Not applicable",15774
"Persons Place of Usual Residence","2142, NSW","None",264
"Persons Place of Usual Residence","2142, NSW","1-15 hours",986
"Persons Place of Usual Residence","2142, NSW","16-24 hours",1396
"Persons Place of Usual Residence","2142, NSW","25-34 hours",1111
"Persons Place of Usual Residence","2142, NSW","35-39 hours",2734
"Persons Place of Usual Residence","2142, NSW","40 hours",2253
"Persons Place of Usual Residence","2142, NSW","41-48 hours",750
"Persons Place of Usual Residence","2142, NSW","49 hours and over",901
"Persons Place of Usual Residence","2142, NSW","Not stated",344
"Persons Place of Usual Residence","2142, NSW","Not applicable",15552
"Persons Place of Usual Residence","2143, NSW","None",85
"Persons Place of Usual Residence","2143, NSW","1-15 hours",378
"Persons Place of Usual Residence","2143, NSW","16-24 hours",386
"Persons Place of Usual Residence","2143, NSW","25-34 hours",354
"Persons Place of Usual Residence","2143, NSW","35-39 hours",948
"Persons Place of Usual Residence","2143, NSW","40 hours",758
"Persons Place of Usual Residence","2143, NSW","41-48 hours",234
"Persons Place of Usual Residence","2143, NSW","49 hours and over",317
"Persons Place of Usual Residence","2143, NSW","Not stated",116
"Persons Place of Usual Residence","2143, NSW","Not applicable",5342
"Persons Place of Usual Residence","2144, NSW","None",260
"Persons Place of Usual Residence","2144, NSW","1-15 hours",1476
"Persons Place of Usual Residence","2144, NSW","16-24 hours",2316
"Persons Place of Usual Residence","2144, NSW","25-34 hours",1481
"Persons Place of Usual Residence","2144, NSW","35-39 hours",3219
"Persons Place of Usual Residence","2144, NSW","40 hours",2727
"Persons Place of Usual Residence","2144, NSW","41-48 hours",958
"Persons Place of Usual Residence","2144, NSW","49 hours and over",1003
"Persons Place of Usual Residence","2144, NSW","Not stated",628
"Persons Place of Usual Residence","2144, NSW","Not applicable",23295
"Persons Place of Usual Residence","2145, NSW","None",974
"Persons Place of Usual Residence","2145, NSW","1-15 hours",2907
"Persons Place of Usual Residence","2145, NSW","16-24 hours",3212
"Persons Place of Usual Residence","2145, NSW","25-34 hours",3141
"Persons Place of Usual Residence","2145, NSW","35-39 hours",9046
"Persons Place of Usual Residence","2145, NSW","40 hours",8927
"Persons Place of Usual Residence","2145, NSW","41-48 hours",2760
"Persons Place of Usual Residence","2145, NSW","49 hours and over",3481
"Persons Place of Usual Residence","2145, NSW","Not stated",803
"Persons Place of Usual Residence","2145, NSW","Not applicable",43960
"Persons Place of Usual Residence","2146, NSW","None",227
"Persons Place of Usual Residence","2146, NSW","1-15 hours",735
"Persons Place of Usual Residence","2146, NSW","16-24 hours",791
"Persons Place of Usual Residence","2146, NSW","25-34 hours",771
"Persons Place of Usual Residence","2146, NSW","35-39 hours",2161
"Persons Place of Usual Residence","2146, NSW","40 hours",1888
"Persons Place of Usual Residence","2146, NSW","41-48 hours",666
"Persons Place of Usual Residence","2146, NSW","49 hours and over",823
"Persons Place of Usual Residence","2146, NSW","Not stated",161
"Persons Place of Usual Residence","2146, NSW","Not applicable",9244
"Persons Place of Usual Residence","2147, NSW","None",496
"Persons Place of Usual Residence","2147, NSW","1-15 hours",1578
"Persons Place of Usual Residence","2147, NSW","16-24 hours",1553
"Persons Place of Usual Residence","2147, NSW","25-34 hours",1645
"Persons Place of Usual Residence","2147, NSW","35-39 hours",4002
"Persons Place of Usual Residence","2147, NSW","40 hours",3735
"Persons Place of Usual Residence","2147, NSW","41-48 hours",1553
"Persons Place of Usual Residence","2147, NSW","49 hours and over",2025
"Persons Place of Usual Residence","2147, NSW","Not stated",363
"Persons Place of Usual Residence","2147, NSW","Not applicable",19402
"Persons Place of Usual Residence","2148, NSW","None",792
"Persons Place of Usual Residence","2148, NSW","1-15 hours",2395
"Persons Place of Usual Residence","2148, NSW","16-24 hours",2772
"Persons Place of Usual Residence","2148, NSW","25-34 hours",2763
"Persons Place of Usual Residence","2148, NSW","35-39 hours",7646
"Persons Place of Usual Residence","2148, NSW","40 hours",6230
"Persons Place of Usual Residence","2148, NSW","41-48 hours",2300
"Persons Place of Usual Residence","2148, NSW","49 hours and over",2802
"Persons Place of Usual Residence","2148, NSW","Not stated",733
"Persons Place of Usual Residence","2148, NSW","Not applicable",34641
"Persons Place of Usual Residence","2150, NSW","None",333
"Persons Place of Usual Residence","2150, NSW","1-15 hours",1038
"Persons Place of Usual Residence","2150, NSW","16-24 hours",1669
"Persons Place of Usual Residence","2150, NSW","25-34 hours",1131
"Persons Place of Usual Residence","2150, NSW","35-39 hours",3999
"Persons Place of Usual Residence","2150, NSW","40 hours",4720
"Persons Place of Usual Residence","2150, NSW","41-48 hours",1123
"Persons Place of Usual Residence","2150, NSW","49 hours and over",1131
"Persons Place of Usual Residence","2150, NSW","Not stated",327
"Persons Place of Usual Residence","2150, NSW","Not applicable",16028
"Persons Place of Usual Residence","2151, NSW","None",269
"Persons Place of Usual Residence","2151, NSW","1-15 hours",922
"Persons Place of Usual Residence","2151, NSW","16-24 hours",947
"Persons Place of Usual Residence","2151, NSW","25-34 hours",918
"Persons Place of Usual Residence","2151, NSW","35-39 hours",2283
"Persons Place of Usual Residence","2151, NSW","40 hours",2231
"Persons Place of Usual Residence","2151, NSW","41-48 hours",871
"Persons Place of Usual Residence","2151, NSW","49 hours and over",1275
"Persons Place of Usual Residence","2151, NSW","Not stated",166
"Persons Place of Usual Residence","2151, NSW","Not applicable",11432
"Persons Place of Usual Residence","2152, NSW","None",154
"Persons Place of Usual Residence","2152, NSW","1-15 hours",489
"Persons Place of Usual Residence","2152, NSW","16-24 hours",463
"Persons Place of Usual Residence","2152, NSW","25-34 hours",470
"Persons Place of Usual Residence","2152, NSW","35-39 hours",1173
"Persons Place of Usual Residence","2152, NSW","40 hours",1251
"Persons Place of Usual Residence","2152, NSW","41-48 hours",537
"Persons Place of Usual Residence","2152, NSW","49 hours and over",780
"Persons Place of Usual Residence","2152, NSW","Not stated",93
"Persons Place of Usual Residence","2152, NSW","Not applicable",5794
"Persons Place of Usual Residence","2153, NSW","None",798
"Persons Place of Usual Residence","2153, NSW","1-15 hours",3143
"Persons Place of Usual Residence","2153, NSW","16-24 hours",2791
"Persons Place of Usual Residence","2153, NSW","25-34 hours",2583
"Persons Place of Usual Residence","2153, NSW","35-39 hours",5085
"Persons Place of Usual Residence","2153, NSW","40 hours",6666
"Persons Place of Usual Residence","2153, NSW","41-48 hours",2550
"Persons Place of Usual Residence","2153, NSW","49 hours and over",4265
"Persons Place of Usual Residence","2153, NSW","Not stated",411
"Persons Place of Usual Residence","2153, NSW","Not applicable",28268
"Persons Place of Usual Residence","2154, NSW","None",453
"Persons Place of Usual Residence","2154, NSW","1-15 hours",2318
"Persons Place of Usual Residence","2154, NSW","16-24 hours",1959
"Persons Place of Usual Residence","2154, NSW","25-34 hours",1793
"Persons Place of Usual Residence","2154, NSW","35-39 hours",3198
"Persons Place of Usual Residence","2154, NSW","40 hours",4369
"Persons Place of Usual Residence","2154, NSW","41-48 hours",1783
"Persons Place of Usual Residence","2154, NSW","49 hours and over",3175
"Persons Place of Usual Residence","2154, NSW","Not stated",229
"Persons Place of Usual Residence","2154, NSW","Not applicable",20322
"Persons Place of Usual Residence","2155, NSW","None",724
"Persons Place of Usual Residence","2155, NSW","1-15 hours",2923
"Persons Place of Usual Residence","2155, NSW","16-24 hours",2682
"Persons Place of Usual Residence","2155, NSW","25-34 hours",2608
"Persons Place of Usual Residence","2155, NSW","35-39 hours",5232
"Persons Place of Usual Residence","2155, NSW","40 hours",6866
"Persons Place of Usual Residence","2155, NSW","41-48 hours",2758
"Persons Place of Usual Residence","2155, NSW","49 hours and over",4653
"Persons Place of Usual Residence","2155, NSW","Not stated",431
"Persons Place of Usual Residence","2155, NSW","Not applicable",26564
"Persons Place of Usual Residence","2156, NSW","None",171
"Persons Place of Usual Residence","2156, NSW","1-15 hours",908
"Persons Place of Usual Residence","2156, NSW","16-24 hours",733
"Persons Place of Usual Residence","2156, NSW","25-34 hours",600
"Persons Place of Usual Residence","2156, NSW","35-39 hours",780
"Persons Place of Usual Residence","2156, NSW","40 hours",1289
"Persons Place of Usual Residence","2156, NSW","41-48 hours",519
"Persons Place of Usual Residence","2156, NSW","49 hours and over",1434
"Persons Place of Usual Residence","2156, NSW","Not stated",85
"Persons Place of Usual Residence","2156, NSW","Not applicable",6425
"Persons Place of Usual Residence","2157, NSW","None",73
"Persons Place of Usual Residence","2157, NSW","1-15 hours",250
"Persons Place of Usual Residence","2157, NSW","16-24 hours",181
"Persons Place of Usual Residence","2157, NSW","25-34 hours",223
"Persons Place of Usual Residence","2157, NSW","35-39 hours",227
"Persons Place of Usual Residence","2157, NSW","40 hours",377
"Persons Place of Usual Residence","2157, NSW","41-48 hours",153
"Persons Place of Usual Residence","2157, NSW","49 hours and over",372
"Persons Place of Usual Residence","2157, NSW","Not stated",34
"Persons Place of Usual Residence","2157, NSW","Not applicable",1863
"Persons Place of Usual Residence","2158, NSW","None",116
"Persons Place of Usual Residence","2158, NSW","1-15 hours",571
"Persons Place of Usual Residence","2158, NSW","16-24 hours",438
"Persons Place of Usual Residence","2158, NSW","25-34 hours",418
"Persons Place of Usual Residence","2158, NSW","35-39 hours",595
"Persons Place of Usual Residence","2158, NSW","40 hours",822
"Persons Place of Usual Residence","2158, NSW","41-48 hours",371
"Persons Place of Usual Residence","2158, NSW","49 hours and over",805
"Persons Place of Usual Residence","2158, NSW","Not stated",87
"Persons Place of Usual Residence","2158, NSW","Not applicable",4356
"Persons Place of Usual Residence","2159, NSW","None",60
"Persons Place of Usual Residence","2159, NSW","1-15 hours",334
"Persons Place of Usual Residence","2159, NSW","16-24 hours",294
"Persons Place of Usual Residence","2159, NSW","25-34 hours",248
"Persons Place of Usual Residence","2159, NSW","35-39 hours",306
"Persons Place of Usual Residence","2159, NSW","40 hours",462
"Persons Place of Usual Residence","2159, NSW","41-48 hours",192
"Persons Place of Usual Residence","2159, NSW","49 hours and over",529
"Persons Place of Usual Residence","2159, NSW","Not stated",47
"Persons Place of Usual Residence","2159, NSW","Not applicable",2501
"Persons Place of Usual Residence","2160, NSW","None",369
"Persons Place of Usual Residence","2160, NSW","1-15 hours",1428
"Persons Place of Usual Residence","2160, NSW","16-24 hours",1474
"Persons Place of Usual Residence","2160, NSW","25-34 hours",1325
"Persons Place of Usual Residence","2160, NSW","35-39 hours",3376
"Persons Place of Usual Residence","2160, NSW","40 hours",2881
"Persons Place of Usual Residence","2160, NSW","41-48 hours",1116
"Persons Place of Usual Residence","2160, NSW","49 hours and over",1355
"Persons Place of Usual Residence","2160, NSW","Not stated",474
"Persons Place of Usual Residence","2160, NSW","Not applicable",22175
"Persons Place of Usual Residence","2161, NSW","None",257
"Persons Place of Usual Residence","2161, NSW","1-15 hours",1159
"Persons Place of Usual Residence","2161, NSW","16-24 hours",1094
"Persons Place of Usual Residence","2161, NSW","25-34 hours",1071
"Persons Place of Usual Residence","2161, NSW","35-39 hours",2489
"Persons Place of Usual Residence","2161, NSW","40 hours",2218
"Persons Place of Usual Residence","2161, NSW","41-48 hours",798
"Persons Place of Usual Residence","2161, NSW","49 hours and over",1048
"Persons Place of Usual Residence","2161, NSW","Not stated",443
"Persons Place of Usual Residence","2161, NSW","Not applicable",20848
"Persons Place of Usual Residence","2162, NSW","None",166
"Persons Place of Usual Residence","2162, NSW","1-15 hours",706
"Persons Place of Usual Residence","2162, NSW","16-24 hours",665
"Persons Place of Usual Residence","2162, NSW","25-34 hours",668
"Persons Place of Usual Residence","2162, NSW","35-39 hours",1644
"Persons Place of Usual Residence","2162, NSW","40 hours",1350
"Persons Place of Usual Residence","2162, NSW","41-48 hours",492
"Persons Place of Usual Residence","2162, NSW","49 hours and over",661
"Persons Place of Usual Residence","2162, NSW","Not stated",219
"Persons Place of Usual Residence","2162, NSW","Not applicable",12035
"Persons Place of Usual Residence","2163, NSW","None",65
"Persons Place of Usual Residence","2163, NSW","1-15 hours",350
"Persons Place of Usual Residence","2163, NSW","16-24 hours",272
"Persons Place of Usual Residence","2163, NSW","25-34 hours",298
"Persons Place of Usual Residence","2163, NSW","35-39 hours",664
"Persons Place of Usual Residence","2163, NSW","40 hours",496
"Persons Place of Usual Residence","2163, NSW","41-48 hours",203
"Persons Place of Usual Residence","2163, NSW","49 hours and over",190
"Persons Place of Usual Residence","2163, NSW","Not stated",108
"Persons Place of Usual Residence","2163, NSW","Not applicable",6945
"Persons Place of Usual Residence","2164, NSW","None",192
"Persons Place of Usual Residence","2164, NSW","1-15 hours",752
"Persons Place of Usual Residence","2164, NSW","16-24 hours",687
"Persons Place of Usual Residence","2164, NSW","25-34 hours",716
"Persons Place of Usual Residence","2164, NSW","35-39 hours",1822
"Persons Place of Usual Residence","2164, NSW","40 hours",1527
"Persons Place of Usual Residence","2164, NSW","41-48 hours",620
"Persons Place of Usual Residence","2164, NSW","49 hours and over",763
"Persons Place of Usual Residence","2164, NSW","Not stated",204
"Persons Place of Usual Residence","2164, NSW","Not applicable",12336
"Persons Place of Usual Residence","2165, NSW","None",286
"Persons Place of Usual Residence","2165, NSW","1-15 hours",1614
"Persons Place of Usual Residence","2165, NSW","16-24 hours",1341
"Persons Place of Usual Residence","2165, NSW","25-34 hours",1299
"Persons Place of Usual Residence","2165, NSW","35-39 hours",3468
"Persons Place of Usual Residence","2165, NSW","40 hours",2621
"Persons Place of Usual Residence","2165, NSW","41-48 hours",963
"Persons Place of Usual Residence","2165, NSW","49 hours and over",1138
"Persons Place of Usual Residence","2165, NSW","Not stated",515
"Persons Place of Usual Residence","2165, NSW","Not applicable",29190
"Persons Place of Usual Residence","2166, NSW","None",375
"Persons Place of Usual Residence","2166, NSW","1-15 hours",2342
"Persons Place of Usual Residence","2166, NSW","16-24 hours",2037
"Persons Place of Usual Residence","2166, NSW","25-34 hours",1800
"Persons Place of Usual Residence","2166, NSW","35-39 hours",5173
"Persons Place of Usual Residence","2166, NSW","40 hours",3338
"Persons Place of Usual Residence","2166, NSW","41-48 hours",1154
"Persons Place of Usual Residence","2166, NSW","49 hours and over",1579
"Persons Place of Usual Residence","2166, NSW","Not stated",725
"Persons Place of Usual Residence","2166, NSW","Not applicable",34254
"Persons Place of Usual Residence","2167, NSW","None",123
"Persons Place of Usual Residence","2167, NSW","1-15 hours",350
"Persons Place of Usual Residence","2167, NSW","16-24 hours",355
"Persons Place of Usual Residence","2167, NSW","25-34 hours",425
"Persons Place of Usual Residence","2167, NSW","35-39 hours",1201
"Persons Place of Usual Residence","2167, NSW","40 hours",1063
"Persons Place of Usual Residence","2167, NSW","41-48 hours",367
"Persons Place of Usual Residence","2167, NSW","49 hours and over",413
"Persons Place of Usual Residence","2167, NSW","Not stated",81
"Persons Place of Usual Residence","2167, NSW","Not applicable",5257
"Persons Place of Usual Residence","2168, NSW","None",355
"Persons Place of Usual Residence","2168, NSW","1-15 hours",1507
"Persons Place of Usual Residence","2168, NSW","16-24 hours",1486
"Persons Place of Usual Residence","2168, NSW","25-34 hours",1623
"Persons Place of Usual Residence","2168, NSW","35-39 hours",4028
"Persons Place of Usual Residence","2168, NSW","40 hours",3236
"Persons Place of Usual Residence","2168, NSW","41-48 hours",1119
"Persons Place of Usual Residence","2168, NSW","49 hours and over",1505
"Persons Place of Usual Residence","2168, NSW","Not stated",570
"Persons Place of Usual Residence","2168, NSW","Not applicable",28022
"Persons Place of Usual Residence","2170, NSW","None",1154
"Persons Place of Usual Residence","2170, NSW","1-15 hours",3859
"Persons Place of Usual Residence","2170, NSW","16-24 hours",3675
"Persons Place of Usual Residence","2170, NSW","25-34 hours",3947
"Persons Place of Usual Residence","2170, NSW","35-39 hours",9981
"Persons Place of Usual Residence","2170, NSW","40 hours",8987
"Persons Place of Usual Residence","2170, NSW","41-48 hours",3343
"Persons Place of Usual Residence","2170, NSW","49 hours and over",4585
"Persons Place of Usual Residence","2170, NSW","Not stated",1143
"Persons Place of Usual Residence","2170, NSW","Not applicable",64784
"Persons Place of Usual Residence","2171, NSW","None",407
"Persons Place of Usual Residence","2171, NSW","1-15 hours",1525
"Persons Place of Usual Residence","2171, NSW","16-24 hours",1425
"Persons Place of Usual Residence","2171, NSW","25-34 hours",1561
"Persons Place of Usual Residence","2171, NSW","35-39 hours",3895
"Persons Place of Usual Residence","2171, NSW","40 hours",3841
"Persons Place of Usual Residence","2171, NSW","41-48 hours",1342
"Persons Place of Usual Residence","2171, NSW","49 hours and over",2053
"Persons Place of Usual Residence","2171, NSW","Not stated",376
"Persons Place of Usual Residence","2171, NSW","Not applicable",18448
"Persons Place of Usual Residence","2172, NSW","None",45
"Persons Place of Usual Residence","2172, NSW","1-15 hours",132
"Persons Place of Usual Residence","2172, NSW","16-24 hours",125
"Persons Place of Usual Residence","2172, NSW","25-34 hours",123
"Persons Place of Usual Residence","2172, NSW","35-39 hours",263
"Persons Place of Usual Residence","2172, NSW","40 hours",375
"Persons Place of Usual Residence","2172, NSW","41-48 hours",154
"Persons Place of Usual Residence","2172, NSW","49 hours and over",291
"Persons Place of Usual Residence","2172, NSW","Not stated",22
"Persons Place of Usual Residence","2172, NSW","Not applicable",1248
"Persons Place of Usual Residence","2173, NSW","None",256
"Persons Place of Usual Residence","2173, NSW","1-15 hours",665
"Persons Place of Usual Residence","2173, NSW","16-24 hours",659
"Persons Place of Usual Residence","2173, NSW","25-34 hours",669
"Persons Place of Usual Residence","2173, NSW","35-39 hours",1683
"Persons Place of Usual Residence","2173, NSW","40 hours",1832
"Persons Place of Usual Residence","2173, NSW","41-48 hours",801
"Persons Place of Usual Residence","2173, NSW","49 hours and over",1103
"Persons Place of Usual Residence","2173, NSW","Not stated",119
"Persons Place of Usual Residence","2173, NSW","Not applicable",6647
"Persons Place of Usual Residence","2174, NSW","None",23
"Persons Place of Usual Residence","2174, NSW","1-15 hours",69
"Persons Place of Usual Residence","2174, NSW","16-24 hours",91
"Persons Place of Usual Residence","2174, NSW","25-34 hours",93
"Persons Place of Usual Residence","2174, NSW","35-39 hours",305
"Persons Place of Usual Residence","2174, NSW","40 hours",246
"Persons Place of Usual Residence","2174, NSW","41-48 hours",90
"Persons Place of Usual Residence","2174, NSW","49 hours and over",113
"Persons Place of Usual Residence","2174, NSW","Not stated",17
"Persons Place of Usual Residence","2174, NSW","Not applicable",1225
"Persons Place of Usual Residence","2175, NSW","None",24
"Persons Place of Usual Residence","2175, NSW","1-15 hours",87
"Persons Place of Usual Residence","2175, NSW","16-24 hours",85
"Persons Place of Usual Residence","2175, NSW","25-34 hours",69
"Persons Place of Usual Residence","2175, NSW","35-39 hours",141
"Persons Place of Usual Residence","2175, NSW","40 hours",169
"Persons Place of Usual Residence","2175, NSW","41-48 hours",70
"Persons Place of Usual Residence","2175, NSW","49 hours and over",147
"Persons Place of Usual Residence","2175, NSW","Not stated",35
"Persons Place of Usual Residence","2175, NSW","Not applicable",1006
"Persons Place of Usual Residence","2176, NSW","None",490
"Persons Place of Usual Residence","2176, NSW","1-15 hours",2105
"Persons Place of Usual Residence","2176, NSW","16-24 hours",1867
"Persons Place of Usual Residence","2176, NSW","25-34 hours",1920
"Persons Place of Usual Residence","2176, NSW","35-39 hours",4783
"Persons Place of Usual Residence","2176, NSW","40 hours",4198
"Persons Place of Usual Residence","2176, NSW","41-48 hours",1562
"Persons Place of Usual Residence","2176, NSW","49 hours and over",2178
"Persons Place of Usual Residence","2176, NSW","Not stated",534
"Persons Place of Usual Residence","2176, NSW","Not applicable",28179
"Persons Place of Usual Residence","2177, NSW","None",139
"Persons Place of Usual Residence","2177, NSW","1-15 hours",672
"Persons Place of Usual Residence","2177, NSW","16-24 hours",623
"Persons Place of Usual Residence","2177, NSW","25-34 hours",631
"Persons Place of Usual Residence","2177, NSW","35-39 hours",1628
"Persons Place of Usual Residence","2177, NSW","40 hours",1305
"Persons Place of Usual Residence","2177, NSW","41-48 hours",455
"Persons Place of Usual Residence","2177, NSW","49 hours and over",602
"Persons Place of Usual Residence","2177, NSW","Not stated",135
"Persons Place of Usual Residence","2177, NSW","Not applicable",9779
"Persons Place of Usual Residence","2178, NSW","None",60
"Persons Place of Usual Residence","2178, NSW","1-15 hours",232
"Persons Place of Usual Residence","2178, NSW","16-24 hours",189
"Persons Place of Usual Residence","2178, NSW","25-34 hours",178
"Persons Place of Usual Residence","2178, NSW","35-39 hours",337
"Persons Place of Usual Residence","2178, NSW","40 hours",434
"Persons Place of Usual Residence","2178, NSW","41-48 hours",143
"Persons Place of Usual Residence","2178, NSW","49 hours and over",331
"Persons Place of Usual Residence","2178, NSW","Not stated",75
"Persons Place of Usual Residence","2178, NSW","Not applicable",2254
"Persons Place of Usual Residence","2179, NSW","None",82
"Persons Place of Usual Residence","2179, NSW","1-15 hours",274
"Persons Place of Usual Residence","2179, NSW","16-24 hours",250
"Persons Place of Usual Residence","2179, NSW","25-34 hours",241
"Persons Place of Usual Residence","2179, NSW","35-39 hours",555
"Persons Place of Usual Residence","2179, NSW","40 hours",598
"Persons Place of Usual Residence","2179, NSW","41-48 hours",222
"Persons Place of Usual Residence","2179, NSW","49 hours and over",421
"Persons Place of Usual Residence","2179, NSW","Not stated",114
"Persons Place of Usual Residence","2179, NSW","Not applicable",3760
"Persons Place of Usual Residence","2190, NSW","None",243
"Persons Place of Usual Residence","2190, NSW","1-15 hours",1079
"Persons Place of Usual Residence","2190, NSW","16-24 hours",969
"Persons Place of Usual Residence","2190, NSW","25-34 hours",941
"Persons Place of Usual Residence","2190, NSW","35-39 hours",1725
"Persons Place of Usual Residence","2190, NSW","40 hours",1810
"Persons Place of Usual Residence","2190, NSW","41-48 hours",624
"Persons Place of Usual Residence","2190, NSW","49 hours and over",890
"Persons Place of Usual Residence","2190, NSW","Not stated",355
"Persons Place of Usual Residence","2190, NSW","Not applicable",16927
"Persons Place of Usual Residence","2191, NSW","None",76
"Persons Place of Usual Residence","2191, NSW","1-15 hours",296
"Persons Place of Usual Residence","2191, NSW","16-24 hours",302
"Persons Place of Usual Residence","2191, NSW","25-34 hours",270
"Persons Place of Usual Residence","2191, NSW","35-39 hours",585
"Persons Place of Usual Residence","2191, NSW","40 hours",609
"Persons Place of Usual Residence","2191, NSW","41-48 hours",229
"Persons Place of Usual Residence","2191, NSW","49 hours and over",329
"Persons Place of Usual Residence","2191, NSW","Not stated",61
"Persons Place of Usual Residence","2191, NSW","Not applicable",3554
"Persons Place of Usual Residence","2192, NSW","None",163
"Persons Place of Usual Residence","2192, NSW","1-15 hours",527
