Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"POA (UR) by INCP Total Personal Income (weekly)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"Counting","POA (UR)","INCP Total Personal Income (weekly)","Count",
"Persons Place of Usual Residence","2008, NSW","$3,000 or more ($156,000 or more)",359
"Persons Place of Usual Residence","2008, NSW","Not stated",1359
"Persons Place of Usual Residence","2008, NSW","Not applicable",407
"Persons Place of Usual Residence","2008, NSW","Total",11712
"Persons Place of Usual Residence","2009, NSW","Negative income",71
"Persons Place of Usual Residence","2009, NSW","Nil income",969
"Persons Place of Usual Residence","2009, NSW","$1-$149 ($1-$7,799)",227
"Persons Place of Usual Residence","2009, NSW","$150-$299 ($7,800-$15,599)",391
"Persons Place of Usual Residence","2009, NSW","$300-$399 ($15,600-$20,799)",536
"Persons Place of Usual Residence","2009, NSW","$400-$499 ($20,800-$25,999)",520
"Persons Place of Usual Residence","2009, NSW","$500-$649 ($26,000-$33,799)",578
"Persons Place of Usual Residence","2009, NSW","$650-$799 ($33,800-$41,599)",644
"Persons Place of Usual Residence","2009, NSW","$800-$999 ($41,600-$51,999)",831
"Persons Place of Usual Residence","2009, NSW","$1,000-$1,249 ($52,000-$64,999)",938
"Persons Place of Usual Residence","2009, NSW","$1,250-$1,499 ($65,000-$77,999)",761
"Persons Place of Usual Residence","2009, NSW","$1,500-$1,749 ($78,000-$90,999)",702
"Persons Place of Usual Residence","2009, NSW","$1,750-$1,999 ($91,000-$103,999)",587
"Persons Place of Usual Residence","2009, NSW","$2,000-$2,999 ($104,000-$155,999)",1347
"Persons Place of Usual Residence","2009, NSW","$3,000 or more ($156,000 or more)",1271
"Persons Place of Usual Residence","2009, NSW","Not stated",1254
"Persons Place of Usual Residence","2009, NSW","Not applicable",1187
"Persons Place of Usual Residence","2009, NSW","Total",12813
"Persons Place of Usual Residence","2010, NSW","Negative income",96
"Persons Place of Usual Residence","2010, NSW","Nil income",1207
"Persons Place of Usual Residence","2010, NSW","$1-$149 ($1-$7,799)",327
"Persons Place of Usual Residence","2010, NSW","$150-$299 ($7,800-$15,599)",918
"Persons Place of Usual Residence","2010, NSW","$300-$399 ($15,600-$20,799)",1317
"Persons Place of Usual Residence","2010, NSW","$400-$499 ($20,800-$25,999)",1408
"Persons Place of Usual Residence","2010, NSW","$500-$649 ($26,000-$33,799)",1212
"Persons Place of Usual Residence","2010, NSW","$650-$799 ($33,800-$41,599)",1203
"Persons Place of Usual Residence","2010, NSW","$800-$999 ($41,600-$51,999)",1662
"Persons Place of Usual Residence","2010, NSW","$1,000-$1,249 ($52,000-$64,999)",2113
"Persons Place of Usual Residence","2010, NSW","$1,250-$1,499 ($65,000-$77,999)",1837
"Persons Place of Usual Residence","2010, NSW","$1,500-$1,749 ($78,000-$90,999)",1817
"Persons Place of Usual Residence","2010, NSW","$1,750-$1,999 ($91,000-$103,999)",1374
"Persons Place of Usual Residence","2010, NSW","$2,000-$2,999 ($104,000-$155,999)",2999
"Persons Place of Usual Residence","2010, NSW","$3,000 or more ($156,000 or more)",2769
"Persons Place of Usual Residence","2010, NSW","Not stated",4114
"Persons Place of Usual Residence","2010, NSW","Not applicable",1347
"Persons Place of Usual Residence","2010, NSW","Total",27733
"Persons Place of Usual Residence","2011, NSW","Negative income",65
"Persons Place of Usual Residence","2011, NSW","Nil income",751
"Persons Place of Usual Residence","2011, NSW","$1-$149 ($1-$7,799)",232
"Persons Place of Usual Residence","2011, NSW","$150-$299 ($7,800-$15,599)",453
"Persons Place of Usual Residence","2011, NSW","$300-$399 ($15,600-$20,799)",642
