Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"POA (UR) by MSTP Registered Marital Status"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"Counting","POA (UR)","MSTP Registered Marital Status","Count",
"Persons Place of Usual Residence","2197, NSW","Widowed",432
"Persons Place of Usual Residence","2197, NSW","Divorced",570
"Persons Place of Usual Residence","2197, NSW","Separated",312
"Persons Place of Usual Residence","2197, NSW","Married",3440
"Persons Place of Usual Residence","2197, NSW","Not applicable",2068
"Persons Place of Usual Residence","2197, NSW","Total",9067
"Persons Place of Usual Residence","2198, NSW","Never married",2012
"Persons Place of Usual Residence","2198, NSW","Widowed",554
"Persons Place of Usual Residence","2198, NSW","Divorced",415
"Persons Place of Usual Residence","2198, NSW","Separated",227
"Persons Place of Usual Residence","2198, NSW","Married",3826
"Persons Place of Usual Residence","2198, NSW","Not applicable",1999
"Persons Place of Usual Residence","2198, NSW","Total",9039
"Persons Place of Usual Residence","2199, NSW","Never married",4417
"Persons Place of Usual Residence","2199, NSW","Widowed",880
"Persons Place of Usual Residence","2199, NSW","Divorced",1190
"Persons Place of Usual Residence","2199, NSW","Separated",590
"Persons Place of Usual Residence","2199, NSW","Married",6957
"Persons Place of Usual Residence","2199, NSW","Not applicable",3985
"Persons Place of Usual Residence","2199, NSW","Total",18016
"Persons Place of Usual Residence","2200, NSW","Never married",10393
"Persons Place of Usual Residence","2200, NSW","Widowed",1532
"Persons Place of Usual Residence","2200, NSW","Divorced",3180
"Persons Place of Usual Residence","2200, NSW","Separated",1308
"Persons Place of Usual Residence","2200, NSW","Married",17500
"Persons Place of Usual Residence","2200, NSW","Not applicable",9771
"Persons Place of Usual Residence","2200, NSW","Total",43688
"Persons Place of Usual Residence","2203, NSW","Never married",5476
"Persons Place of Usual Residence","2203, NSW","Widowed",457
"Persons Place of Usual Residence","2203, NSW","Divorced",971
"Persons Place of Usual Residence","2203, NSW","Separated",345
"Persons Place of Usual Residence","2203, NSW","Married",4307
"Persons Place of Usual Residence","2203, NSW","Not applicable",2151
"Persons Place of Usual Residence","2203, NSW","Total",13707
"Persons Place of Usual Residence","2204, NSW","Never married",11353
"Persons Place of Usual Residence","2204, NSW","Widowed",1024
"Persons Place of Usual Residence","2204, NSW","Divorced",1818
"Persons Place of Usual Residence","2204, NSW","Separated",617
"Persons Place of Usual Residence","2204, NSW","Married",7919
"Persons Place of Usual Residence","2204, NSW","Not applicable",3770
"Persons Place of Usual Residence","2204, NSW","Total",26499
"Persons Place of Usual Residence","2205, NSW","Never married",7810
"Persons Place of Usual Residence","2205, NSW","Widowed",517
"Persons Place of Usual Residence","2205, NSW","Divorced",959
"Persons Place of Usual Residence","2205, NSW","Separated",423
"Persons Place of Usual Residence","2205, NSW","Married",7128
"Persons Place of Usual Residence","2205, NSW","Not applicable",2609
"Persons Place of Usual Residence","2205, NSW","Total",19447
"Persons Place of Usual Residence","2206, NSW","Never married",5010
"Persons Place of Usual Residence","2206, NSW","Widowed",970
"Persons Place of Usual Residence","2206, NSW","Divorced",1039
"Persons Place of Usual Residence","2206, NSW","Separated",428
"Persons Place of Usual Residence","2206, NSW","Married",8377
"Persons Place of Usual Residence","2206, NSW","Not applicable",3569
"Persons Place of Usual Residence","2206, NSW","Total",19407
"Persons Place of Usual Residence","2207, NSW","Never married",7133
"Persons Place of Usual Residence","2207, NSW","Widowed",1659
"Persons Place of Usual Residence","2207, NSW","Divorced",1653
"Persons Place of Usual Residence","2207, NSW","Separated",763
"Persons Place of Usual Residence","2207, NSW","Married",12121
"Persons Place of Usual Residence","2207, NSW","Not applicable",5213
"Persons Place of Usual Residence","2207, NSW","Total",28536
"Persons Place of Usual Residence","2208, NSW","Never married",3230
"Persons Place of Usual Residence","2208, NSW","Widowed",590
"Persons Place of Usual Residence","2208, NSW","Divorced",667
"Persons Place of Usual Residence","2208, NSW","Separated",273
"Persons Place of Usual Residence","2208, NSW","Married",5439
"Persons Place of Usual Residence","2208, NSW","Not applicable",2247
"Persons Place of Usual Residence","2208, NSW","Total",12450
"Persons Place of Usual Residence","2209, NSW","Never married",4178
"Persons Place of Usual Residence","2209, NSW","Widowed",770
"Persons Place of Usual Residence","2209, NSW","Divorced",981
"Persons Place of Usual Residence","2209, NSW","Separated",344
"Persons Place of Usual Residence","2209, NSW","Married",6773
"Persons Place of Usual Residence","2209, NSW","Not applicable",2727
"Persons Place of Usual Residence","2209, NSW","Total",15772
"Persons Place of Usual Residence","2210, NSW","Never married",7575
"Persons Place of Usual Residence","2210, NSW","Widowed",1835
"Persons Place of Usual Residence","2210, NSW","Divorced",2119
"Persons Place of Usual Residence","2210, NSW","Separated",759
"Persons Place of Usual Residence","2210, NSW","Married",13039
"Persons Place of Usual Residence","2210, NSW","Not applicable",5266
"Persons Place of Usual Residence","2210, NSW","Total",30582
"Persons Place of Usual Residence","2211, NSW","Never married",4326
"Persons Place of Usual Residence","2211, NSW","Widowed",983
"Persons Place of Usual Residence","2211, NSW","Divorced",1147
"Persons Place of Usual Residence","2211, NSW","Separated",411
"Persons Place of Usual Residence","2211, NSW","Married",7121
"Persons Place of Usual Residence","2211, NSW","Not applicable",2862
"Persons Place of Usual Residence","2211, NSW","Total",16845
"Persons Place of Usual Residence","2212, NSW","Never married",4123
"Persons Place of Usual Residence","2212, NSW","Widowed",892
"Persons Place of Usual Residence","2212, NSW","Divorced",1042
"Persons Place of Usual Residence","2212, NSW","Separated",388
"Persons Place of Usual Residence","2212, NSW","Married",6376
"Persons Place of Usual Residence","2212, NSW","Not applicable",3027
"Persons Place of Usual Residence","2212, NSW","Total",15846
"Persons Place of Usual Residence","2213, NSW","Never married",5267
"Persons Place of Usual Residence","2213, NSW","Widowed",995
"Persons Place of Usual Residence","2213, NSW","Divorced",1308
"Persons Place of Usual Residence","2213, NSW","Separated",514
"Persons Place of Usual Residence","2213, NSW","Married",9295
"Persons Place of Usual Residence","2213, NSW","Not applicable",4411
"Persons Place of Usual Residence","2213, NSW","Total",21788
"Persons Place of Usual Residence","2214, NSW","Never married",925
"Persons Place of Usual Residence","2214, NSW","Widowed",157
"Persons Place of Usual Residence","2214, NSW","Divorced",188
"Persons Place of Usual Residence","2214, NSW","Separated",92
"Persons Place of Usual Residence","2214, NSW","Married",1794
"Persons Place of Usual Residence","2214, NSW","Not applicable",797
"Persons Place of Usual Residence","2214, NSW","Total",3952
"Persons Place of Usual Residence","2216, NSW","Never married",8394
"Persons Place of Usual Residence","2216, NSW","Widowed",1105
"Persons Place of Usual Residence","2216, NSW","Divorced",1931
"Persons Place of Usual Residence","2216, NSW","Separated",724
"Persons Place of Usual Residence","2216, NSW","Married",11866
"Persons Place of Usual Residence","2216, NSW","Not applicable",4043
"Persons Place of Usual Residence","2216, NSW","Total",28065
"Persons Place of Usual Residence","2217, NSW","Never married",7133
"Persons Place of Usual Residence","2217, NSW","Widowed",1099
"Persons Place of Usual Residence","2217, NSW","Divorced",1686
"Persons Place of Usual Residence","2217, NSW","Separated",599
"Persons Place of Usual Residence","2217, NSW","Married",11804
"Persons Place of Usual Residence","2217, NSW","Not applicable",4528
"Persons Place of Usual Residence","2217, NSW","Total",26846
"Persons Place of Usual Residence","2218, NSW","Never married",4545
"Persons Place of Usual Residence","2218, NSW","Widowed",556
"Persons Place of Usual Residence","2218, NSW","Divorced",1030
"Persons Place of Usual Residence","2218, NSW","Separated",365
"Persons Place of Usual Residence","2218, NSW","Married",7264
"Persons Place of Usual Residence","2218, NSW","Not applicable",2659
"Persons Place of Usual Residence","2218, NSW","Total",16425
"Persons Place of Usual Residence","2219, NSW","Never married",3191
"Persons Place of Usual Residence","2219, NSW","Widowed",778
"Persons Place of Usual Residence","2219, NSW","Divorced",1160
"Persons Place of Usual Residence","2219, NSW","Separated",349
"Persons Place of Usual Residence","2219, NSW","Married",5501
"Persons Place of Usual Residence","2219, NSW","Not applicable",2209
"Persons Place of Usual Residence","2219, NSW","Total",13196
"Persons Place of Usual Residence","2220, NSW","Never married",10218
"Persons Place of Usual Residence","2220, NSW","Widowed",1062
"Persons Place of Usual Residence","2220, NSW","Divorced",1690
"Persons Place of Usual Residence","2220, NSW","Separated",555
"Persons Place of Usual Residence","2220, NSW","Married",14342
"Persons Place of Usual Residence","2220, NSW","Not applicable",4625
"Persons Place of Usual Residence","2220, NSW","Total",32487
"Persons Place of Usual Residence","2221, NSW","Never married",4086
"Persons Place of Usual Residence","2221, NSW","Widowed",798
"Persons Place of Usual Residence","2221, NSW","Divorced",846
"Persons Place of Usual Residence","2221, NSW","Separated",292
"Persons Place of Usual Residence","2221, NSW","Married",7402
"Persons Place of Usual Residence","2221, NSW","Not applicable",3056
"Persons Place of Usual Residence","2221, NSW","Total",16482
"Persons Place of Usual Residence","2222, NSW","Never married",3440
"Persons Place of Usual Residence","2222, NSW","Widowed",520
"Persons Place of Usual Residence","2222, NSW","Divorced",768
"Persons Place of Usual Residence","2222, NSW","Separated",285
"Persons Place of Usual Residence","2222, NSW","Married",5678
"Persons Place of Usual Residence","2222, NSW","Not applicable",2105
"Persons Place of Usual Residence","2222, NSW","Total",12790
"Persons Place of Usual Residence","2223, NSW","Never married",5286
"Persons Place of Usual Residence","2223, NSW","Widowed",904
"Persons Place of Usual Residence","2223, NSW","Divorced",1198
"Persons Place of Usual Residence","2223, NSW","Separated",430
"Persons Place of Usual Residence","2223, NSW","Married",9303
"Persons Place of Usual Residence","2223, NSW","Not applicable",3792
"Persons Place of Usual Residence","2223, NSW","Total",20903
"Persons Place of Usual Residence","2224, NSW","Never married",3118
"Persons Place of Usual Residence","2224, NSW","Widowed",869
"Persons Place of Usual Residence","2224, NSW","Divorced",890
"Persons Place of Usual Residence","2224, NSW","Separated",293
"Persons Place of Usual Residence","2224, NSW","Married",6462
"Persons Place of Usual Residence","2224, NSW","Not applicable",2577
"Persons Place of Usual Residence","2224, NSW","Total",14209
"Persons Place of Usual Residence","2225, NSW","Never married",1070
"Persons Place of Usual Residence","2225, NSW","Widowed",158
"Persons Place of Usual Residence","2225, NSW","Divorced",213
"Persons Place of Usual Residence","2225, NSW","Separated",84
"Persons Place of Usual Residence","2225, NSW","Married",2589
"Persons Place of Usual Residence","2225, NSW","Not applicable",1290
"Persons Place of Usual Residence","2225, NSW","Total",5408
"Persons Place of Usual Residence","2226, NSW","Never married",2794
"Persons Place of Usual Residence","2226, NSW","Widowed",495
"Persons Place of Usual Residence","2226, NSW","Divorced",701
"Persons Place of Usual Residence","2226, NSW","Separated",230
"Persons Place of Usual Residence","2226, NSW","Married",5564
"Persons Place of Usual Residence","2226, NSW","Not applicable",2720
"Persons Place of Usual Residence","2226, NSW","Total",12505
"Persons Place of Usual Residence","2227, NSW","Never married",3471
"Persons Place of Usual Residence","2227, NSW","Widowed",605
"Persons Place of Usual Residence","2227, NSW","Divorced",878
"Persons Place of Usual Residence","2227, NSW","Separated",323
"Persons Place of Usual Residence","2227, NSW","Married",6439
"Persons Place of Usual Residence","2227, NSW","Not applicable",2910
"Persons Place of Usual Residence","2227, NSW","Total",14622
"Persons Place of Usual Residence","2228, NSW","Never married",4573
"Persons Place of Usual Residence","2228, NSW","Widowed",1138
"Persons Place of Usual Residence","2228, NSW","Divorced",1318
"Persons Place of Usual Residence","2228, NSW","Separated",429
"Persons Place of Usual Residence","2228, NSW","Married",7556
"Persons Place of Usual Residence","2228, NSW","Not applicable",3344
"Persons Place of Usual Residence","2228, NSW","Total",18364
"Persons Place of Usual Residence","2229, NSW","Never married",6942
"Persons Place of Usual Residence","2229, NSW","Widowed",1532
"Persons Place of Usual Residence","2229, NSW","Divorced",1967
"Persons Place of Usual Residence","2229, NSW","Separated",606
"Persons Place of Usual Residence","2229, NSW","Married",12182
"Persons Place of Usual Residence","2229, NSW","Not applicable",5488
"Persons Place of Usual Residence","2229, NSW","Total",28712
"Persons Place of Usual Residence","2230, NSW","Never married",8924
"Persons Place of Usual Residence","2230, NSW","Widowed",1156
"Persons Place of Usual Residence","2230, NSW","Divorced",2358
"Persons Place of Usual Residence","2230, NSW","Separated",738
"Persons Place of Usual Residence","2230, NSW","Married",11306
"Persons Place of Usual Residence","2230, NSW","Not applicable",4353
"Persons Place of Usual Residence","2230, NSW","Total",28842
"Persons Place of Usual Residence","2231, NSW","Never married",533
"Persons Place of Usual Residence","2231, NSW","Widowed",80
"Persons Place of Usual Residence","2231, NSW","Divorced",172
"Persons Place of Usual Residence","2231, NSW","Separated",61
"Persons Place of Usual Residence","2231, NSW","Married",855
"Persons Place of Usual Residence","2231, NSW","Not applicable",570
"Persons Place of Usual Residence","2231, NSW","Total",2269
"Persons Place of Usual Residence","2232, NSW","Never married",8263
"Persons Place of Usual Residence","2232, NSW","Widowed",1516
"Persons Place of Usual Residence","2232, NSW","Divorced",2384
"Persons Place of Usual Residence","2232, NSW","Separated",720
"Persons Place of Usual Residence","2232, NSW","Married",13764
"Persons Place of Usual Residence","2232, NSW","Not applicable",6222
"Persons Place of Usual Residence","2232, NSW","Total",32870
"Persons Place of Usual Residence","2233, NSW","Never married",6411
"Persons Place of Usual Residence","2233, NSW","Widowed",1167
"Persons Place of Usual Residence","2233, NSW","Divorced",1413
"Persons Place of Usual Residence","2233, NSW","Separated",549
"Persons Place of Usual Residence","2233, NSW","Married",13547
"Persons Place of Usual Residence","2233, NSW","Not applicable",6415
"Persons Place of Usual Residence","2233, NSW","Total",29497
"Persons Place of Usual Residence","2234, NSW","Never married",7572
"Persons Place of Usual Residence","2234, NSW","Widowed",924
"Persons Place of Usual Residence","2234, NSW","Divorced",1468
"Persons Place of Usual Residence","2234, NSW","Separated",504
"Persons Place of Usual Residence","2234, NSW","Married",14464
"Persons Place of Usual Residence","2234, NSW","Not applicable",5648
"Persons Place of Usual Residence","2234, NSW","Total",30579
"Persons Place of Usual Residence","2250, NSW","Never married",17837
"Persons Place of Usual Residence","2250, NSW","Widowed",3888
"Persons Place of Usual Residence","2250, NSW","Divorced",5785
"Persons Place of Usual Residence","2250, NSW","Separated",1949
"Persons Place of Usual Residence","2250, NSW","Married",25481
"Persons Place of Usual Residence","2250, NSW","Not applicable",12262
"Persons Place of Usual Residence","2250, NSW","Total",67195
"Persons Place of Usual Residence","2251, NSW","Never married",7304
"Persons Place of Usual Residence","2251, NSW","Widowed",1823
"Persons Place of Usual Residence","2251, NSW","Divorced",2627
"Persons Place of Usual Residence","2251, NSW","Separated",841
"Persons Place of Usual Residence","2251, NSW","Married",13997
"Persons Place of Usual Residence","2251, NSW","Not applicable",6116
"Persons Place of Usual Residence","2251, NSW","Total",32708
"Persons Place of Usual Residence","2256, NSW","Never married",4301
"Persons Place of Usual Residence","2256, NSW","Widowed",1168
"Persons Place of Usual Residence","2256, NSW","Divorced",1695
"Persons Place of Usual Residence","2256, NSW","Separated",575
"Persons Place of Usual Residence","2256, NSW","Married",5523
"Persons Place of Usual Residence","2256, NSW","Not applicable",2329
"Persons Place of Usual Residence","2256, NSW","Total",15603
"Persons Place of Usual Residence","2257, NSW","Never married",7526
"Persons Place of Usual Residence","2257, NSW","Widowed",2006
"Persons Place of Usual Residence","2257, NSW","Divorced",2909
"Persons Place of Usual Residence","2257, NSW","Separated",982
"Persons Place of Usual Residence","2257, NSW","Married",10765
"Persons Place of Usual Residence","2257, NSW","Not applicable",4825
"Persons Place of Usual Residence","2257, NSW","Total",29009
"Persons Place of Usual Residence","2258, NSW","Never married",1365
"Persons Place of Usual Residence","2258, NSW","Widowed",159
"Persons Place of Usual Residence","2258, NSW","Divorced",396
"Persons Place of Usual Residence","2258, NSW","Separated",146
"Persons Place of Usual Residence","2258, NSW","Married",2088
"Persons Place of Usual Residence","2258, NSW","Not applicable",1019
"Persons Place of Usual Residence","2258, NSW","Total",5167
"Persons Place of Usual Residence","2259, NSW","Never married",15048
"Persons Place of Usual Residence","2259, NSW","Widowed",3000
"Persons Place of Usual Residence","2259, NSW","Divorced",4856
"Persons Place of Usual Residence","2259, NSW","Separated",1898
"Persons Place of Usual Residence","2259, NSW","Married",22743
"Persons Place of Usual Residence","2259, NSW","Not applicable",11963
"Persons Place of Usual Residence","2259, NSW","Total",59513
"Persons Place of Usual Residence","2260, NSW","Never married",5517
"Persons Place of Usual Residence","2260, NSW","Widowed",839
"Persons Place of Usual Residence","2260, NSW","Divorced",1698
"Persons Place of Usual Residence","2260, NSW","Separated",598
"Persons Place of Usual Residence","2260, NSW","Married",10197
"Persons Place of Usual Residence","2260, NSW","Not applicable",4575
"Persons Place of Usual Residence","2260, NSW","Total",23418
"Persons Place of Usual Residence","2261, NSW","Never married",13876
"Persons Place of Usual Residence","2261, NSW","Widowed",3272
"Persons Place of Usual Residence","2261, NSW","Divorced",4879
"Persons Place of Usual Residence","2261, NSW","Separated",1846
"Persons Place of Usual Residence","2261, NSW","Married",19236
"Persons Place of Usual Residence","2261, NSW","Not applicable",9646
"Persons Place of Usual Residence","2261, NSW","Total",52751
"Persons Place of Usual Residence","2262, NSW","Never married",5738
"Persons Place of Usual Residence","2262, NSW","Widowed",1071
"Persons Place of Usual Residence","2262, NSW","Divorced",1886
"Persons Place of Usual Residence","2262, NSW","Separated",803
"Persons Place of Usual Residence","2262, NSW","Married",7114
"Persons Place of Usual Residence","2262, NSW","Not applicable",4222
"Persons Place of Usual Residence","2262, NSW","Total",20828
"Persons Place of Usual Residence","2263, NSW","Never married",6719
"Persons Place of Usual Residence","2263, NSW","Widowed",1878
"Persons Place of Usual Residence","2263, NSW","Divorced",2693
"Persons Place of Usual Residence","2263, NSW","Separated",987
"Persons Place of Usual Residence","2263, NSW","Married",7942
"Persons Place of Usual Residence","2263, NSW","Not applicable",4048
"Persons Place of Usual Residence","2263, NSW","Total",24263
"Persons Place of Usual Residence","2264, NSW","Never married",3465
"Persons Place of Usual Residence","2264, NSW","Widowed",870
"Persons Place of Usual Residence","2264, NSW","Divorced",1249
"Persons Place of Usual Residence","2264, NSW","Separated",414
"Persons Place of Usual Residence","2264, NSW","Married",5890
"Persons Place of Usual Residence","2264, NSW","Not applicable",2346
"Persons Place of Usual Residence","2264, NSW","Total",14233
"Persons Place of Usual Residence","2265, NSW","Never married",1364
"Persons Place of Usual Residence","2265, NSW","Widowed",361
"Persons Place of Usual Residence","2265, NSW","Divorced",395
"Persons Place of Usual Residence","2265, NSW","Separated",156
"Persons Place of Usual Residence","2265, NSW","Married",2546
"Persons Place of Usual Residence","2265, NSW","Not applicable",986
"Persons Place of Usual Residence","2265, NSW","Total",5809
"Persons Place of Usual Residence","2267, NSW","Never married",575
"Persons Place of Usual Residence","2267, NSW","Widowed",124
"Persons Place of Usual Residence","2267, NSW","Divorced",284
"Persons Place of Usual Residence","2267, NSW","Separated",101
"Persons Place of Usual Residence","2267, NSW","Married",1285
"Persons Place of Usual Residence","2267, NSW","Not applicable",396
"Persons Place of Usual Residence","2267, NSW","Total",2757
"Persons Place of Usual Residence","2278, NSW","Never married",707
"Persons Place of Usual Residence","2278, NSW","Widowed",74
"Persons Place of Usual Residence","2278, NSW","Divorced",165
"Persons Place of Usual Residence","2278, NSW","Separated",73
"Persons Place of Usual Residence","2278, NSW","Married",1044
"Persons Place of Usual Residence","2278, NSW","Not applicable",517
"Persons Place of Usual Residence","2278, NSW","Total",2571
"Persons Place of Usual Residence","2280, NSW","Never married",6266
"Persons Place of Usual Residence","2280, NSW","Widowed",1400
"Persons Place of Usual Residence","2280, NSW","Divorced",2069
"Persons Place of Usual Residence","2280, NSW","Separated",685
"Persons Place of Usual Residence","2280, NSW","Married",11447
"Persons Place of Usual Residence","2280, NSW","Not applicable",4814
"Persons Place of Usual Residence","2280, NSW","Total",26682
"Persons Place of Usual Residence","2281, NSW","Never married",3393
"Persons Place of Usual Residence","2281, NSW","Widowed",1037
"Persons Place of Usual Residence","2281, NSW","Divorced",1198
"Persons Place of Usual Residence","2281, NSW","Separated",415
"Persons Place of Usual Residence","2281, NSW","Married",5996
"Persons Place of Usual Residence","2281, NSW","Not applicable",2241
"Persons Place of Usual Residence","2281, NSW","Total",14273
"Persons Place of Usual Residence","2282, NSW","Never married",3194
"Persons Place of Usual Residence","2282, NSW","Widowed",749
"Persons Place of Usual Residence","2282, NSW","Divorced",1036
"Persons Place of Usual Residence","2282, NSW","Separated",328
"Persons Place of Usual Residence","2282, NSW","Married",6765
"Persons Place of Usual Residence","2282, NSW","Not applicable",2700
"Persons Place of Usual Residence","2282, NSW","Total",14775
"Persons Place of Usual Residence","2283, NSW","Never married",5731
"Persons Place of Usual Residence","2283, NSW","Widowed",1490
"Persons Place of Usual Residence","2283, NSW","Divorced",2018
"Persons Place of Usual Residence","2283, NSW","Separated",609
"Persons Place of Usual Residence","2283, NSW","Married",9637
"Persons Place of Usual Residence","2283, NSW","Not applicable",3815
"Persons Place of Usual Residence","2283, NSW","Total",23297
"Persons Place of Usual Residence","2284, NSW","Never married",2920
"Persons Place of Usual Residence","2284, NSW","Widowed",648
"Persons Place of Usual Residence","2284, NSW","Divorced",1016
"Persons Place of Usual Residence","2284, NSW","Separated",370
"Persons Place of Usual Residence","2284, NSW","Married",3798
"Persons Place of Usual Residence","2284, NSW","Not applicable",1747
"Persons Place of Usual Residence","2284, NSW","Total",10498
"Persons Place of Usual Residence","2285, NSW","Never married",7924
"Persons Place of Usual Residence","2285, NSW","Widowed",1415
"Persons Place of Usual Residence","2285, NSW","Divorced",2122
"Persons Place of Usual Residence","2285, NSW","Separated",815
"Persons Place of Usual Residence","2285, NSW","Married",11849
"Persons Place of Usual Residence","2285, NSW","Not applicable",6583
"Persons Place of Usual Residence","2285, NSW","Total",30715
"Persons Place of Usual Residence","2286, NSW","Never married",1075
"Persons Place of Usual Residence","2286, NSW","Widowed",145
"Persons Place of Usual Residence","2286, NSW","Divorced",273
"Persons Place of Usual Residence","2286, NSW","Separated",104
"Persons Place of Usual Residence","2286, NSW","Married",1514
"Persons Place of Usual Residence","2286, NSW","Not applicable",799
"Persons Place of Usual Residence","2286, NSW","Total",3909
"Persons Place of Usual Residence","2287, NSW","Never married",10196
"Persons Place of Usual Residence","2287, NSW","Widowed",1746
"Persons Place of Usual Residence","2287, NSW","Divorced",2494
"Persons Place of Usual Residence","2287, NSW","Separated",847
"Persons Place of Usual Residence","2287, NSW","Married",13956
"Persons Place of Usual Residence","2287, NSW","Not applicable",7152
"Persons Place of Usual Residence","2287, NSW","Total",36400
"Persons Place of Usual Residence","2289, NSW","Never married",5053
"Persons Place of Usual Residence","2289, NSW","Widowed",841
"Persons Place of Usual Residence","2289, NSW","Divorced",1262
"Persons Place of Usual Residence","2289, NSW","Separated",377
"Persons Place of Usual Residence","2289, NSW","Married",7815
"Persons Place of Usual Residence","2289, NSW","Not applicable",3776
"Persons Place of Usual Residence","2289, NSW","Total",19118
"Persons Place of Usual Residence","2290, NSW","Never married",8680
"Persons Place of Usual Residence","2290, NSW","Widowed",1900
"Persons Place of Usual Residence","2290, NSW","Divorced",2523
"Persons Place of Usual Residence","2290, NSW","Separated",867
"Persons Place of Usual Residence","2290, NSW","Married",13155
"Persons Place of Usual Residence","2290, NSW","Not applicable",6305
"Persons Place of Usual Residence","2290, NSW","Total",33422
"Persons Place of Usual Residence","2291, NSW","Never married",4229
"Persons Place of Usual Residence","2291, NSW","Widowed",549
"Persons Place of Usual Residence","2291, NSW","Divorced",899
"Persons Place of Usual Residence","2291, NSW","Separated",260
"Persons Place of Usual Residence","2291, NSW","Married",5127
"Persons Place of Usual Residence","2291, NSW","Not applicable",2355
"Persons Place of Usual Residence","2291, NSW","Total",13413
"Persons Place of Usual Residence","2292, NSW","Never married",899
"Persons Place of Usual Residence","2292, NSW","Widowed",101
"Persons Place of Usual Residence","2292, NSW","Divorced",241
"Persons Place of Usual Residence","2292, NSW","Separated",90
"Persons Place of Usual Residence","2292, NSW","Married",695
"Persons Place of Usual Residence","2292, NSW","Not applicable",438
"Persons Place of Usual Residence","2292, NSW","Total",2465
"Persons Place of Usual Residence","2293, NSW","Never married",1036
"Persons Place of Usual Residence","2293, NSW","Widowed",89
"Persons Place of Usual Residence","2293, NSW","Divorced",249
"Persons Place of Usual Residence","2293, NSW","Separated",82
"Persons Place of Usual Residence","2293, NSW","Married",740
"Persons Place of Usual Residence","2293, NSW","Not applicable",326
"Persons Place of Usual Residence","2293, NSW","Total",2521
"Persons Place of Usual Residence","2294, NSW","Never married",822
"Persons Place of Usual Residence","2294, NSW","Widowed",61
"Persons Place of Usual Residence","2294, NSW","Divorced",195
"Persons Place of Usual Residence","2294, NSW","Separated",73
"Persons Place of Usual Residence","2294, NSW","Married",501
"Persons Place of Usual Residence","2294, NSW","Not applicable",278
"Persons Place of Usual Residence","2294, NSW","Total",1929
"Persons Place of Usual Residence","2295, NSW","Never married",1849
"Persons Place of Usual Residence","2295, NSW","Widowed",458
"Persons Place of Usual Residence","2295, NSW","Divorced",648
"Persons Place of Usual Residence","2295, NSW","Separated",201
"Persons Place of Usual Residence","2295, NSW","Married",2765
"Persons Place of Usual Residence","2295, NSW","Not applicable",1004
"Persons Place of Usual Residence","2295, NSW","Total",6925
"Persons Place of Usual Residence","2296, NSW","Never married",874
"Persons Place of Usual Residence","2296, NSW","Widowed",45
"Persons Place of Usual Residence","2296, NSW","Divorced",198
"Persons Place of Usual Residence","2296, NSW","Separated",55
"Persons Place of Usual Residence","2296, NSW","Married",435
"Persons Place of Usual Residence","2296, NSW","Not applicable",285
"Persons Place of Usual Residence","2296, NSW","Total",1883
"Persons Place of Usual Residence","2297, NSW","Never married",646
"Persons Place of Usual Residence","2297, NSW","Widowed",58
"Persons Place of Usual Residence","2297, NSW","Divorced",164
"Persons Place of Usual Residence","2297, NSW","Separated",64
"Persons Place of Usual Residence","2297, NSW","Married",427
"Persons Place of Usual Residence","2297, NSW","Not applicable",314
"Persons Place of Usual Residence","2297, NSW","Total",1683
"Persons Place of Usual Residence","2298, NSW","Never married",3590
"Persons Place of Usual Residence","2298, NSW","Widowed",748
"Persons Place of Usual Residence","2298, NSW","Divorced",766
"Persons Place of Usual Residence","2298, NSW","Separated",257
"Persons Place of Usual Residence","2298, NSW","Married",2739
"Persons Place of Usual Residence","2298, NSW","Not applicable",1400
"Persons Place of Usual Residence","2298, NSW","Total",9499
"Persons Place of Usual Residence","2299, NSW","Never married",3942
"Persons Place of Usual Residence","2299, NSW","Widowed",584
"Persons Place of Usual Residence","2299, NSW","Divorced",867
"Persons Place of Usual Residence","2299, NSW","Separated",278
"Persons Place of Usual Residence","2299, NSW","Married",3513
"Persons Place of Usual Residence","2299, NSW","Not applicable",2018
"Persons Place of Usual Residence","2299, NSW","Total",11205
"Persons Place of Usual Residence","2300, NSW","Never married",4708
"Persons Place of Usual Residence","2300, NSW","Widowed",356
"Persons Place of Usual Residence","2300, NSW","Divorced",979
"Persons Place of Usual Residence","2300, NSW","Separated",294
"Persons Place of Usual Residence","2300, NSW","Married",3207
"Persons Place of Usual Residence","2300, NSW","Not applicable",1033
"Persons Place of Usual Residence","2300, NSW","Total",10579
"Persons Place of Usual Residence","2302, NSW","Never married",292
"Persons Place of Usual Residence","2302, NSW","Widowed",24
"Persons Place of Usual Residence","2302, NSW","Divorced",68
"Persons Place of Usual Residence","2302, NSW","Separated",32
"Persons Place of Usual Residence","2302, NSW","Married",126
"Persons Place of Usual Residence","2302, NSW","Not applicable",17
"Persons Place of Usual Residence","2302, NSW","Total",565
"Persons Place of Usual Residence","2303, NSW","Never married",3229
"Persons Place of Usual Residence","2303, NSW","Widowed",496
"Persons Place of Usual Residence","2303, NSW","Divorced",852
"Persons Place of Usual Residence","2303, NSW","Separated",231
"Persons Place of Usual Residence","2303, NSW","Married",2961
"Persons Place of Usual Residence","2303, NSW","Not applicable",1368
"Persons Place of Usual Residence","2303, NSW","Total",9145
