Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"POA (UR) by MSTP Registered Marital Status"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"Counting","POA (UR)","MSTP Registered Marital Status","Count",
"Persons Place of Usual Residence","2023, NSW","Not applicable",1940
"Persons Place of Usual Residence","2023, NSW","Total",10719
"Persons Place of Usual Residence","2024, NSW","Never married",3891
"Persons Place of Usual Residence","2024, NSW","Widowed",518
"Persons Place of Usual Residence","2024, NSW","Divorced",720
"Persons Place of Usual Residence","2024, NSW","Separated",189
"Persons Place of Usual Residence","2024, NSW","Married",3726
"Persons Place of Usual Residence","2024, NSW","Not applicable",2029
"Persons Place of Usual Residence","2024, NSW","Total",11073
"Persons Place of Usual Residence","2025, NSW","Never married",2476
"Persons Place of Usual Residence","2025, NSW","Widowed",389
"Persons Place of Usual Residence","2025, NSW","Divorced",630
"Persons Place of Usual Residence","2025, NSW","Separated",122
"Persons Place of Usual Residence","2025, NSW","Married",2692
"Persons Place of Usual Residence","2025, NSW","Not applicable",1092
"Persons Place of Usual Residence","2025, NSW","Total",7407
"Persons Place of Usual Residence","2026, NSW","Never married",15420
"Persons Place of Usual Residence","2026, NSW","Widowed",783
"Persons Place of Usual Residence","2026, NSW","Divorced",1946
"Persons Place of Usual Residence","2026, NSW","Separated",553
"Persons Place of Usual Residence","2026, NSW","Married",9112
"Persons Place of Usual Residence","2026, NSW","Not applicable",4672
"Persons Place of Usual Residence","2026, NSW","Total",32489
"Persons Place of Usual Residence","2027, NSW","Never married",2892
"Persons Place of Usual Residence","2027, NSW","Widowed",496
"Persons Place of Usual Residence","2027, NSW","Divorced",675
"Persons Place of Usual Residence","2027, NSW","Separated",170
"Persons Place of Usual Residence","2027, NSW","Married",3060
"Persons Place of Usual Residence","2027, NSW","Not applicable",900
"Persons Place of Usual Residence","2027, NSW","Total",8191
"Persons Place of Usual Residence","2028, NSW","Never married",1774
"Persons Place of Usual Residence","2028, NSW","Widowed",246
"Persons Place of Usual Residence","2028, NSW","Divorced",417
