Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"POA (UR) by AGE5P - Age in Five Year Groups"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"Counting","POA (UR)","AGE5P - Age in Five Year Groups","Count",
"Persons Place of Usual Residence","2118, NSW","55-59 years",1564
"Persons Place of Usual Residence","2118, NSW","60-64 years",1365
"Persons Place of Usual Residence","2118, NSW","65-69 years",1179
"Persons Place of Usual Residence","2118, NSW","70-74 years",922
"Persons Place of Usual Residence","2118, NSW","75-79 years",749
"Persons Place of Usual Residence","2118, NSW","80-84 years",534
"Persons Place of Usual Residence","2118, NSW","85-89 years",328
"Persons Place of Usual Residence","2118, NSW","90-94 years",148
"Persons Place of Usual Residence","2118, NSW","95-99 years",41
"Persons Place of Usual Residence","2118, NSW","100 years and over",4
"Persons Place of Usual Residence","2118, NSW","Total",24340
"Persons Place of Usual Residence","2119, NSW","0-4 years",536
"Persons Place of Usual Residence","2119, NSW","5-9 years",827
"Persons Place of Usual Residence","2119, NSW","10-14 years",860
"Persons Place of Usual Residence","2119, NSW","15-19 years",854
"Persons Place of Usual Residence","2119, NSW","20-24 years",770
"Persons Place of Usual Residence","2119, NSW","25-29 years",412
"Persons Place of Usual Residence","2119, NSW","30-34 years",416
"Persons Place of Usual Residence","2119, NSW","35-39 years",585
"Persons Place of Usual Residence","2119, NSW","40-44 years",807
"Persons Place of Usual Residence","2119, NSW","45-49 years",864
"Persons Place of Usual Residence","2119, NSW","50-54 years",905
"Persons Place of Usual Residence","2119, NSW","55-59 years",812
"Persons Place of Usual Residence","2119, NSW","60-64 years",744
"Persons Place of Usual Residence","2119, NSW","65-69 years",618
"Persons Place of Usual Residence","2119, NSW","70-74 years",547
"Persons Place of Usual Residence","2119, NSW","75-79 years",424
"Persons Place of Usual Residence","2119, NSW","80-84 years",308
"Persons Place of Usual Residence","2119, NSW","85-89 years",209
"Persons Place of Usual Residence","2119, NSW","90-94 years",119
"Persons Place of Usual Residence","2119, NSW","95-99 years",37
"Persons Place of Usual Residence","2119, NSW","100 years and over",0
"Persons Place of Usual Residence","2119, NSW","Total",11646
"Persons Place of Usual Residence","2120, NSW","0-4 years",1223
"Persons Place of Usual Residence","2120, NSW","5-9 years",1437
"Persons Place of Usual Residence","2120, NSW","10-14 years",1338
"Persons Place of Usual Residence","2120, NSW","15-19 years",1473
"Persons Place of Usual Residence","2120, NSW","20-24 years",1223
"Persons Place of Usual Residence","2120, NSW","25-29 years",816
"Persons Place of Usual Residence","2120, NSW","30-34 years",1006
"Persons Place of Usual Residence","2120, NSW","35-39 years",1364
"Persons Place of Usual Residence","2120, NSW","40-44 years",1571
"Persons Place of Usual Residence","2120, NSW","45-49 years",1601
"Persons Place of Usual Residence","2120, NSW","50-54 years",1472
"Persons Place of Usual Residence","2120, NSW","55-59 years",1336
"Persons Place of Usual Residence","2120, NSW","60-64 years",1125
"Persons Place of Usual Residence","2120, NSW","65-69 years",1013
"Persons Place of Usual Residence","2120, NSW","70-74 years",791
"Persons Place of Usual Residence","2120, NSW","75-79 years",653
"Persons Place of Usual Residence","2120, NSW","80-84 years",388
"Persons Place of Usual Residence","2120, NSW","85-89 years",251
"Persons Place of Usual Residence","2120, NSW","90-94 years",99
"Persons Place of Usual Residence","2120, NSW","95-99 years",31
"Persons Place of Usual Residence","2120, NSW","100 years and over",3
"Persons Place of Usual Residence","2120, NSW","Total",20207
"Persons Place of Usual Residence","2121, NSW","0-4 years",1527
"Persons Place of Usual Residence","2121, NSW","5-9 years",1768
"Persons Place of Usual Residence","2121, NSW","10-14 years",1635
"Persons Place of Usual Residence","2121, NSW","15-19 years",1923
"Persons Place of Usual Residence","2121, NSW","20-24 years",2272
"Persons Place of Usual Residence","2121, NSW","25-29 years",2107
"Persons Place of Usual Residence","2121, NSW","30-34 years",1948
"Persons Place of Usual Residence","2121, NSW","35-39 years",1966
"Persons Place of Usual Residence","2121, NSW","40-44 years",1947
"Persons Place of Usual Residence","2121, NSW","45-49 years",1820
"Persons Place of Usual Residence","2121, NSW","50-54 years",1957
"Persons Place of Usual Residence","2121, NSW","55-59 years",1831
"Persons Place of Usual Residence","2121, NSW","60-64 years",1601
"Persons Place of Usual Residence","2121, NSW","65-69 years",1221
"Persons Place of Usual Residence","2121, NSW","70-74 years",830
"Persons Place of Usual Residence","2121, NSW","75-79 years",703
"Persons Place of Usual Residence","2121, NSW","80-84 years",556
"Persons Place of Usual Residence","2121, NSW","85-89 years",380
"Persons Place of Usual Residence","2121, NSW","90-94 years",169
"Persons Place of Usual Residence","2121, NSW","95-99 years",44
"Persons Place of Usual Residence","2121, NSW","100 years and over",5
"Persons Place of Usual Residence","2121, NSW","Total",28215
"Persons Place of Usual Residence","2122, NSW","0-4 years",1720
"Persons Place of Usual Residence","2122, NSW","5-9 years",1587
"Persons Place of Usual Residence","2122, NSW","10-14 years",1252
"Persons Place of Usual Residence","2122, NSW","15-19 years",1607
"Persons Place of Usual Residence","2122, NSW","20-24 years",3231
"Persons Place of Usual Residence","2122, NSW","25-29 years",3025
"Persons Place of Usual Residence","2122, NSW","30-34 years",2643
"Persons Place of Usual Residence","2122, NSW","35-39 years",2213
"Persons Place of Usual Residence","2122, NSW","40-44 years",1868
"Persons Place of Usual Residence","2122, NSW","45-49 years",1777
"Persons Place of Usual Residence","2122, NSW","50-54 years",1941
"Persons Place of Usual Residence","2122, NSW","55-59 years",1761
"Persons Place of Usual Residence","2122, NSW","60-64 years",1710
"Persons Place of Usual Residence","2122, NSW","65-69 years",1349
"Persons Place of Usual Residence","2122, NSW","70-74 years",1038
"Persons Place of Usual Residence","2122, NSW","75-79 years",819
"Persons Place of Usual Residence","2122, NSW","80-84 years",690
"Persons Place of Usual Residence","2122, NSW","85-89 years",559
"Persons Place of Usual Residence","2122, NSW","90-94 years",303
"Persons Place of Usual Residence","2122, NSW","95-99 years",73
"Persons Place of Usual Residence","2122, NSW","100 years and over",8
"Persons Place of Usual Residence","2122, NSW","Total",31161
"Persons Place of Usual Residence","2123, NSW","0-4 years",0
"Persons Place of Usual Residence","2123, NSW","5-9 years",0
"Persons Place of Usual Residence","2123, NSW","10-14 years",0
"Persons Place of Usual Residence","2123, NSW","15-19 years",0
"Persons Place of Usual Residence","2123, NSW","20-24 years",0
"Persons Place of Usual Residence","2123, NSW","25-29 years",0
"Persons Place of Usual Residence","2123, NSW","30-34 years",0
"Persons Place of Usual Residence","2123, NSW","35-39 years",0
"Persons Place of Usual Residence","2123, NSW","40-44 years",0
"Persons Place of Usual Residence","2123, NSW","45-49 years",0
"Persons Place of Usual Residence","2123, NSW","50-54 years",0
"Persons Place of Usual Residence","2123, NSW","55-59 years",0
"Persons Place of Usual Residence","2123, NSW","60-64 years",0
"Persons Place of Usual Residence","2123, NSW","65-69 years",0
"Persons Place of Usual Residence","2123, NSW","70-74 years",0
"Persons Place of Usual Residence","2123, NSW","75-79 years",0
"Persons Place of Usual Residence","2123, NSW","80-84 years",0
"Persons Place of Usual Residence","2123, NSW","85-89 years",0
"Persons Place of Usual Residence","2123, NSW","90-94 years",0
"Persons Place of Usual Residence","2123, NSW","95-99 years",0
"Persons Place of Usual Residence","2123, NSW","100 years and over",0
"Persons Place of Usual Residence","2123, NSW","Total",0
"Persons Place of Usual Residence","2125, NSW","0-4 years",884
"Persons Place of Usual Residence","2125, NSW","5-9 years",1087
"Persons Place of Usual Residence","2125, NSW","10-14 years",1058
"Persons Place of Usual Residence","2125, NSW","15-19 years",1206
"Persons Place of Usual Residence","2125, NSW","20-24 years",1101
"Persons Place of Usual Residence","2125, NSW","25-29 years",790
"Persons Place of Usual Residence","2125, NSW","30-34 years",812
"Persons Place of Usual Residence","2125, NSW","35-39 years",960
"Persons Place of Usual Residence","2125, NSW","40-44 years",1058
"Persons Place of Usual Residence","2125, NSW","45-49 years",1116
"Persons Place of Usual Residence","2125, NSW","50-54 years",1256
"Persons Place of Usual Residence","2125, NSW","55-59 years",1291
"Persons Place of Usual Residence","2125, NSW","60-64 years",1235
"Persons Place of Usual Residence","2125, NSW","65-69 years",952
"Persons Place of Usual Residence","2125, NSW","70-74 years",678
"Persons Place of Usual Residence","2125, NSW","75-79 years",393
"Persons Place of Usual Residence","2125, NSW","80-84 years",225
"Persons Place of Usual Residence","2125, NSW","85-89 years",174
"Persons Place of Usual Residence","2125, NSW","90-94 years",79
"Persons Place of Usual Residence","2125, NSW","95-99 years",18
"Persons Place of Usual Residence","2125, NSW","100 years and over",0
"Persons Place of Usual Residence","2125, NSW","Total",16377
"Persons Place of Usual Residence","2126, NSW","0-4 years",766
"Persons Place of Usual Residence","2126, NSW","5-9 years",1189
"Persons Place of Usual Residence","2126, NSW","10-14 years",1475
"Persons Place of Usual Residence","2126, NSW","15-19 years",1594
"Persons Place of Usual Residence","2126, NSW","20-24 years",1278
"Persons Place of Usual Residence","2126, NSW","25-29 years",825
"Persons Place of Usual Residence","2126, NSW","30-34 years",738
"Persons Place of Usual Residence","2126, NSW","35-39 years",956
"Persons Place of Usual Residence","2126, NSW","40-44 years",1370
"Persons Place of Usual Residence","2126, NSW","45-49 years",1498
"Persons Place of Usual Residence","2126, NSW","50-54 years",1536
"Persons Place of Usual Residence","2126, NSW","55-59 years",1421
"Persons Place of Usual Residence","2126, NSW","60-64 years",1216
"Persons Place of Usual Residence","2126, NSW","65-69 years",987
"Persons Place of Usual Residence","2126, NSW","70-74 years",671
"Persons Place of Usual Residence","2126, NSW","75-79 years",467
"Persons Place of Usual Residence","2126, NSW","80-84 years",333
"Persons Place of Usual Residence","2126, NSW","85-89 years",253
"Persons Place of Usual Residence","2126, NSW","90-94 years",155
"Persons Place of Usual Residence","2126, NSW","95-99 years",42
"Persons Place of Usual Residence","2126, NSW","100 years and over",0
"Persons Place of Usual Residence","2126, NSW","Total",18768
"Persons Place of Usual Residence","2127, NSW","0-4 years",1173
"Persons Place of Usual Residence","2127, NSW","5-9 years",781
"Persons Place of Usual Residence","2127, NSW","10-14 years",510
"Persons Place of Usual Residence","2127, NSW","15-19 years",464
"Persons Place of Usual Residence","2127, NSW","20-24 years",920
"Persons Place of Usual Residence","2127, NSW","25-29 years",1913
"Persons Place of Usual Residence","2127, NSW","30-34 years",2495
"Persons Place of Usual Residence","2127, NSW","35-39 years",1648
"Persons Place of Usual Residence","2127, NSW","40-44 years",1127
"Persons Place of Usual Residence","2127, NSW","45-49 years",866
"Persons Place of Usual Residence","2127, NSW","50-54 years",739
"Persons Place of Usual Residence","2127, NSW","55-59 years",618
"Persons Place of Usual Residence","2127, NSW","60-64 years",526
"Persons Place of Usual Residence","2127, NSW","65-69 years",364
"Persons Place of Usual Residence","2127, NSW","70-74 years",200
"Persons Place of Usual Residence","2127, NSW","75-79 years",92
"Persons Place of Usual Residence","2127, NSW","80-84 years",57
"Persons Place of Usual Residence","2127, NSW","85-89 years",28
"Persons Place of Usual Residence","2127, NSW","90-94 years",19
"Persons Place of Usual Residence","2127, NSW","95-99 years",0
"Persons Place of Usual Residence","2127, NSW","100 years and over",0
"Persons Place of Usual Residence","2127, NSW","Total",14535
"Persons Place of Usual Residence","2128, NSW","0-4 years",216
"Persons Place of Usual Residence","2128, NSW","5-9 years",153
"Persons Place of Usual Residence","2128, NSW","10-14 years",118
"Persons Place of Usual Residence","2128, NSW","15-19 years",146
"Persons Place of Usual Residence","2128, NSW","20-24 years",406
"Persons Place of Usual Residence","2128, NSW","25-29 years",584
"Persons Place of Usual Residence","2128, NSW","30-34 years",635
"Persons Place of Usual Residence","2128, NSW","35-39 years",582
"Persons Place of Usual Residence","2128, NSW","40-44 years",393
"Persons Place of Usual Residence","2128, NSW","45-49 years",299
"Persons Place of Usual Residence","2128, NSW","50-54 years",200
"Persons Place of Usual Residence","2128, NSW","55-59 years",168
"Persons Place of Usual Residence","2128, NSW","60-64 years",103
"Persons Place of Usual Residence","2128, NSW","65-69 years",77
"Persons Place of Usual Residence","2128, NSW","70-74 years",42
"Persons Place of Usual Residence","2128, NSW","75-79 years",22
"Persons Place of Usual Residence","2128, NSW","80-84 years",10
"Persons Place of Usual Residence","2128, NSW","85-89 years",7
"Persons Place of Usual Residence","2128, NSW","90-94 years",0
"Persons Place of Usual Residence","2128, NSW","95-99 years",0
"Persons Place of Usual Residence","2128, NSW","100 years and over",0
"Persons Place of Usual Residence","2128, NSW","Total",4166
"Persons Place of Usual Residence","2129, NSW","0-4 years",0
"Persons Place of Usual Residence","2129, NSW","5-9 years",0
"Persons Place of Usual Residence","2129, NSW","10-14 years",0
"Persons Place of Usual Residence","2129, NSW","15-19 years",0
"Persons Place of Usual Residence","2129, NSW","20-24 years",0
"Persons Place of Usual Residence","2129, NSW","25-29 years",0
"Persons Place of Usual Residence","2129, NSW","30-34 years",0
"Persons Place of Usual Residence","2129, NSW","35-39 years",0
"Persons Place of Usual Residence","2129, NSW","40-44 years",0
"Persons Place of Usual Residence","2129, NSW","45-49 years",0
"Persons Place of Usual Residence","2129, NSW","50-54 years",0
"Persons Place of Usual Residence","2129, NSW","55-59 years",0
"Persons Place of Usual Residence","2129, NSW","60-64 years",0
"Persons Place of Usual Residence","2129, NSW","65-69 years",0
"Persons Place of Usual Residence","2129, NSW","70-74 years",0
"Persons Place of Usual Residence","2129, NSW","75-79 years",0
"Persons Place of Usual Residence","2129, NSW","80-84 years",0
"Persons Place of Usual Residence","2129, NSW","85-89 years",0
"Persons Place of Usual Residence","2129, NSW","90-94 years",0
"Persons Place of Usual Residence","2129, NSW","95-99 years",0
"Persons Place of Usual Residence","2129, NSW","100 years and over",0
"Persons Place of Usual Residence","2129, NSW","Total",4
"Persons Place of Usual Residence","2130, NSW","0-4 years",416
"Persons Place of Usual Residence","2130, NSW","5-9 years",429
"Persons Place of Usual Residence","2130, NSW","10-14 years",283
"Persons Place of Usual Residence","2130, NSW","15-19 years",274
"Persons Place of Usual Residence","2130, NSW","20-24 years",464
"Persons Place of Usual Residence","2130, NSW","25-29 years",777
"Persons Place of Usual Residence","2130, NSW","30-34 years",810
"Persons Place of Usual Residence","2130, NSW","35-39 years",707
"Persons Place of Usual Residence","2130, NSW","40-44 years",626
"Persons Place of Usual Residence","2130, NSW","45-49 years",518
"Persons Place of Usual Residence","2130, NSW","50-54 years",495
"Persons Place of Usual Residence","2130, NSW","55-59 years",382
"Persons Place of Usual Residence","2130, NSW","60-64 years",330
"Persons Place of Usual Residence","2130, NSW","65-69 years",277
"Persons Place of Usual Residence","2130, NSW","70-74 years",163
"Persons Place of Usual Residence","2130, NSW","75-79 years",104
"Persons Place of Usual Residence","2130, NSW","80-84 years",103
"Persons Place of Usual Residence","2130, NSW","85-89 years",69
"Persons Place of Usual Residence","2130, NSW","90-94 years",47
"Persons Place of Usual Residence","2130, NSW","95-99 years",22
"Persons Place of Usual Residence","2130, NSW","100 years and over",0
"Persons Place of Usual Residence","2130, NSW","Total",7306
"Persons Place of Usual Residence","2131, NSW","0-4 years",1247
"Persons Place of Usual Residence","2131, NSW","5-9 years",916
"Persons Place of Usual Residence","2131, NSW","10-14 years",783
"Persons Place of Usual Residence","2131, NSW","15-19 years",990
"Persons Place of Usual Residence","2131, NSW","20-24 years",2218
"Persons Place of Usual Residence","2131, NSW","25-29 years",3248
"Persons Place of Usual Residence","2131, NSW","30-34 years",2746
"Persons Place of Usual Residence","2131, NSW","35-39 years",1875
"Persons Place of Usual Residence","2131, NSW","40-44 years",1505
"Persons Place of Usual Residence","2131, NSW","45-49 years",1352
"Persons Place of Usual Residence","2131, NSW","50-54 years",1362
"Persons Place of Usual Residence","2131, NSW","55-59 years",1213
"Persons Place of Usual Residence","2131, NSW","60-64 years",1060
"Persons Place of Usual Residence","2131, NSW","65-69 years",860
"Persons Place of Usual Residence","2131, NSW","70-74 years",660
"Persons Place of Usual Residence","2131, NSW","75-79 years",586
"Persons Place of Usual Residence","2131, NSW","80-84 years",523
"Persons Place of Usual Residence","2131, NSW","85-89 years",394
"Persons Place of Usual Residence","2131, NSW","90-94 years",222
"Persons Place of Usual Residence","2131, NSW","95-99 years",84
"Persons Place of Usual Residence","2131, NSW","100 years and over",3
"Persons Place of Usual Residence","2131, NSW","Total",23839
"Persons Place of Usual Residence","2132, NSW","0-4 years",516
"Persons Place of Usual Residence","2132, NSW","5-9 years",630
"Persons Place of Usual Residence","2132, NSW","10-14 years",611
"Persons Place of Usual Residence","2132, NSW","15-19 years",640
"Persons Place of Usual Residence","2132, NSW","20-24 years",693
"Persons Place of Usual Residence","2132, NSW","25-29 years",815
"Persons Place of Usual Residence","2132, NSW","30-34 years",652
"Persons Place of Usual Residence","2132, NSW","35-39 years",709
"Persons Place of Usual Residence","2132, NSW","40-44 years",754
"Persons Place of Usual Residence","2132, NSW","45-49 years",729
"Persons Place of Usual Residence","2132, NSW","50-54 years",744
"Persons Place of Usual Residence","2132, NSW","55-59 years",701
"Persons Place of Usual Residence","2132, NSW","60-64 years",558
"Persons Place of Usual Residence","2132, NSW","65-69 years",468
"Persons Place of Usual Residence","2132, NSW","70-74 years",384
"Persons Place of Usual Residence","2132, NSW","75-79 years",357
"Persons Place of Usual Residence","2132, NSW","80-84 years",318
"Persons Place of Usual Residence","2132, NSW","85-89 years",189
"Persons Place of Usual Residence","2132, NSW","90-94 years",107
"Persons Place of Usual Residence","2132, NSW","95-99 years",23
"Persons Place of Usual Residence","2132, NSW","100 years and over",3
"Persons Place of Usual Residence","2132, NSW","Total",10613
"Persons Place of Usual Residence","2133, NSW","0-4 years",647
"Persons Place of Usual Residence","2133, NSW","5-9 years",719
"Persons Place of Usual Residence","2133, NSW","10-14 years",649
"Persons Place of Usual Residence","2133, NSW","15-19 years",677
"Persons Place of Usual Residence","2133, NSW","20-24 years",682
"Persons Place of Usual Residence","2133, NSW","25-29 years",728
"Persons Place of Usual Residence","2133, NSW","30-34 years",767
"Persons Place of Usual Residence","2133, NSW","35-39 years",775
"Persons Place of Usual Residence","2133, NSW","40-44 years",888
"Persons Place of Usual Residence","2133, NSW","45-49 years",836
"Persons Place of Usual Residence","2133, NSW","50-54 years",813
"Persons Place of Usual Residence","2133, NSW","55-59 years",611
"Persons Place of Usual Residence","2133, NSW","60-64 years",582
"Persons Place of Usual Residence","2133, NSW","65-69 years",546
"Persons Place of Usual Residence","2133, NSW","70-74 years",374
"Persons Place of Usual Residence","2133, NSW","75-79 years",302
"Persons Place of Usual Residence","2133, NSW","80-84 years",214
"Persons Place of Usual Residence","2133, NSW","85-89 years",154
"Persons Place of Usual Residence","2133, NSW","90-94 years",47
"Persons Place of Usual Residence","2133, NSW","95-99 years",15
"Persons Place of Usual Residence","2133, NSW","100 years and over",0
"Persons Place of Usual Residence","2133, NSW","Total",11014
"Persons Place of Usual Residence","2134, NSW","0-4 years",650
"Persons Place of Usual Residence","2134, NSW","5-9 years",477
"Persons Place of Usual Residence","2134, NSW","10-14 years",441
"Persons Place of Usual Residence","2134, NSW","15-19 years",867
"Persons Place of Usual Residence","2134, NSW","20-24 years",2639
"Persons Place of Usual Residence","2134, NSW","25-29 years",2675
"Persons Place of Usual Residence","2134, NSW","30-34 years",1582
"Persons Place of Usual Residence","2134, NSW","35-39 years",966
"Persons Place of Usual Residence","2134, NSW","40-44 years",742
"Persons Place of Usual Residence","2134, NSW","45-49 years",756
"Persons Place of Usual Residence","2134, NSW","50-54 years",863
"Persons Place of Usual Residence","2134, NSW","55-59 years",804
"Persons Place of Usual Residence","2134, NSW","60-64 years",644
"Persons Place of Usual Residence","2134, NSW","65-69 years",522
"Persons Place of Usual Residence","2134, NSW","70-74 years",367
"Persons Place of Usual Residence","2134, NSW","75-79 years",341
"Persons Place of Usual Residence","2134, NSW","80-84 years",319
"Persons Place of Usual Residence","2134, NSW","85-89 years",235
"Persons Place of Usual Residence","2134, NSW","90-94 years",100
"Persons Place of Usual Residence","2134, NSW","95-99 years",37
"Persons Place of Usual Residence","2134, NSW","100 years and over",0
"Persons Place of Usual Residence","2134, NSW","Total",16033
"Persons Place of Usual Residence","2135, NSW","0-4 years",1071
"Persons Place of Usual Residence","2135, NSW","5-9 years",1026
"Persons Place of Usual Residence","2135, NSW","10-14 years",1098
"Persons Place of Usual Residence","2135, NSW","15-19 years",1584
"Persons Place of Usual Residence","2135, NSW","20-24 years",2951
"Persons Place of Usual Residence","2135, NSW","25-29 years",3429
"Persons Place of Usual Residence","2135, NSW","30-34 years",2440
"Persons Place of Usual Residence","2135, NSW","35-39 years",1607
"Persons Place of Usual Residence","2135, NSW","40-44 years",1253
"Persons Place of Usual Residence","2135, NSW","45-49 years",1404
"Persons Place of Usual Residence","2135, NSW","50-54 years",1503
"Persons Place of Usual Residence","2135, NSW","55-59 years",1374
"Persons Place of Usual Residence","2135, NSW","60-64 years",1086
"Persons Place of Usual Residence","2135, NSW","65-69 years",891
"Persons Place of Usual Residence","2135, NSW","70-74 years",722
"Persons Place of Usual Residence","2135, NSW","75-79 years",604
"Persons Place of Usual Residence","2135, NSW","80-84 years",518
"Persons Place of Usual Residence","2135, NSW","85-89 years",399
"Persons Place of Usual Residence","2135, NSW","90-94 years",224
"Persons Place of Usual Residence","2135, NSW","95-99 years",53
"Persons Place of Usual Residence","2135, NSW","100 years and over",3
"Persons Place of Usual Residence","2135, NSW","Total",25252
"Persons Place of Usual Residence","2136, NSW","0-4 years",422
"Persons Place of Usual Residence","2136, NSW","5-9 years",402
"Persons Place of Usual Residence","2136, NSW","10-14 years",430
"Persons Place of Usual Residence","2136, NSW","15-19 years",486
"Persons Place of Usual Residence","2136, NSW","20-24 years",573
"Persons Place of Usual Residence","2136, NSW","25-29 years",555
"Persons Place of Usual Residence","2136, NSW","30-34 years",560
"Persons Place of Usual Residence","2136, NSW","35-39 years",484
"Persons Place of Usual Residence","2136, NSW","40-44 years",500
"Persons Place of Usual Residence","2136, NSW","45-49 years",490
"Persons Place of Usual Residence","2136, NSW","50-54 years",522
"Persons Place of Usual Residence","2136, NSW","55-59 years",489
"Persons Place of Usual Residence","2136, NSW","60-64 years",358
"Persons Place of Usual Residence","2136, NSW","65-69 years",317
"Persons Place of Usual Residence","2136, NSW","70-74 years",265
"Persons Place of Usual Residence","2136, NSW","75-79 years",197
"Persons Place of Usual Residence","2136, NSW","80-84 years",166
"Persons Place of Usual Residence","2136, NSW","85-89 years",115
"Persons Place of Usual Residence","2136, NSW","90-94 years",42
"Persons Place of Usual Residence","2136, NSW","95-99 years",9
"Persons Place of Usual Residence","2136, NSW","100 years and over",0
"Persons Place of Usual Residence","2136, NSW","Total",7367
"Persons Place of Usual Residence","2137, NSW","0-4 years",1523
"Persons Place of Usual Residence","2137, NSW","5-9 years",1550
"Persons Place of Usual Residence","2137, NSW","10-14 years",1404
"Persons Place of Usual Residence","2137, NSW","15-19 years",1407
"Persons Place of Usual Residence","2137, NSW","20-24 years",1669
"Persons Place of Usual Residence","2137, NSW","25-29 years",1920
"Persons Place of Usual Residence","2137, NSW","30-34 years",2093
"Persons Place of Usual Residence","2137, NSW","35-39 years",1855
"Persons Place of Usual Residence","2137, NSW","40-44 years",1904
"Persons Place of Usual Residence","2137, NSW","45-49 years",1906
"Persons Place of Usual Residence","2137, NSW","50-54 years",1785
"Persons Place of Usual Residence","2137, NSW","55-59 years",1712
"Persons Place of Usual Residence","2137, NSW","60-64 years",1419
"Persons Place of Usual Residence","2137, NSW","65-69 years",1321
"Persons Place of Usual Residence","2137, NSW","70-74 years",1016
"Persons Place of Usual Residence","2137, NSW","75-79 years",830
"Persons Place of Usual Residence","2137, NSW","80-84 years",554
"Persons Place of Usual Residence","2137, NSW","85-89 years",384
"Persons Place of Usual Residence","2137, NSW","90-94 years",203
"Persons Place of Usual Residence","2137, NSW","95-99 years",40
"Persons Place of Usual Residence","2137, NSW","100 years and over",9
"Persons Place of Usual Residence","2137, NSW","Total",26507
"Persons Place of Usual Residence","2138, NSW","0-4 years",1372
"Persons Place of Usual Residence","2138, NSW","5-9 years",868
"Persons Place of Usual Residence","2138, NSW","10-14 years",687
"Persons Place of Usual Residence","2138, NSW","15-19 years",845
"Persons Place of Usual Residence","2138, NSW","20-24 years",2399
"Persons Place of Usual Residence","2138, NSW","25-29 years",3228
"Persons Place of Usual Residence","2138, NSW","30-34 years",2780
"Persons Place of Usual Residence","2138, NSW","35-39 years",1704
"Persons Place of Usual Residence","2138, NSW","40-44 years",1195
"Persons Place of Usual Residence","2138, NSW","45-49 years",885
"Persons Place of Usual Residence","2138, NSW","50-54 years",916
"Persons Place of Usual Residence","2138, NSW","55-59 years",832
"Persons Place of Usual Residence","2138, NSW","60-64 years",735
"Persons Place of Usual Residence","2138, NSW","65-69 years",564
"Persons Place of Usual Residence","2138, NSW","70-74 years",386
"Persons Place of Usual Residence","2138, NSW","75-79 years",246
"Persons Place of Usual Residence","2138, NSW","80-84 years",193
"Persons Place of Usual Residence","2138, NSW","85-89 years",118
"Persons Place of Usual Residence","2138, NSW","90-94 years",59
"Persons Place of Usual Residence","2138, NSW","95-99 years",8
"Persons Place of Usual Residence","2138, NSW","100 years and over",0
"Persons Place of Usual Residence","2138, NSW","Total",20022
"Persons Place of Usual Residence","2139, NSW","0-4 years",0
"Persons Place of Usual Residence","2139, NSW","5-9 years",0
"Persons Place of Usual Residence","2139, NSW","10-14 years",0
"Persons Place of Usual Residence","2139, NSW","15-19 years",0
"Persons Place of Usual Residence","2139, NSW","20-24 years",6
"Persons Place of Usual Residence","2139, NSW","25-29 years",4
"Persons Place of Usual Residence","2139, NSW","30-34 years",7
"Persons Place of Usual Residence","2139, NSW","35-39 years",0
"Persons Place of Usual Residence","2139, NSW","40-44 years",8
"Persons Place of Usual Residence","2139, NSW","45-49 years",5
"Persons Place of Usual Residence","2139, NSW","50-54 years",5
"Persons Place of Usual Residence","2139, NSW","55-59 years",4
"Persons Place of Usual Residence","2139, NSW","60-64 years",12
"Persons Place of Usual Residence","2139, NSW","65-69 years",3
"Persons Place of Usual Residence","2139, NSW","70-74 years",0
"Persons Place of Usual Residence","2139, NSW","75-79 years",0
"Persons Place of Usual Residence","2139, NSW","80-84 years",0
"Persons Place of Usual Residence","2139, NSW","85-89 years",4
"Persons Place of Usual Residence","2139, NSW","90-94 years",0
"Persons Place of Usual Residence","2139, NSW","95-99 years",0
"Persons Place of Usual Residence","2139, NSW","100 years and over",0
"Persons Place of Usual Residence","2139, NSW","Total",55
"Persons Place of Usual Residence","2140, NSW","0-4 years",1135
"Persons Place of Usual Residence","2140, NSW","5-9 years",718
"Persons Place of Usual Residence","2140, NSW","10-14 years",589
"Persons Place of Usual Residence","2140, NSW","15-19 years",779
"Persons Place of Usual Residence","2140, NSW","20-24 years",1622
"Persons Place of Usual Residence","2140, NSW","25-29 years",2738
"Persons Place of Usual Residence","2140, NSW","30-34 years",2550
"Persons Place of Usual Residence","2140, NSW","35-39 years",1435
"Persons Place of Usual Residence","2140, NSW","40-44 years",936
"Persons Place of Usual Residence","2140, NSW","45-49 years",771
"Persons Place of Usual Residence","2140, NSW","50-54 years",757
"Persons Place of Usual Residence","2140, NSW","55-59 years",638
"Persons Place of Usual Residence","2140, NSW","60-64 years",541
"Persons Place of Usual Residence","2140, NSW","65-69 years",309
"Persons Place of Usual Residence","2140, NSW","70-74 years",219
"Persons Place of Usual Residence","2140, NSW","75-79 years",189
"Persons Place of Usual Residence","2140, NSW","80-84 years",123
"Persons Place of Usual Residence","2140, NSW","85-89 years",70
"Persons Place of Usual Residence","2140, NSW","90-94 years",24
"Persons Place of Usual Residence","2140, NSW","95-99 years",4
"Persons Place of Usual Residence","2140, NSW","100 years and over",0
"Persons Place of Usual Residence","2140, NSW","Total",16161
"Persons Place of Usual Residence","2141, NSW","0-4 years",1787
"Persons Place of Usual Residence","2141, NSW","5-9 years",1459
