Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"POA (UR) by AGE5P - Age in Five Year Groups"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"Counting","POA (UR)","AGE5P - Age in Five Year Groups","Count",
"Persons Place of Usual Residence","2009, NSW","85-89 years",49
"Persons Place of Usual Residence","2009, NSW","90-94 years",14
"Persons Place of Usual Residence","2009, NSW","95-99 years",0
"Persons Place of Usual Residence","2009, NSW","100 years and over",0
"Persons Place of Usual Residence","2009, NSW","Total",12813
"Persons Place of Usual Residence","2010, NSW","0-4 years",689
"Persons Place of Usual Residence","2010, NSW","5-9 years",402
"Persons Place of Usual Residence","2010, NSW","10-14 years",259
"Persons Place of Usual Residence","2010, NSW","15-19 years",448
"Persons Place of Usual Residence","2010, NSW","20-24 years",2160
"Persons Place of Usual Residence","2010, NSW","25-29 years",5138
"Persons Place of Usual Residence","2010, NSW","30-34 years",4787
"Persons Place of Usual Residence","2010, NSW","35-39 years",3088
"Persons Place of Usual Residence","2010, NSW","40-44 years",2324
"Persons Place of Usual Residence","2010, NSW","45-49 years",1872
"Persons Place of Usual Residence","2010, NSW","50-54 years",1660
"Persons Place of Usual Residence","2010, NSW","55-59 years",1338
"Persons Place of Usual Residence","2010, NSW","60-64 years",1097
"Persons Place of Usual Residence","2010, NSW","65-69 years",867
"Persons Place of Usual Residence","2010, NSW","70-74 years",581
"Persons Place of Usual Residence","2010, NSW","75-79 years",421
"Persons Place of Usual Residence","2010, NSW","80-84 years",309
"Persons Place of Usual Residence","2010, NSW","85-89 years",187
"Persons Place of Usual Residence","2010, NSW","90-94 years",82
"Persons Place of Usual Residence","2010, NSW","95-99 years",18
"Persons Place of Usual Residence","2010, NSW","100 years and over",0
"Persons Place of Usual Residence","2010, NSW","Total",27733
"Persons Place of Usual Residence","2011, NSW","0-4 years",393
"Persons Place of Usual Residence","2011, NSW","5-9 years",217
"Persons Place of Usual Residence","2011, NSW","10-14 years",174
"Persons Place of Usual Residence","2011, NSW","15-19 years",419
"Persons Place of Usual Residence","2011, NSW","20-24 years",1895
"Persons Place of Usual Residence","2011, NSW","25-29 years",3627
"Persons Place of Usual Residence","2011, NSW","30-34 years",3402
"Persons Place of Usual Residence","2011, NSW","35-39 years",2118
"Persons Place of Usual Residence","2011, NSW","40-44 years",1620
"Persons Place of Usual Residence","2011, NSW","45-49 years",1396
"Persons Place of Usual Residence","2011, NSW","50-54 years",1190
"Persons Place of Usual Residence","2011, NSW","55-59 years",1192
"Persons Place of Usual Residence","2011, NSW","60-64 years",952
"Persons Place of Usual Residence","2011, NSW","65-69 years",879
"Persons Place of Usual Residence","2011, NSW","70-74 years",585
"Persons Place of Usual Residence","2011, NSW","75-79 years",385
"Persons Place of Usual Residence","2011, NSW","80-84 years",305
"Persons Place of Usual Residence","2011, NSW","85-89 years",242
"Persons Place of Usual Residence","2011, NSW","90-94 years",133
"Persons Place of Usual Residence","2011, NSW","95-99 years",50
"Persons Place of Usual Residence","2011, NSW","100 years and over",4
"Persons Place of Usual Residence","2011, NSW","Total",21199
"Persons Place of Usual Residence","2015, NSW","0-4 years",553
